rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,SPY,1d,state_ext=stretched_up + state_ret_3=ret_up,rolling,4,long,survived,clean_survivor_wf_mixed,148,True,70,True,0.007180110826635622,0.003701789156684816,state_ext=stretched_up,0.0009816917374565748,0.00759985590431933,1,0100,0.25,5,8,8,7,16.25,survived,rejected,rejected,survived,rejected,survived,survived,survived,16,4,True,False
2,SPY,1d,state_ext=stretched_up + state_ret_3=ret_up + state_ret_1=ret_up,rolling,4,long,survived,over_specified_survivor,77,True,42,True,0.006266281589767976,0.0027879599198171704,state_ext=stretched_up + state_ret_3=ret_up,-0.0009138292368676458,0.017204506616878223,1,0100,0.25,6,8,1,7,12.5,survived,survived,rejected,survived,rejected,survived,survived,survived,16,5,False,False
3,SPY,1d,state_ext=stretched_up + state_ret_5=ret_up + state_ret_1=ret_up,rolling,4,long,rejected,late_emerging_regime_switching,82,False,44,True,0.008264041462306786,0.00478571979235598,state_ext=stretched_up + state_ret_1=ret_up,0.0015102650001008223,0.004982907734843778,2,0101,0.5,1,8,8,8,10.0,rejected,rejected,rejected,rejected,survived,rejected,rejected,rejected,16,3,True,False
4,FUT/NQ,1h,state_vol=high_vol + state_slope=uptrend + state_trend_strength=strong_trend,rolling,4,long,rejected,late_emerging_recent_only,278,False,149,True,0.0016982816120400795,0.0012380752993099997,state_vol=high_vol + state_slope=uptrend,0.0003108070476838538,0.026832692719607643,1,0001,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,16,6,False,False
5,FUT/NQ,1h,state_vol=high_vol + state_ret_20=ret_up + state_trend_strength=strong_trend,rolling,4,long,rejected,late_emerging_recent_only,267,False,146,True,0.001571811638685917,0.0011116053259558373,state_vol=high_vol + state_trend_strength=strong_trend,0.00027924343663194955,0.04126004301825836,1,0001,0.25,0,8,8,5,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,16,8,False,False
6,FUT/NQ,1h,state_vol_regime=vol_regime_high + state_slope=uptrend + state_trend_strength=strong_trend,rolling,4,long,rejected,late_emerging_valid_supported,128,False,90,True,0.0017856329914033007,0.001325426678673221,state_vol_regime=vol_regime_high,0.0007546377166250142,0.039707536719300496,0,0000,0.0,0,8,7,4,6.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,16,7,False,False
7,FUT/NQ,1h,state_ret_20=ret_up + state_vol_regime=vol_regime_high + state_trend_strength=strong_trend,rolling,4,long,rejected,rejected_unsupported,121,False,87,False,0.0017423340163202135,0.0012821277035901337,state_vol_regime=vol_regime_high,0.000711338741541927,0.052221902594239644,0,0000,0.0,0,8,6,0,4.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,16,11,False,False
8,SPY,1d,state_vol=high_vol + state_ext=stretched_up + state_ret_5=ret_up,rolling,4,long,rejected,parent_underperformed,29,False,27,True,0.015508424907736861,0.012030103237786055,state_vol=high_vol + state_ext=stretched_up,-0.002066674632492046,0.0005964446330775086,1,0010,0.25,0,8,2,8,4.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,16,1,True,True
9,SPY,1d,state_vol=high_vol + state_ret_3=ret_up,rolling,4,long,rejected,parent_underperformed,51,False,44,True,0.01031408560960645,0.006835763939655643,state_vol=high_vol,-0.00011419047910665378,0.04576495071209297,1,0001,0.25,0,8,2,6,3.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,16,9,False,False
10,SPY,1d,state_vol=high_vol + state_ext=stretched_up + state_ret_3=ret_up,rolling,4,long,rejected,parent_underperformed,30,False,23,True,0.01591078415577369,0.012432462485822884,state_vol=high_vol + state_ext=stretched_up,-0.0016643153844552172,0.0008023198676119225,0,0000,0.0,0,8,2,8,3.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,16,2,True,True
