rank,symbol,timeframe,slice_combination,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,MU,15m,state_session=afternoon + state_slope=downtrend,long,survived,clean_survivor_wf_mixed,523,True,243,True,0.00996631063252411,0.007915851787894918,state_session=afternoon,0.0051081112865117425,0.017604923651416415,2,1001,0.5,8,8,8,8,20.0,survived,survived,survived,survived,survived,survived,survived,survived,8576,414,False,False
2,MU,15m,state_session=afternoon + state_ext=neutral + state_slope=downtrend,long,survived,clean_survivor_wf_mixed,440,True,147,True,0.01064106418696045,0.008590605342331257,state_session=afternoon + state_slope=downtrend,0.000674753554436339,0.03456776337687728,1,1000,0.25,6,8,7,7,17.0,survived,survived,rejected,survived,provisional,survived,survived,survived,8576,638,False,False
3,LRCX,15m,state_session=lunch + state_ext=neutral + state_slope=uptrend,long,survived,clean_survivor_wf_failed,374,True,131,True,0.0033785133760895008,0.002244132493996698,state_session=lunch + state_slope=uptrend,0.0018436264492601216,0.00225455545391684,0,0000,0.0,5,8,8,8,16.0,survived,rejected,rejected,survived,provisional,survived,survived,survived,8576,139,False,False
4,SOL/USD,15m,state_session=lunch + state_ext=neutral + state_slope=uptrend,long,survived,clean_survivor_wf_failed,573,True,274,True,0.0015993900620546698,0.0018432685475228596,state_session=lunch + state_slope=uptrend,0.0006290566581486287,0.049036796180841336,0,0000,0.0,5,8,8,5,15.25,survived,rejected,rejected,survived,rejected,survived,survived,survived,8576,795,False,False
5,BCH/USD,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,short,survived,clean_survivor_wf_mixed,377,True,109,True,0.004343866789835343,0.004221450127763737,state_session=afternoon + state_ext=stretched_up,0.0002594299629031637,0.00647264302869921,1,1000,0.25,4,8,8,7,15.25,survived,survived,rejected,survived,provisional,survived,rejected,rejected,8576,231,False,False
6,SMCI,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,long,survived,clean_survivor_wf_mixed,318,True,176,True,0.007753295529098825,0.00797597563365568,state_ext=neutral + state_slope=uptrend,0.0033035083640678056,0.03089758219436356,1,0010,0.25,4,8,8,6,15.0,survived,rejected,rejected,rejected,rejected,survived,survived,survived,8576,597,False,False
7,BCH/USD,15m,state_session=afternoon + state_ext=stretched_up,short,survived,clean_survivor_wf_mixed,404,True,118,True,0.004084436826932179,0.003962020164860573,state_ext=stretched_up,0.0015084492823060564,0.00945411680155317,1,0001,0.25,4,8,8,6,15.0,survived,survived,rejected,rejected,survived,survived,rejected,rejected,8576,283,False,False
8,XBI,15m,state_session=afternoon + state_ext=neutral,long,survived,clean_survivor_wf_mixed,1713,True,741,True,0.001977518212588385,0.001510888459241233,state_session=afternoon,8.158360602719423e-06,0.018733763384258806,1,1000,0.25,4,8,7,5,14.5,survived,rejected,rejected,rejected,rejected,survived,survived,survived,8576,437,False,False
9,TSLA,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,long,survived,clean_survivor_wf_failed,423,True,165,True,0.003136743686700333,0.003300434836641838,state_session=afternoon + state_slope=uptrend,0.00040690403573341626,0.039344989975508504,0,0000,0.0,4,8,8,5,14.25,survived,rejected,rejected,rejected,rejected,survived,survived,survived,8576,682,False,False
10,LCID,15m,state_session=afternoon + state_slope=downtrend,short,survived,clean_survivor_wf_failed,498,True,211,True,0.00501913897031202,0.004113191610472478,state_session=afternoon,0.002531613283025024,0.023118299180004742,0,0000,0.0,3,8,8,4,13.0,survived,survived,rejected,survived,rejected,rejected,rejected,rejected,8576,505,False,False
11,LRCX,15m,state_session=afternoon + state_slope=downtrend,long,rejected,late_emerging_regime_switching,505,False,264,True,0.009155947936647346,0.008021567054554543,state_session=afternoon,0.0061951334253777714,0.00019194925729437706,2,0101,0.5,2,8,8,8,11.0,rejected,rejected,rejected,survived,survived,rejected,rejected,rejected,8576,62,True,False
12,MU,15m,state_ext=stretched_up + state_slope=uptrend,long,rejected,late_emerging_regime_switching,751,False,487,True,0.003871900933448913,0.0018214420888197206,state_ext=stretched_up,0.0003361379797290429,0.0033118345348948086,3,1011,0.75,1,8,8,8,10.5,rejected,rejected,rejected,rejected,survived,rejected,rejected,rejected,8576,158,False,False
13,ARM,15m,state_ext=neutral + state_vol=high_vol,long,rejected,late_emerging_recent_only,413,False,416,True,0.004476961595070892,0.001966004704056042,state_vol=high_vol,0.0014286424309653185,0.0062446190778624455,1,0001,0.25,1,8,8,8,9.5,rejected,rejected,rejected,rejected,survived,rejected,rejected,rejected,8576,224,False,False
14,MRVL,15m,state_session=lunch + state_ext=stretched_up,long,rejected,late_emerging_recent_only,191,False,215,True,0.003909787516610509,0.0012948487083100802,state_ext=stretched_up,0.00028749502050366303,0.0015870317710604542,1,0001,0.25,1,8,6,8,9.0,rejected,rejected,rejected,rejected,survived,rejected,rejected,rejected,8576,121,False,False
