rank,symbol,timeframe,slice_combination,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,HUM,1h,state_session=lunch + state_ext=stretched_up,long,survived,clean_survivor_wf_mixed,86,True,67,True,0.012863187455150735,0.0047131071600722396,state_ext=stretched_up,0.002966020732141318,7.574285590616903e-05,1,0001,0.25,7,8,7,8,18.25,survived,survived,rejected,survived,survived,survived,survived,survived,10098,73,True,False
2,FBTC,1h,state_ext=stretched_up + state_vol=high_vol,short,survived,clean_survivor_wf_mixed,139,True,57,True,0.006712870319145113,0.006001261835411338,state_ext=stretched_up,0.0019886071410112676,0.006625493813302352,1,0010,0.25,6,8,8,7,17.25,survived,survived,survived,survived,provisional,survived,survived,rejected,10098,388,False,False
3,MU,1h,state_session=morning + state_ext=stretched_up,long,survived,clean_survivor_wf_mixed,252,True,151,True,0.007649864814143851,-0.0012366621984050957,state_ext=stretched_up,0.00017787583586776658,0.002742686808184569,1,0001,0.25,6,1,6,8,16.0,survived,rejected,rejected,survived,survived,survived,survived,survived,10098,260,False,False
4,ICLN,1h,state_session=morning + state_slope=flat,long,survived,clean_survivor_wf_mixed,204,True,51,True,0.003044478761360265,0.0026089260481167247,state_slope=flat,0.00037368022648540675,0.024979819331134134,1,0100,0.25,5,8,7,5,15.5,survived,survived,rejected,rejected,rejected,survived,survived,survived,10098,747,False,False
5,XME,1h,state_session=morning + state_slope=flat,long,survived,clean_survivor_wf_failed,174,True,75,True,0.0038937327996131023,0.004465149577747228,state_slope=flat,0.0014196330611172948,0.036408626273861655,0,0000,0.0,5,8,8,6,15.5,survived,rejected,rejected,survived,rejected,survived,survived,survived,10098,942,False,False
6,AAVE/USD,1h,state_session=morning + state_ext=stretched_down + state_slope=downtrend,short,survived,clean_survivor_wf_mixed,503,True,237,True,0.005291222944510461,0.0050576674903228605,state_session=morning + state_slope=downtrend,0.0013485074879235155,0.016088109141807916,2,1100,0.5,4,8,8,4,15.0,survived,survived,survived,rejected,rejected,survived,rejected,rejected,10098,585,False,False
7,IWM,1h,state_session=morning + state_ext=stretched_down + state_slope=downtrend,long,survived,clean_survivor_wf_mixed,312,True,90,True,0.0073152061152503825,0.006918764575390283,state_session=morning + state_ext=stretched_down,2.470876580891023e-05,0.01883378663995683,1,0010,0.25,4,8,7,7,15.0,survived,rejected,rejected,rejected,rejected,survived,survived,survived,10098,644,False,False
8,IBIT,1h,state_ext=stretched_up + state_vol=high_vol,short,survived,clean_survivor_wf_failed,146,True,54,True,0.006368508699874532,0.00562751442015897,state_ext=stretched_up,0.0009470802979332522,0.011324630622000509,0,0000,0.0,4,8,7,7,14.5,survived,survived,rejected,survived,provisional,survived,rejected,rejected,10098,509,False,False
9,XLE,1h,state_session=afternoon + state_ext=neutral,long,survived,clean_survivor_wf_failed,1350,True,654,True,0.001411887217528243,0.0010891469058853084,state_ext=neutral,0.0005773339473344527,0.04808552677120703,0,0000,0.0,4,8,8,4,14.0,survived,rejected,rejected,rejected,rejected,survived,survived,survived,10098,1118,False,False
10,VLO,1h,state_ext=stretched_down + state_vol=high_vol,long,survived,clean_survivor_wf_failed,51,True,88,True,0.00596767290904617,0.004625275290061003,state_ext=stretched_down,0.0010505278982146553,0.043484579460769,0,0000,0.0,4,8,7,4,13.75,survived,rejected,rejected,rejected,rejected,survived,survived,survived,10098,1054,False,False
