symbol,timeframe,slice_combination,window,diagnostic_status,window_start_utc,window_end_utc,window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_n,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_n,best_parent_mean_ret_costadj,excess_vs_best_parent,best_parent_p_value_nw
XLB,1d,state_ext=stretched_down + state_slope=downtrend,all,ok,2021-07-06 00:00:00+00:00,2026-06-25 00:00:00+00:00,1249,202,0.010018732958615433,0.6386138613861386,3.0826596608860646,0.002051596422717683,True,1249,0.0014300175723559062,0.008588715386259526,state_slope=downtrend,295,0.00747402080596173,0.0025447121526537024,0.005736471747046501
XLB,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2024,ok,2024-01-02 00:00:00+00:00,2024-12-31 00:00:00+00:00,252,37,0.0021146057390143374,0.5945945945945946,0.5155372591022576,0.606177640233379,False,252,0.00012130555537202363,0.001993300183642314,state_slope=downtrend,60,0.002726974371173946,-0.0006123686321596084,0.4813152262759428
XLB,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2025,ok,2025-01-02 00:00:00+00:00,2025-12-31 00:00:00+00:00,250,40,0.022989845542284428,0.875,7.5740976928855615,3.6193270602780103e-14,True,250,0.0028201512534953583,0.02016969428878907,state_ext=stretched_down,49,0.017073174903323367,0.00591667063896106,1.8392850527071403e-06
XLB,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2026_ytd,ok,2026-01-02 00:00:00+00:00,2026-06-25 00:00:00+00:00,120,17,0.004699692588530011,0.5294117647058824,0.4047995864996722,0.6856248327672563,False,120,0.004195799418896771,0.0005038931696332407,state_ext=stretched_down,23,0.008809645060023462,-0.00410995247149345,0.3541523019488859
XLB,1d,state_ext=stretched_down + state_slope=downtrend,latest_12m,ok,2025-06-25 00:00:00+00:00,2026-06-25 00:00:00+00:00,252,35,0.013184979954770904,0.7714285714285715,1.9770493179785262,0.04803605579876513,True,252,0.0034589218242192634,0.009726058130551642,state_ext=stretched_down,47,0.011457719863080217,0.0017272600916906876,0.036307635256026316
XLB,1d,state_ext=stretched_down + state_slope=downtrend,latest_6m,ok,2025-12-26 00:00:00+00:00,2026-06-25 00:00:00+00:00,124,17,0.004699692588530011,0.5294117647058824,0.4047995864996722,0.6856248327672563,False,124,0.004996374617622616,-0.00029668202909260456,state_ext=stretched_down,23,0.008809645060023462,-0.00410995247149345,0.3541523019488859
KLAC,1d,state_ext=stretched_down + state_slope=downtrend,all,ok,2021-07-06 00:00:00+00:00,2026-06-25 00:00:00+00:00,1249,176,0.024635082589966918,0.6761363636363636,3.5595545809952918,0.00037148432308420354,True,1249,0.010360894885898631,0.014274187704068287,state_ext=stretched_down,376,0.018896748020457772,0.005738334569509146,1.9578411250442684e-05
KLAC,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2024,ok,2024-01-02 00:00:00+00:00,2024-12-31 00:00:00+00:00,252,56,0.029419949395939442,0.6964285714285714,2.8135106423475444,0.0049003764048327625,True,252,0.00534292963628497,0.024077019759654473,state_slope=downtrend,76,0.024324561042933113,0.005095388353006328,0.01593406677538889
KLAC,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2025,ok,2025-01-02 00:00:00+00:00,2025-12-31 00:00:00+00:00,250,34,0.046605517495624534,0.7941176470588235,3.782619669517226,0.00015518644274337134,True,250,0.015460515866587782,0.031145001629036752,state_slope=downtrend,58,0.03000276780592723,0.016602749689697303,0.003387141861344256
KLAC,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2026_ytd,ok,2026-01-02 00:00:00+00:00,2026-06-25 00:00:00+00:00,120,7,0.040490655615871736,1.0,4.47171420765251,7.759508181992558e-06,False,120,0.03175916540309068,0.008731490212781058,state_ext=stretched_down,22,0.059046460954912665,-0.01855580533904093,9.421531421693885e-08
KLAC,1d,state_ext=stretched_down + state_slope=downtrend,latest_12m,ok,2025-06-25 00:00:00+00:00,2026-06-25 00:00:00+00:00,252,22,0.04422652312795055,0.9090909090909091,5.715351429069106,1.0947753592560616e-08,True,252,0.023775184336023988,0.020451338791926562,state_ext=stretched_down,52,0.04612148403638272,-0.0018949609084321709,2.3376824409560015e-07
KLAC,1d,state_ext=stretched_down + state_slope=downtrend,latest_6m,ok,2025-12-26 00:00:00+00:00,2026-06-25 00:00:00+00:00,124,7,0.040490655615871736,1.0,4.47171420765251,7.759508181992558e-06,False,124,0.033527999641765546,0.00696265597410619,state_ext=stretched_down,22,0.059046460954912665,-0.01855580533904093,9.421531421693885e-08
