symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio
LCID,1h,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,151,0.15646820304191258,long,0.15646820304191258,0.4370860927152318,0.2032074203340728,0.025965024516431047,0.14155077920725187
LCID,1h,state_ext=stretched_down + state_vol=low_vol,265,0.15197180283754003,long,0.15197180283754003,0.43018867924528303,0.18964136080536764,0.006724485726281368,0.13788786808449627
LCID,1h,state_session=lunch + state_ext=stretched_down + state_slope=flat,63,0.13353818148671656,long,0.13353818148671656,0.4444444444444444,0.16792696379447855,-0.03341239140252534,0.12375255546793879
LCID,1h,state_session=afternoon + state_slope=downtrend,179,0.1324352340038627,long,0.1324352340038627,0.4581005586592179,0.1765353297145764,0.01840209462965946,0.13029926626542754
LCID,1h,state_session=afternoon + state_ext=stretched_down,208,0.11206459642623591,long,0.11206459642623591,0.42788461538461536,0.1555023795727074,0.010156741294591999,0.11867672116521977
LCID,1h,state_session=lunch + state_ext=stretched_down,214,0.07682991351122448,long,0.07682991351122448,0.42990654205607476,0.11024606598982183,-0.027638487420164448,0.09517640846973265
LCID,1h,state_ext=stretched_down + state_slope=downtrend,512,0.061680638269358094,long,0.061680638269358094,0.423828125,0.09379844259476491,-0.00808114174214615,0.08783659693280496
LCID,1h,state_session=lunch + state_ext=stretched_down + state_slope=downtrend,145,0.05538105075482414,long,0.05538105075482414,0.42758620689655175,0.08839983404239722,-0.025041984860128964,0.08163343915382577
LCID,1h,state_session=lunch + state_slope=downtrend,159,0.05009188597226231,long,0.05009188597226231,0.4339622641509434,0.08323646553241651,-0.02565607319031526,0.07730293011467375
LCID,1h,state_session=lunch + state_slope=flat,181,0.04699499905778941,long,0.04699499905778941,0.4696132596685083,0.08073982065982473,-0.0283169679733494,0.07370925178211919
LCID,1h,state_ext=stretched_down + state_slope=flat,223,0.03375154023581787,long,0.03375154023581787,0.4170403587443946,0.06377675539341472,-0.0274622094358555,0.058718383592037196
NFLX,1h,state_ext=stretched_down + state_vol=mid_vol,109,-0.02313527225265727,short,0.02313527225265727,0.5779816513761468,0.009298875815361703,-0.03250333647672108,-0.15566065341740673
NOW,1h,state_ext=neutral + state_vol=high_vol,144,-0.020943534255754844,short,0.020943534255754844,0.5208333333333334,0.02066689130454008,-0.04009116239812448,-0.15376147498824988
NFLX,1h,state_session=lunch + state_ext=stretched_down + state_slope=downtrend,93,-0.02022685766450558,short,0.02022685766450558,0.4946236559139785,0.010689271527799497,-0.031269687598079604,-0.1532669336699534
KLAC,1h,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,131,-0.01993375823753414,short,0.01993375823753414,0.5114503816793893,0.006974255846177011,-0.03623641515291158,-0.17307025379457022
NOW,1h,state_session=afternoon + state_ext=neutral + state_slope=uptrend,95,-0.01969804641280771,short,0.01969804641280771,0.43157894736842106,0.00705210086294901,-0.037750569488226214,-0.16180910175771696
KLAC,1h,state_ext=stretched_up + state_vol=high_vol,229,-0.018932573920395202,short,0.018932573920395202,0.537117903930131,0.015771680333872128,-0.03804543462431848,-0.14037783254504074
NFLX,1h,state_session=lunch + state_ext=stretched_down,104,-0.0188354677305649,short,0.0188354677305649,0.47115384615384615,0.010282634506544763,-0.02942838345778542,-0.1508084686768628
KLAC,1h,state_session=lunch + state_ext=stretched_up + state_slope=uptrend,125,-0.018040210369363943,short,0.018040210369363943,0.488,0.018202502945869486,-0.0350748647604753,-0.15522654223673157
NOW,1h,state_ext=neutral + state_slope=downtrend,147,-0.016911544429082,short,0.016911544429082,0.41496598639455784,0.013207818020666067,-0.02999121140918391,-0.17625561527035413
PLTR,1h,state_ext=stretched_down + state_vol=low_vol,114,-0.016198904911632204,short,0.016198904911632204,0.2894736842105263,0.009833484601790014,-0.028727111823096164,-0.5610282109025713
ORCL,1h,state_ext=stretched_up + state_vol=low_vol,144,0.01605143316728385,long,0.01605143316728385,0.5486111111111112,0.0325414955229633,-0.011893705622193558,0.22240710283032455
KLAC,1h,state_session=afternoon + state_slope=uptrend,159,-0.015789893973032695,short,0.015789893973032695,0.5094339622641509,0.009213001451908114,-0.033516495916540344,-0.14881438018619872
NOW,1h,state_session=morning + state_ext=neutral + state_slope=downtrend,68,-0.015349234297737425,short,0.015349234297737425,0.4264705882352941,0.0120193680665883,-0.026295152179587465,-0.15578579626044575
MU,1h,state_session=lunch + state_ext=stretched_down,124,0.01456355882303156,long,0.01456355882303156,0.5887096774193549,0.03827712516016032,-0.022573736914472047,0.31344103854340366
INTC,1h,state_session=lunch + state_ext=neutral + state_slope=downtrend,54,0.014482851956150778,long,0.014482851956150778,0.5925925925925926,0.03589159630837038,-0.016802002005404455,0.39635827936685236
MU,1h,state_session=afternoon + state_ext=neutral + state_slope=downtrend,69,0.013885565217102548,long,0.013885565217102548,0.6521739130434783,0.03495652344803123,-0.013949600378547202,0.31474945488357087
ARM,1h,state_session=afternoon + state_ext=stretched_up,149,0.013812995213969378,long,0.013812995213969378,0.6375838926174496,0.041852771583053894,-0.022783026220832867,0.25382434359352823
NFLX,1h,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,91,-0.013640533327240145,short,0.013640533327240145,0.43956043956043955,0.0011882360816842016,-0.024817793498912423,-0.14185931001688093
NFLX,1h,state_session=afternoon + state_ext=stretched_down,97,-0.0134918932833139,short,0.0134918932833139,0.4329896907216495,0.0014513722489252854,-0.024909276238900078,-0.14467708351944245
MU,1h,state_ext=stretched_down + state_slope=flat,71,0.01348121359590398,long,0.01348121359590398,0.6338028169014085,0.03061273116662439,-0.020922561352951365,0.35931081596750847
ARM,1h,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,132,0.013430568231915262,long,0.013430568231915262,0.6136363636363636,0.042634882934397655,-0.022534277398162442,0.24072885940372502
KLAC,1h,state_session=afternoon + state_ext=stretched_up,165,-0.013419958541569302,short,0.013419958541569302,0.5212121212121212,0.011702995067628157,-0.031177872555759014,-0.12874256097554734
KLAC,1h,state_ext=stretched_up + state_slope=uptrend,438,-0.013101913851253888,short,0.013101913851253888,0.5182648401826484,0.012806165466937275,-0.028604769285349968,-0.1318980649859369
LRCX,1h,state_session=afternoon + state_ext=stretched_down,107,0.013101909614085049,long,0.013101909614085049,0.616822429906542,0.033439562614155594,-0.015516088275188113,0.3199339994225881
AMAT,1h,state_session=lunch + state_ext=stretched_down + state_slope=downtrend,82,0.012629443820587172,long,0.012629443820587172,0.6219512195121951,0.029030273070867862,-0.016335642720228468,0.40414759620266605
NFLX,1h,state_ext=stretched_down + state_slope=downtrend,332,-0.012441907962684132,short,0.012441907962684132,0.4759036144578313,0.0073843019999613015,-0.022904504100796662,-0.12514439268133598
KLAC,1h,state_session=lunch + state_slope=uptrend,162,-0.012440364164672852,short,0.012440364164672852,0.5185185185185185,0.02037931474322412,-0.0316810043515308,-0.11965396245992056
INTC,1h,state_session=afternoon + state_ext=neutral + state_slope=flat,140,0.012393529851524072,long,0.012393529851524072,0.5285714285714286,0.03556985055025709,-0.015874242451153514,0.21660832765288837
AA,1h,state_ext=stretched_down + state_slope=flat,89,0.012286309398491126,long,0.012286309398491126,0.550561797752809,0.029444055167436055,-0.016610556468973928,0.3352522294785702
AMAT,1h,state_session=lunch + state_ext=stretched_down,96,0.012050237206568974,long,0.012050237206568974,0.6145833333333334,0.02888153196582009,-0.017489741225299598,0.3749788047685013
LRCX,1h,state_session=lunch + state_ext=stretched_down + state_slope=downtrend,91,0.01199391144163262,long,0.01199391144163262,0.6593406593406593,0.03217449271914705,-0.02072320560045105,0.35559547708467826
KLAC,1h,state_session=lunch + state_ext=stretched_up,169,-0.011975004417647348,short,0.011975004417647348,0.5266272189349113,0.018956061958826802,-0.028980991553453666,-0.11848999196704804
