symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio
LCID,15m,state_session=afternoon + state_ext=neutral + state_slope=flat,961,0.04428486589482117,long,0.04428486589482117,0.4672216441207076,0.06126648617318087,-0.006013289165416772,0.07197284024504697
LCID,15m,state_session=afternoon + state_slope=flat,1019,0.041993881490980635,long,0.041993881490980635,0.4631992149165849,0.059122329285931204,-0.006480155264267535,0.0702626561522215
LCID,15m,state_ext=neutral + state_vol=low_vol,1669,0.02402511476557206,long,0.02402511476557206,0.445176752546435,0.037900889620124965,-0.0074575642537052286,0.05139031669502214
LCID,15m,state_ext=neutral + state_slope=flat,1885,0.022662479712714238,long,0.022662479712714238,0.4652519893899204,0.0357418349751297,-0.007072677897452745,0.05152038651444016
LCID,15m,state_session=afternoon + state_ext=neutral,1822,0.022199604950144832,long,0.022199604950144832,0.446761800219539,0.03840883035510792,-0.009957949712531946,0.04958847356470898
ETHA,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,170,0.010781385854420563,long,0.010781385854420563,0.5941176470588235,0.02131952374756136,-0.010018873321609195,0.40509411847783994
ETHE,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,184,0.010766997453367507,long,0.010766997453367507,0.6195652173913043,0.020475039723189713,-0.009490397711783354,0.399182074055824
ETHA,15m,state_session=afternoon + state_ext=stretched_down,178,0.01044533090170998,long,0.01044533090170998,0.5955056179775281,0.02097415177642142,-0.009948639771771173,0.3984055739218333
ETHE,15m,state_session=afternoon + state_ext=stretched_down,193,0.010308180764279393,long,0.010308180764279393,0.616580310880829,0.020109247394634863,-0.009447203132670777,0.3865220704318272
MU,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,187,0.009172743593233211,long,0.009172743593233211,0.6203208556149733,0.022737756117944347,-0.011574208206532242,0.353827897266311
MU,15m,state_session=afternoon + state_ext=stretched_up,204,0.009147553117666029,long,0.009147553117666029,0.6176470588235294,0.023536898410527342,-0.012424080053852683,0.3163028685969752
SMCI,15m,state_session=afternoon + state_ext=stretched_up,238,-0.009068579426552575,short,0.009068579426552575,0.42857142857142855,0.013234217736770006,-0.023737403103696524,-0.19143814845389748
NOW,15m,state_session=afternoon + state_ext=neutral + state_slope=downtrend,659,-0.008675673698886274,short,0.008675673698886274,0.47344461305007585,0.007449032629375123,-0.017599199919329015,-0.11897511098804463
NOW,15m,state_session=afternoon + state_slope=downtrend,743,-0.008292110179535944,short,0.008292110179535944,0.47644683714670255,0.007589867918232185,-0.017367112310544275,-0.1200460026154627
LRCX,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,139,0.00829140413171166,long,0.00829140413171166,0.5179856115107914,0.019584652746857587,-0.010131526558538906,0.33505057925948994
LRCX,15m,state_session=afternoon + state_ext=stretched_down,139,0.00829140413171166,long,0.00829140413171166,0.5179856115107914,0.019584652746857587,-0.010131526558538906,0.33505057925948994
ROKU,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,100,0.008070903597314383,long,0.008070903597314383,0.67,0.01668462061650765,-0.007271832243025696,0.423503342147753
HOOD,15m,state_ext=stretched_up + state_vol=low_vol,155,0.007966553203964246,long,0.007966553203964246,0.5483870967741935,0.019345808978332695,-0.008045969450153852,0.24838097515856314
ROKU,15m,state_session=afternoon + state_ext=stretched_down,102,0.007927454238815176,long,0.007927454238815176,0.6666666666666666,0.016521194358283968,-0.007352004692347198,0.41740608773827415
MU,15m,state_session=afternoon + state_ext=stretched_down,188,0.007259591703317056,long,0.007259591703317056,0.5372340425531915,0.02532126677213849,-0.014096839450222625,0.2029180362673319
PLTR,15m,state_session=afternoon + state_ext=stretched_up,102,0.007208329693640668,long,0.007208329693640668,0.5784313725490197,0.015295884498232434,-0.007210001626610195,0.2814885337426644
NFLX,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,742,-0.006980201615000392,short,0.006980201615000392,0.45417789757412397,0.005352303256346941,-0.013406985926204913,-0.09318320510494095
MU,15m,state_session=afternoon + state_ext=neutral + state_slope=downtrend,587,0.006931421989516431,long,0.006931421989516431,0.5706984667802385,0.02008477731422189,-0.011008763536303385,0.22940938122896398
UNG,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,129,-0.006857509656356796,short,0.006857509656356796,0.3643410852713178,0.007472839768859738,-0.014273529876373814,-0.19060540244841628
HOOD,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,197,0.006855196804408956,long,0.006855196804408956,0.6345177664974619,0.021498787668826586,-0.011023613220272184,0.20644709072672415
MU,15m,state_session=afternoon + state_slope=downtrend,766,0.006848654492269706,long,0.006848654492269706,0.5613577023498695,0.02121057794108632,-0.011805238907944918,0.22068984217518592
HOOD,15m,state_session=afternoon + state_ext=stretched_up,219,0.006814608445836599,long,0.006814608445836599,0.6164383561643836,0.02148688085822367,-0.011174666107146807,0.20357518989567036
ORCL,15m,state_session=afternoon + state_ext=stretched_down,117,-0.0067952024440806735,short,0.0067952024440806735,0.5128205128205128,0.008780236843120223,-0.015557846136700169,-0.2914692591845209
NFLX,15m,state_session=afternoon + state_slope=uptrend,759,-0.006769877732731334,short,0.006769877732731334,0.45718050065876153,0.0054173501134883095,-0.013296102057816443,-0.09137602225744554
SMCI,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,212,-0.006698261547038464,short,0.006698261547038464,0.4386792452830189,0.013061239292787323,-0.02094375067003039,-0.15922468981265916
ORCL,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,112,-0.00668083526644224,short,0.00668083526644224,0.5267857142857143,0.008698713425110631,-0.015279834206392817,-0.28614466772445485
INTC,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,180,0.00659798799560828,long,0.00659798799560828,0.5444444444444444,0.020560784051276388,-0.011531310644270562,0.25595352331860155
INTC,15m,state_session=afternoon + state_ext=neutral + state_slope=downtrend,605,0.006448563109780767,long,0.006448563109780767,0.5338842975206611,0.01832361833918043,-0.009433787446558352,0.2076085022991684
INTC,15m,state_session=afternoon + state_ext=stretched_up,196,0.006327160777662863,long,0.006327160777662863,0.5459183673469388,0.01984700551606453,-0.01171787175858506,0.2514149221873603
UNG,15m,state_session=afternoon + state_ext=stretched_up,137,-0.006278444564435871,short,0.006278444564435871,0.3795620437956204,0.007744715604305164,-0.0138173004998287,-0.1780788470151405
GOLD,15m,state_session=afternoon + state_ext=stretched_up,224,0.006206254750272777,long,0.006206254750272777,0.5625,0.013801954415274107,-0.007142955044092201,0.2694217007875222
GOLD,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,202,0.006169031447001574,long,0.006169031447001574,0.5544554455445545,0.013179304220528806,-0.006512360870245079,0.2693351504165582
ETHE,15m,state_session=afternoon + state_ext=stretched_up,168,-0.0061445409664458535,short,0.0061445409664458535,0.42857142857142855,0.007347749180293951,-0.014536258694525508,-0.2627329085452078
MU,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,175,0.006093405192083394,long,0.006093405192083394,0.5257142857142857,0.02425382920254543,-0.014791671813469789,0.18381901007699422
INTC,15m,state_session=afternoon + state_slope=downtrend,764,0.005974574153439332,long,0.005974574153439332,0.5130890052356021,0.018221019261556642,-0.010472094305507301,0.1929797797641294
AFRM,15m,state_ext=stretched_up + state_vol=low_vol,173,-0.005935008064701891,short,0.005935008064701891,0.3872832369942196,0.007777426985430127,-0.013854590631536106,-0.3128732754449814
MU,15m,state_session=afternoon + state_slope=uptrend,584,0.005830584815566927,long,0.005830584815566927,0.6095890410958904,0.018702432124617224,-0.010725660713101536,0.23735758520703154
AMD,15m,state_session=afternoon + state_ext=stretched_down,127,0.00582576281408481,long,0.00582576281408481,0.5669291338582677,0.018296006328303107,-0.009355069130878317,0.2614927608547171
ARM,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,200,0.005502997344961152,long,0.005502997344961152,0.57,0.018431208701861154,-0.015203527832654648,0.18054103730723156
HUM,15m,state_session=afternoon + state_ext=stretched_up,106,0.005441813490633477,long,0.005441813490633477,0.6320754716981132,0.014512608594480848,-0.005983306325821925,0.4040942898189985
HUM,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,105,0.005426365060782689,long,0.005426365060782689,0.6285714285714286,0.014583548689428606,-0.006040290195591657,0.4010517180116847
SMCI,15m,state_ext=stretched_up + state_slope=flat,106,-0.005423453206038557,short,0.005423453206038557,0.42452830188679247,0.013390319915409546,-0.01905612247370144,-0.1344132045276874
LCID,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,292,-0.0054100344913438824,short,0.0054100344913438824,0.3938356164383562,0.012779848087087264,-0.017659956466484612,-0.2175998952667847
SMCI,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,494,0.005265968201436608,long,0.005265968201436608,0.5607287449392713,0.016878436017290253,-0.010160573584699965,0.20654518654594786
ETHE,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,162,-0.005241275819744306,short,0.005241275819744306,0.4382716049382716,0.007638293205506171,-0.013674661272566578,-0.22965767625107905
ARM,15m,state_session=afternoon + state_ext=stretched_up,217,0.005236331289775921,long,0.005236331289775921,0.5576036866359447,0.018720213302100396,-0.015274986881420545,0.17426998558835036
LCID,15m,state_session=afternoon + state_ext=stretched_down,334,-0.005186025171785266,short,0.005186025171785266,0.38323353293413176,0.013321861469064146,-0.017820658055554783,-0.2010916615078237
LRCX,15m,state_session=afternoon + state_slope=downtrend,769,0.005158884830828127,long,0.005158884830828127,0.5435630689206762,0.01562865924791106,-0.009622112608757623,0.23159517432664373
ARM,15m,state_session=afternoon + state_ext=stretched_down,163,0.005158764953139523,long,0.005158764953139523,0.49693251533742333,0.02082767587330041,-0.012621436449479783,0.1531188157427789
ETHA,15m,state_session=afternoon + state_ext=stretched_up,164,-0.00500811203881233,short,0.00500811203881233,0.43902439024390244,0.008374018797830023,-0.013226013847815302,-0.23828893480896263
COIN,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,210,0.004978176873697628,long,0.004978176873697628,0.5761904761904761,0.01666535595380205,-0.010684133720011675,0.23744426993082163
KLAC,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,105,0.0048402488711192316,long,0.0048402488711192316,0.5523809523809524,0.015029462735786437,-0.008614537221209178,0.2266876669410825
KLAC,15m,state_session=afternoon + state_ext=stretched_down,106,0.004808708529551554,long,0.004808708529551554,0.5566037735849056,0.014988395771550303,-0.008572826426179753,0.22626424616863938
AFRM,15m,state_ext=stretched_down + state_slope=flat,101,-0.004758257142832626,short,0.004758257142832626,0.45544554455445546,0.009748111528810707,-0.015394317692082113,-0.26435624180043893
GOLD,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,196,0.0046374337762081245,long,0.0046374337762081245,0.5204081632653061,0.01342522087487338,-0.007829237418564962,0.21322386633161158
COIN,15m,state_session=afternoon + state_ext=stretched_down,236,0.0045618993440374725,long,0.0045618993440374725,0.5677966101694916,0.016425527351791563,-0.010762750118608744,0.21493184529021095
LRCX,15m,state_session=afternoon + state_ext=stretched_up,114,0.004467083649040791,long,0.004467083649040791,0.5877192982456141,0.01567349828831248,-0.009522475479261668,0.18545464152794272
LCID,15m,state_session=afternoon + state_ext=stretched_up,316,0.004450942913798106,long,0.004450942913798106,0.5727848101265823,0.021463907314496027,-0.013700478304748315,0.1616629799179174
URA,15m,state_session=afternoon + state_ext=stretched_down,118,0.004449900781249031,long,0.004449900781249031,0.5338983050847458,0.014867487696876713,-0.01109087135907936,0.19315508231010298
LRCX,15m,state_session=afternoon + state_ext=neutral + state_slope=downtrend,629,0.004449560809249862,long,0.004449560809249862,0.548489666136725,0.01465655986912171,-0.009514910029157653,0.20537836391611128
AA,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,111,0.004416095391356711,long,0.004416095391356711,0.5765765765765766,0.01545150214892913,-0.010796445939665852,0.20265087670960502
NOW,15m,state_ext=neutral + state_slope=downtrend,1442,-0.004384014660043255,short,0.004384014660043255,0.46601941747572817,0.005881039186290347,-0.011078722152723205,-0.08819169261476932
AMD,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,121,0.004361658504376455,long,0.004361658504376455,0.5454545454545454,0.017143806503741893,-0.009932926144676326,0.20807237884001925
CRWD,15m,state_session=afternoon + state_slope=downtrend,752,-0.004327205259589706,short,0.004327205259589706,0.550531914893617,0.009075017697172196,-0.01422594761169337,-0.06828472268562566
GS,15m,state_session=morning + state_ext=stretched_down + state_slope=downtrend,153,0.004310454192733174,long,0.004310454192733174,0.673202614379085,0.009642304670014002,-0.004548669835071075,0.4270816483569128
URA,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,114,0.0042921116571726405,long,0.0042921116571726405,0.5175438596491229,0.014922423016053198,-0.011329741608034044,0.1833381675729501
SNOW,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,115,-0.004288328514573716,short,0.004288328514573716,0.4782608695652174,0.01163833291273898,-0.018065716175280966,-0.14941193796929722
ARM,15m,state_session=afternoon + state_slope=uptrend,654,0.004283818895707397,long,0.004283818895707397,0.5122324159021406,0.017338637685214757,-0.01225872696177669,0.14755488355714674
SNOW,15m,state_session=afternoon + state_ext=stretched_down,119,-0.004282123476008433,short,0.004282123476008433,0.4789915966386555,0.011495830092568509,-0.018053791307564047,-0.15117937896526215
GOLD,15m,state_session=afternoon + state_ext=stretched_down,213,0.004282074980376303,long,0.004282074980376303,0.5117370892018779,0.013169569236115973,-0.007862801695880202,0.19700115548836306
MRVL,15m,state_session=afternoon + state_ext=stretched_up,209,0.004281149339261273,long,0.004281149339261273,0.4688995215311005,0.018150885595684133,-0.015040531845685826,0.125157901612104
LCID,15m,state_session=afternoon + state_slope=downtrend,709,-0.0041982132822727045,short,0.0041982132822727045,0.4033850493653032,0.011036075203823083,-0.014983005982026168,-0.19598703147315014
AMAT,15m,state_session=afternoon + state_slope=downtrend,806,0.004191381174741791,long,0.004191381174741791,0.5397022332506204,0.013422500850750125,-0.009059787750171786,0.2026884346864438
AMD,15m,state_session=afternoon + state_ext=neutral + state_slope=downtrend,601,0.004185286969665999,long,0.004185286969665999,0.5224625623960066,0.017203398686694613,-0.01162835435443373,0.11494501256175686
AVGO,15m,state_ext=stretched_down + state_vol=mid_vol,147,0.004162484127796776,long,0.004162484127796776,0.564625850340136,0.010755191805230227,-0.006160972659759855,0.2296582398953472
AMD,15m,state_session=afternoon + state_slope=downtrend,724,0.004142778627927131,long,0.004142778627927131,0.5248618784530387,0.01716109264504774,-0.011386899942424781,0.12085454660792161
MRVL,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,197,0.0041353427815239195,long,0.0041353427815239195,0.467005076142132,0.01769053107610132,-0.014980917006867543,0.12000911962263575
MU,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,396,0.004080542397895671,long,0.004080542397895671,0.6035353535353535,0.016644794349593567,-0.010471199721590116,0.17335478100389212
ARM,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,147,0.004074959303517213,long,0.004074959303517213,0.5034013605442177,0.019956001804942003,-0.01301303582390418,0.12619092422131747
INTC,15m,state_session=afternoon + state_ext=stretched_down + state_slope=downtrend,158,0.004029489590807668,long,0.004029489590807668,0.43037974683544306,0.017766372228270683,-0.01438584781582492,0.13149026438529507
GS,15m,state_session=morning + state_ext=stretched_down,164,0.004006775407750675,long,0.004006775407750675,0.6707317073170732,0.009409124121787654,-0.004804942531614721,0.3966094641125381
GOLD,15m,state_session=morning + state_ext=neutral + state_slope=uptrend,157,-0.0039672057354790255,short,0.0039672057354790255,0.36942675159235666,0.004967506415568592,-0.010674345940778832,-0.2555188598019689
