rank,symbol,timeframe,slice_combination,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,XOP,1d,state_trend_strength=strong_trend + state_vol_regime=vol_regime_high,long,rejected,late_emerging_regime_switching,64,False,52,True,0.0294408443712791,0.026276639689516403,state_vol_regime=vol_regime_high,0.019701010751178104,3.028527527426661e-06,2,1001,0.5,2,8,8,8,11.0,rejected,rejected,rejected,survived,survived,rejected,rejected,rejected,17,4,True,True
2,XOP,1d,state_vol_regime=vol_regime_high + state_ret_20=ret_up,long,rejected,late_emerging_recent_only,40,False,31,True,0.03720911191089869,0.034044907229136,state_vol_regime=vol_regime_high,0.027469278290797698,7.888721293314305e-06,1,0001,0.25,2,8,8,8,10.5,rejected,rejected,rejected,survived,survived,rejected,rejected,rejected,17,5,True,True
3,XLF,1d,state_vol=high_vol + state_atr_ext=atr_up,long,rejected,late_emerging_valid_supported,105,False,18,True,0.014450818371105397,0.012634722782421191,state_atr_ext=atr_up,0.010641554533099168,0.018966840601172708,2,1010,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,17,6,False,False
4,XOP,1d,state_vol=high_vol + state_trend_strength=strong_trend,long,rejected,provisional_sample_starved,120,False,14,False,0.04222862348456158,0.039064418802798886,state_vol=high_vol,0.022179056549345603,0.0,1,1000,0.25,0,8,8,8,6.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,17,1,True,True
5,XOP,1d,state_vol=high_vol + state_vol_regime=vol_regime_high,long,rejected,rejected_unsupported,127,True,48,False,0.020159798685429487,0.016995594003666792,state_vol=high_vol,0.00011023175021351167,0.05196446447918035,2,1010,0.5,0,8,8,0,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,17,10,False,False
6,XOP,1d,state_slope=uptrend + state_vol_regime=vol_regime_high,long,rejected,rejected_unsupported,48,False,41,False,0.01991102884396675,0.016746824162204056,state_vol_regime=vol_regime_high,0.010171195223865758,0.14460315472221974,1,0001,0.25,0,8,8,1,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,17,12,False,False
7,XLF,1d,state_vol=high_vol + state_ret_3=ret_up,long,rejected,rejected_unsupported,137,False,32,False,0.007941874384013638,0.0061257787953294335,state_vol=high_vol,0.006163311677253687,0.14998053707530712,1,0010,0.25,0,7,7,1,5.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,17,13,False,False
8,XOP,1d,state_vol=high_vol + state_ret_20=ret_up,long,rejected,provisional_sample_starved,143,False,3,False,0.11175503705033207,0.10859083236856938,state_vol=high_vol,0.0917054701151161,0.0,0,0000,0.0,0,7,7,7,5.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,17,2,True,True
9,XLF,1d,state_trend_strength=strong_trend + state_vol=high_vol,long,rejected,rejected_unsupported,102,False,24,False,0.011469960797185902,0.009653865208501696,state_trend_strength=strong_trend,0.007779210694663492,0.07165812992890408,0,0000,0.0,0,7,7,0,4.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,17,11,False,False
10,XLB,1d,state_trend_strength=strong_trend + state_ext=stretched_up,long,rejected,parent_underperformed,161,False,76,True,0.007334579762907267,0.004295739681744791,state_trend_strength=strong_trend,-0.0008810822053267288,0.04128751284289178,1,1000,0.25,0,8,0,5,2.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,17,8,False,False
