symbol,timeframe,slice_combination,side,source_note,bin_mode,exit_horizon,stop_atr_mult,valid_regimes
AAPL,1d,state_gap_open=gap_open_flat + state_relvol=relvol_elevated + state_ext=stretched_up,long,auto_promoted_tradeable,rolling,20,3.36223731371127,[]
ABBV,1d,state_ext=stretched_down + state_vol=low_vol,long,auto_promoted_strict_candidate,rolling,10,3.1323979247896045,"[""bull"", ""neutral"", ""bear""]"
ABBV,1d,state_ext=stretched_down + state_slope=downtrend + state_vol=low_vol,long,auto_promoted_tradeable,rolling,10,3.1405836673907137,"[""bull"", ""neutral"", ""bear""]"
ADBE,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_down,long,auto_promoted_tradeable,rolling,10,3.113864235161106,"[""neutral"", ""bear""]"
ADI,1d,state_ext=stretched_down + state_ret_1=ret_down,long,auto_promoted_strict_candidate,rolling,20,4.456554620274967,"[""bull"", ""neutral"", ""bear""]"
ADI,1d,state_ext=stretched_down + state_slope=downtrend,long,auto_promoted_strict_candidate,rolling,20,4.57796933169447,"[""bull"", ""neutral"", ""bear""]"
ADI,1d,state_ext=stretched_down + state_vol=mid_vol,long,auto_promoted_tradeable,rolling,20,4.605445818938514,"[""bull"", ""neutral"", ""bear""]"
ADI,1d,cross_USO_state_ext=neutral + state_ext=stretched_down,long,auto_promoted_tradeable,rolling,20,3.928607947017057,"[""bull"", ""neutral"", ""bear""]"
ADI,1d,cross_USO_state_vol=mid_vol + state_ext=stretched_down,long,auto_promoted_tradeable,rolling,20,4.329127485679229,"[""bull"", ""neutral"", ""bear""]"
ADI,1d,state_ext=stretched_down + state_slope=downtrend + state_vol=mid_vol,long,auto_promoted_tradeable,rolling,20,4.468028683305562,"[""bull"", ""neutral"", ""bear""]"
ADI,1d,state_relvol=relvol_normal + state_ext=stretched_down,long,auto_promoted_strict_candidate,rolling,20,4.333779560000134,"[""bull"", ""neutral"", ""bear""]"
ADI,1d,state_volume=vol_normal + state_slope=downtrend,long,auto_promoted_tradeable,rolling,20,4.698810980828486,"[""bull"", ""neutral"", ""bear""]"
ADI,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_down,long,auto_promoted_tradeable,rolling,20,4.286087898585015,"[""bull"", ""neutral"", ""bear""]"
ADI,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=uptrend + state_ext=stretched_down,long,auto_promoted_tradeable,rolling,20,4.900537959374561,"[""bull"", ""neutral"", ""bear""]"
ADI,1d,state_volume=vol_normal + state_ext=stretched_down,long,auto_promoted_tradeable,rolling,20,4.532893108245832,"[""bull"", ""neutral"", ""bear""]"
ARKK,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend + state_ext=stretched_down,long,auto_promoted_tradeable,rolling,20,3.920590810938492,"[""bull"", ""neutral"", ""bear""]"
ARKW,1d,state_volume=vol_normal + state_slope=uptrend,long,auto_promoted_tradeable,rolling,20,5.0,"[""bull""]"
ARKW,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend + state_ext=stretched_down,long,auto_promoted_tradeable,rolling,20,3.2268580781198053,"[""bull"", ""neutral"", ""bear""]"
ARKW,1d,state_volume=vol_normal + state_ext=neutral + state_slope=uptrend,long,auto_promoted_tradeable,rolling,20,4.912645626556451,"[""bull"", ""neutral""]"
AVGO,1d,cross_USO_state_ext=stretched_down + state_ext=stretched_down,long,auto_promoted_tradeable,rolling,20,4.849801096246927,"[""bull"", ""neutral"", ""bear""]"
AVGO,1d,cross_USO_state_vol=high_vol + state_ext=stretched_down,long,auto_promoted_tradeable,rolling,20,3.7527092957895833,"[""bull"", ""neutral"", ""bear""]"
AVGO,1d,state_volume=vol_surge + state_ext=stretched_down,long,auto_promoted_tradeable,rolling,20,4.434099293535061,"[""bull"", ""neutral"", ""bear""]"
