rank,symbol,timeframe,slice_combination,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,XLF,1d,state_ext=stretched_up + state_slope=flat,long,survived,clean_survivor_wf_strong,88,True,33,True,0.01004999596718178,0.008347120182294165,state_ext=stretched_up,0.0059473848509193645,0.03512413415693416,4,1111,1.0,7,8,8,7,19.75,survived,survived,rejected,survived,survived,survived,survived,survived,676,57,False,False
2,XLE,1d,state_ext=stretched_down + state_slope=downtrend,long,survived,clean_survivor_wf_mixed,180,True,61,True,0.01618485800231677,0.011950701741514101,state_slope=downtrend,0.001409087877171632,0.00022146910456699587,2,0110,0.5,7,8,7,7,18.5,survived,survived,survived,survived,rejected,survived,survived,survived,676,11,True,False
3,XLK,1h,state_ext=stretched_up + state_vol=low_vol,long,survived,clean_survivor_wf_mixed,157,True,45,True,0.004719520695366565,0.003956789418995958,state_ext=stretched_up,0.003085945642770359,0.012643715984606674,1,0001,0.25,7,8,8,8,18.5,survived,survived,rejected,survived,survived,survived,survived,survived,676,38,False,False
4,XLE,1h,state_session=afternoon + state_ext=neutral,long,survived,clean_survivor_wf_failed,1349,True,652,True,0.0014243915597789841,0.001105179307775532,state_ext=neutral,0.0005938070817133556,0.046999711476442885,0,0000,0.0,4,8,8,4,14.0,survived,rejected,rejected,rejected,rejected,survived,survived,survived,676,64,False,False
5,SPY,1d,state_ext=neutral + state_slope=uptrend,long,survived,over_specified_survivor,76,True,26,True,0.007354729280807008,0.0042104427324208965,state_slope=uptrend,-0.00017102118163470244,0.019739946344858206,2,1100,0.5,5,8,1,6,11.75,survived,survived,rejected,rejected,rejected,survived,survived,survived,676,45,False,False
6,IWM,1h,state_session=morning + state_ext=stretched_down,long,rejected,late_emerging_recent_only,345,False,105,True,0.007294886067853709,0.006875453405679818,state_ext=stretched_down,0.003062757593897747,0.011617071212034036,1,0001,0.25,1,8,7,8,9.25,rejected,rejected,rejected,rejected,survived,rejected,rejected,rejected,676,36,False,False
7,GLD,1h,state_ext=stretched_up + state_slope=flat,long,provisional,provisional_sample_starved,10,False,20,True,0.005240092310832334,0.004699001440112616,state_slope=flat,0.0041275832269642085,0.00100467706820484,0,0000,0.0,0,8,8,8,9.0,provisional,provisional,provisional,provisional,provisional,provisional,provisional,provisional,676,12,False,False
8,GLD,1d,state_ext=stretched_up + state_vol=mid_vol,long,rejected,late_emerging_regime_switching,92,False,38,True,0.013934658210047319,0.00786415487647877,state_vol=mid_vol,0.0023135013761210656,0.008497737949119566,2,1001,0.5,0,8,7,7,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,30,False,False
9,SPY,1d,state_ext=stretched_up + state_slope=uptrend,long,rejected,late_emerging_regime_switching,227,False,82,True,0.007579976690764909,0.004435690142378798,state_slope=uptrend,5.422622832319899e-05,0.005932653943735433,2,0101,0.5,0,8,7,7,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,24,False,False
10,DIA,1d,state_ext=neutral + state_slope=uptrend,long,rejected,late_emerging_recent_only,88,False,46,True,0.008570307915372376,0.005729149430358054,state_ext=neutral,0.004904597321308216,7.423471837242346e-09,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,2,True,True
11,QQQ,1h,state_ext=stretched_up + state_vol=low_vol,long,rejected,late_emerging_recent_only,69,False,20,True,0.003531277299159829,0.0031511086271475757,state_ext=stretched_up,0.0032378940562302967,0.009925341441749946,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,34,False,False
12,DIA,1d,state_ext=neutral + state_vol=mid_vol,long,rejected,late_emerging_recent_only,125,False,93,True,0.0068750944454852156,0.0040339359604708944,state_ext=neutral,0.0032093838514210557,0.004516787440348002,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,21,False,False
13,XLF,1d,state_ext=stretched_down + state_vol=mid_vol,long,rejected,late_emerging_recent_only,54,False,36,True,0.008072027807388258,0.006369152022500643,state_ext=stretched_down,0.0017701822535123642,0.019738770094169356,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,44,False,False
14,IWM,1d,state_ext=stretched_up + state_vol=high_vol,long,rejected,late_emerging_regime_switching,135,False,39,True,0.021359637158487297,0.017037113690572613,state_vol=high_vol,0.005476713726373206,1.6047922990480856e-08,2,0101,0.5,0,7,6,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,4,True,True
15,USO,1d,state_ext=neutral + state_slope=uptrend,long,rejected,late_emerging_recent_only,36,False,28,True,0.02168905877630502,0.01509979398046402,state_slope=uptrend,0.007343776339993944,0.009149251205954334,1,0001,0.25,0,8,7,8,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,32,False,False
16,XLE,1h,state_session=afternoon + state_ext=neutral + state_slope=flat,long,rejected,late_emerging_recent_only,546,False,276,True,0.0029488068687310324,0.0026295946167275803,state_session=afternoon + state_slope=flat,0.0004397814898579929,0.006401147072000901,1,0001,0.25,0,8,7,8,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,26,False,False
17,TLT,1d,state_ext=stretched_up + state_vol=mid_vol,short,provisional,provisional_sample_starved,40,True,11,False,0.007307534095775254,0.008385476584681554,state_ext=stretched_up,0.0012986659006866512,0.021580502092350518,1,0010,0.25,1,8,8,6,8.0,provisional,provisional,provisional,survived,rejected,provisional,provisional,rejected,676,49,False,False
18,XLE,1h,state_ext=neutral + state_vol=high_vol,long,rejected,late_emerging_valid_supported,1246,False,347,True,0.002943971837774816,0.002624759585771364,state_ext=neutral,0.0021133873597091878,0.008250979441444262,1,0010,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,29,False,False
19,IWM,1h,state_session=morning + state_ext=stretched_down + state_slope=downtrend,long,rejected,late_emerging_valid_supported,311,False,91,True,0.007319998496211656,0.006900565834037765,state_session=morning + state_ext=stretched_down,2.511242835794708e-05,0.017485562311327252,1,0010,0.25,0,8,7,7,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,42,False,False
20,XLE,1d,state_ext=stretched_down + state_vol=high_vol,long,rejected,late_emerging_valid_supported,92,False,24,True,0.016116802621810266,0.011882646361007596,state_ext=stretched_down,0.0027785637055851246,0.027709169631210173,0,0000,0.0,0,8,8,8,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,53,False,False
21,XLE,1h,state_session=afternoon + state_slope=flat,long,rejected,late_emerging_recent_only,560,False,281,True,0.0025090253788730395,0.0021898131268695874,state_slope=flat,0.0013023559419166144,0.04722091317799726,1,0001,0.25,0,8,8,5,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,65,False,False
22,XLE,1d,state_ext=stretched_down + state_vol=low_vol,long,rejected,late_emerging_valid_supported,58,False,26,True,0.013980427398447475,0.009746271137644803,state_ext=stretched_down,0.0006421884822223334,0.0012667931738343796,1,0100,0.25,0,8,7,6,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,15,False,False
23,USO,1h,state_session=morning + state_ext=stretched_down + state_slope=downtrend,long,rejected,late_emerging_valid_supported,437,False,229,True,0.003674306337086174,0.003108129368106986,state_ext=stretched_down + state_slope=downtrend,0.00041522610116632866,0.03046963175743267,1,0010,0.25,0,8,7,6,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,55,False,False
24,QQQ,1d,state_ext=stretched_up + state_slope=uptrend,long,rejected,late_emerging_valid_supported,235,False,101,True,0.010329004976659933,0.005777475732662605,state_slope=uptrend,4.608611017381352e-05,0.020711597194221776,1,1000,0.25,0,8,7,6,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,46,False,False
25,DIA,1d,state_ext=stretched_up + state_vol=high_vol,long,rejected,late_emerging_valid_supported,117,False,34,True,0.008578999742096935,0.005737841257082613,state_vol=high_vol,0.0027291250283795207,0.022317300421547337,1,1000,0.25,0,8,6,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,51,False,False
26,IWM,1h,state_session=lunch + state_ext=neutral + state_slope=downtrend,long,rejected,late_emerging_recent_only,456,False,166,True,0.0019675929762753893,0.0015481603141014983,state_session=lunch + state_slope=downtrend,1.5235833849673065e-05,0.036949652905961194,1,0001,0.25,0,8,7,5,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,59,False,False
27,SPY,1d,state_ext=stretched_up + state_vol=high_vol,long,rejected,late_emerging_valid_supported,114,False,39,True,0.015995991993122096,0.012851705444735986,state_vol=high_vol,0.005158544832302438,0.00015853470337612308,0,0000,0.0,0,8,6,8,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,10,True,False
28,DIA,1h,state_ext=stretched_down + state_vol=mid_vol,long,rejected,late_emerging_valid_supported,20,False,19,True,0.0029568415651582865,0.002686335419076947,state_vol=mid_vol,0.0026116469123629617,0.007575816150918291,0,0000,0.0,0,8,7,7,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,28,False,False
29,IWM,1d,state_ext=neutral + state_slope=uptrend,long,rejected,late_emerging_valid_supported,64,False,35,True,0.010626816583409218,0.006304293115494533,state_slope=uptrend,0.0041709697095744,0.0010610044474916869,0,0000,0.0,0,8,7,6,7.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,13,False,False
30,XLK,1d,state_ext=stretched_up + state_slope=uptrend,long,rejected,late_emerging_valid_supported,225,False,115,True,0.015813266790895196,0.009297725954157432,state_slope=uptrend,0.00015890900044511838,0.009482817860968051,0,0000,0.0,0,8,6,7,7.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,33,False,False
31,DIA,1d,state_ext=stretched_up + state_vol=low_vol,short,rejected,late_emerging_recent_only,87,False,15,True,0.008567512811534226,0.011808671296548548,state_vol=low_vol,0.008559996580419007,0.046654565390812586,1,0001,0.25,0,8,8,2,7.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,63,False,False
32,QQQ,1h,state_ext=stretched_down + state_slope=flat,long,rejected,late_emerging_valid_supported,32,False,17,True,0.010808710915783986,0.010428542243771733,state_ext=stretched_down,0.007795508183172558,0.039684037780109316,0,0000,0.0,0,8,7,5,7.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,61,False,False
33,QQQ,1h,state_ext=stretched_down + state_vol=low_vol,long,provisional,provisional_sample_starved,39,True,4,False,0.00913017063903774,0.008750001967025486,state_ext=stretched_down,0.006116967906426312,1.3643551783015795e-05,0,0000,0.0,0,8,8,8,7.0,provisional,provisional,rejected,rejected,provisional,provisional,provisional,provisional,676,7,True,True
34,IWM,1h,state_session=morning + state_slope=downtrend,long,rejected,late_emerging_valid_supported,1025,False,391,True,0.0022559531386875296,0.0018365204765136386,state_slope=downtrend,0.0006077094058059092,0.014169174127173445,0,0000,0.0,0,8,7,5,7.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,40,False,False
35,XLF,1d,state_ext=stretched_up + state_vol=high_vol,long,rejected,rejected_unsupported,137,False,25,False,0.009907628840972722,0.008204753056085107,state_ext=stretched_up,0.0058050177247103065,0.12682224158989186,2,1010,0.5,0,8,8,2,6.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,131,False,False
36,USO,1h,state_ext=stretched_down + state_vol=low_vol,long,rejected,rejected_unsupported,159,False,94,False,0.0028568933476791,0.0022907163786999116,state_ext=stretched_down,0.0004934632472799443,0.13636774328523105,2,1001,0.5,0,8,8,2,6.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,141,False,False
37,XLK,1d,state_ext=stretched_down + state_slope=downtrend,long,rejected,rejected_unsupported,186,False,61,False,0.009964158190825185,0.00344861735408742,state_ext=stretched_down,0.0015835886563055884,0.27731996626232114,2,0101,0.5,0,8,8,1,6.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,233,False,False
38,QQQ,1h,state_session=afternoon + state_ext=stretched_down,long,rejected,rejected_unsupported,221,False,60,False,0.0036585683747407793,0.003278399702728526,state_ext=stretched_down,0.0006453656421293512,0.28376582898322456,2,0101,0.5,0,8,8,1,6.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,676,238,False,False
