symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,rank,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size_regime,search_wide_rank_regime,search_wide_bh_pass_regime,search_wide_bonferroni_pass_regime,candidate_key,strict_gate_pass,status,live_decay_flag,not_regime_evaluated,all_regime_mean_ret_costadj,regime_excess_vs_all,regime_candidate_status
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,bull,BTC/USD,ok,515,19,0.11300932911054493,0.7368421052631579,3.5067407251486777,0.0004536309156544238,True,-0.012337877889713977,0.1253472070002589,state_slope=downtrend,0.055878713290239655,0.05713061582030527,33,rolling,4,short,rejected,late_emerging_recent_only,9,False,24,True,0.060571517978758614,0.05400976323621443,cross_BTC/USD_state_slope=uptrend,0.04361963620060127,0.006946419453666808,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,138,13,True,False,UNI/USD|1d|cross_BTC/USD_state_slope=uptrend + state_slope=downtrend|rolling,False,research_only,False,False,0.06129769484990169,0.051711634260643236,bull_regime_candidate
AAVE/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,bull,BTC/USD,ok,515,24,0.09184981736439239,0.7916666666666666,3.049837184369988,0.0022896545477510966,True,0.006450746648017597,0.0853990707163748,state_slope=downtrend,0.04928826918249033,0.04256154818190206,31,rolling,4,long,rejected,late_emerging_recent_only,44,False,43,True,0.05248835652293308,0.058304153602751166,state_slope=downtrend,0.0466241120026644,0.0008481109483287064,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,138,22,True,False,AAVE/USD|1d|cross_ETH/USD_state_slope=flat + state_slope=downtrend|rolling,False,research_only,False,False,0.032800236414012196,0.059049580950380195,bull_regime_candidate
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,bull,BTC/USD,ok,515,26,0.08970742293350129,0.8461538461538461,3.9283272512850336,8.55387615477099e-05,True,-0.012337877889713977,0.10204530082321527,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,0.07872155976480033,0.010985863168700954,8,rolling,4,short,survived,clean_survivor_wf_failed,21,True,16,True,0.09375698189109694,0.08719522714855275,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral,0.0338713966104328,0.0016770392341687312,0,0000,0.0,6,8,8,7,16.75,survived,survived,survived,rejected,rejected,survived,survived,survived,138,8,True,True,UNI/USD|1d|cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down|rolling,False,research_only,False,False,0.06977779628883064,0.019929626644670642,bull_regime_candidate
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,bull,BTC/USD,ok,515,37,0.07872155976480033,0.7837837837837838,3.778801101829218,0.0001575852266286759,True,-0.012337877889713977,0.09105943765451431,cross_ETH/USD_state_ext=neutral,0.01856927593313444,0.06015228383166589,1,rolling,4,short,survived,clean_survivor_wf_mixed,76,True,38,True,0.0549243129625828,0.04836255822003862,cross_ETH/USD_state_ext=neutral,0.027932564240438263,0.0017876617760637092,2,0101,0.5,8,8,8,8,20.0,survived,survived,survived,survived,survived,survived,survived,survived,138,9,True,True,UNI/USD|1d|cross_ETH/USD_state_ext=neutral + state_ext=stretched_down|rolling,False,research_only,False,False,0.040874549168804106,0.037847010595996225,bull_regime_candidate
ETH/USD,1d,cross_BTC/USD_state_slope=downtrend + state_slope=flat,bull,BTC/USD,ok,515,17,0.07711977766538465,0.8235294117647058,2.8747238284780754,0.0040438103404345505,True,0.009654556231654565,0.06746522143373009,cross_BTC/USD_state_slope=downtrend,0.03839775171617443,0.03872202594921022,32,rolling,4,long,rejected,late_emerging_recent_only,50,False,40,True,0.04141371231940112,0.04403905669346766,cross_BTC/USD_state_slope=downtrend,0.04474154269677129,0.006489333966700039,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,138,24,True,False,ETH/USD|1d|cross_BTC/USD_state_slope=downtrend + state_slope=flat|rolling,False,research_only,False,False,0.01653567775424387,0.060584099911140776,bull_regime_candidate
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,bull,BTC/USD,ok,515,44,0.06733356510861442,0.6590909090909091,2.574798594970657,0.010029847160592409,True,0.004339228921362992,0.06299433618725143,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.04817899728225294,0.019154567826361484,5,rolling,4,short,survived,clean_survivor_wf_mixed,50,True,20,True,0.0921425437417888,0.07787794299012427,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.028876748464288962,0.0012756794763533197,1,0010,0.25,6,8,7,7,17.0,survived,survived,survived,rejected,rejected,survived,survived,survived,138,33,True,False,SUSHI/USD|1d|cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down|rolling,False,research_only,False,False,0.0653445267769352,0.0019890383316792243,bull_regime_candidate
UNI/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,bull,BTC/USD,ok,515,22,0.06237551009330366,0.8636363636363636,3.3981459240911356,0.0006784422167531723,True,-0.012337877889713977,0.07471338798301763,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend,0.034009170340577,0.028366339752726656,38,rolling,4,short,rejected,late_emerging_recent_only,19,False,17,True,0.07354171090797058,0.0669799561654264,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,0.030431070614271367,1.6049600787271245e-05,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,138,16,True,False,UNI/USD|1d|cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up|rolling,False,research_only,False,False,0.0406323382791515,0.02174317181415216,bull_regime_candidate
AVAX/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_down,bull,BTC/USD,ok,515,83,0.06146664633788453,0.7228915662650602,3.433229451009654,0.0005964371198374785,True,-0.0045968182826128245,0.06606346462049736,state_ext=stretched_down,0.03749030884038242,0.02397633749750211,94,rolling,4,short,rejected,late_emerging_recent_only,168,False,141,True,0.023658470698170113,0.014896263792001993,cross_ETH/USD_state_vol=mid_vol,0.002131395478225183,0.03350127789416213,1,0001,0.25,0,8,7,6,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,138,15,True,False,AVAX/USD|1d|cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_down|rolling,False,research_only,False,False,0.021497028783448745,0.03996961755443579,bull_regime_candidate
AVAX/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,bull,BTC/USD,ok,515,46,0.05643538852463279,0.8695652173913043,5.050022099782024,4.417589545280265e-07,True,-0.0045968182826128245,0.061032206807245616,cross_ETH/USD_state_slope=flat + state_ext=stretched_down,0.04462783268681796,0.011807555837814829,10,rolling,4,short,survived,clean_survivor_wf_failed,98,True,34,True,0.036767744556630996,0.028005537650462875,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,0.01512664942765278,0.027629116033545342,0,0000,0.0,5,8,7,6,15.25,survived,survived,survived,rejected,rejected,survived,survived,rejected,138,4,True,True,AVAX/USD|1d|cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down|rolling,False,research_only,False,False,0.029049700143224208,0.027385688381408584,bull_regime_candidate
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,bull,BTC/USD,ok,395,40,0.05511723723020475,0.775,3.1400158916618173,0.0016893867008984653,True,0.0018012901822515531,0.0533159470479532,state_slope=flat,0.047350813627287415,0.007766423602917336,2,rolling,4,short,survived,clean_survivor_wf_mixed,48,True,41,True,0.05255148962055151,0.03302834954531445,cross_ETH/USD_state_slope=uptrend,0.004110762619781459,0.0016811650635575326,2,1001,0.5,8,8,8,8,20.0,survived,survived,survived,survived,survived,survived,survived,survived,138,20,True,False,DOT/USD|1d|cross_ETH/USD_state_slope=uptrend + state_slope=flat|rolling,False,research_only,False,False,0.04440372590257602,0.010713511327628732,bull_regime_candidate
