rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_mixed,76,True,38,True,0.0549243129625828,0.04836255822003862,cross_ETH/USD_state_ext=neutral,0.027932564240438263,0.0017876617760637092,2,0101,0.5,8,8,8,8,20.0,survived,survived,survived,survived,survived,survived,survived,survived,2047,158,True,False
2,DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,rolling,4,short,survived,clean_survivor_wf_mixed,48,True,41,True,0.05255148962055151,0.03302834954531445,cross_ETH/USD_state_slope=uptrend,0.004110762619781459,0.0016811650635575326,2,1001,0.5,8,8,8,8,20.0,survived,survived,survived,survived,survived,survived,survived,survived,2047,156,True,False
3,SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_mixed,51,True,16,True,0.07906984905021873,0.06480524829855419,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,0.034535500666828575,0.004397235712950698,1,0010,0.25,7,8,8,7,18.25,survived,survived,survived,survived,rejected,survived,survived,survived,2047,189,True,False
4,DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,rolling,4,short,survived,clean_survivor_wf_failed,28,True,18,True,0.04421910649322315,0.02469596641798609,state_ext=stretched_up,0.0061415718617414405,0.0060085134446272725,0,0000,0.0,7,8,8,8,18.0,survived,survived,survived,survived,provisional,survived,survived,survived,2047,205,False,False
5,SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_mixed,50,True,20,True,0.0921425437417888,0.07787794299012427,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.028876748464288962,0.0012756794763533197,1,0010,0.25,6,8,7,7,17.0,survived,survived,survived,rejected,rejected,survived,survived,survived,2047,144,True,False
6,DOGE/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_mixed,73,True,30,True,0.03819147102811889,0.02881540646857711,state_ext=stretched_down,0.02442640262338807,0.038094019484222974,1,0010,0.25,6,8,7,7,17.0,survived,survived,survived,rejected,rejected,survived,survived,survived,2047,365,False,False
7,SUSHI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_mixed,90,True,43,True,0.043478054358881905,0.029213453607217374,cross_ETH/USD_state_ext=neutral,0.008536318619665154,0.043665767932245636,1,0010,0.25,6,8,8,6,17.0,survived,survived,survived,survived,rejected,survived,survived,rejected,2047,385,False,False
8,UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_failed,21,True,16,True,0.09375698189109694,0.08719522714855275,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral,0.0338713966104328,0.0016770392341687312,0,0000,0.0,6,8,8,7,16.75,survived,survived,survived,rejected,rejected,survived,survived,survived,2047,155,True,False
9,DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up,rolling,4,short,survived,clean_survivor_wf_mixed,79,True,21,True,0.0814027343639086,0.06187959428867154,cross_ETH/USD_state_vol=mid_vol,0.03701817290364322,3.8534806669598964e-05,1,0100,0.25,5,8,8,7,16.25,survived,survived,survived,rejected,provisional,survived,survived,rejected,2047,88,True,False
10,AVAX/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_failed,98,True,34,True,0.036767744556630996,0.028005537650462875,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,0.01512664942765278,0.027629116033545342,0,0000,0.0,5,8,7,6,15.25,survived,survived,survived,rejected,rejected,survived,survived,rejected,2047,333,False,False
11,CRV/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_mixed,61,True,23,True,0.03203883685441187,0.015141217817255859,cross_ETH/USD_state_ext=neutral,0.010399712585966735,0.04545618543673502,2,1010,0.5,4,8,8,4,15.0,survived,survived,rejected,survived,rejected,survived,rejected,rejected,2047,389,False,False
12,CRV/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,rolling,4,short,survived,over_specified_survivor,31,True,18,True,0.04352077427519942,0.026623155238043407,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,-0.017625213252806998,0.0009077702335649196,1,0010,0.25,7,8,1,8,13.75,survived,survived,survived,survived,provisional,survived,survived,survived,2047,132,True,False
13,LTC/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_up,rolling,4,short,rejected,late_emerging_regime_switching,43,False,23,True,0.044377628583552424,0.03963688156203515,cross_ETH/USD_state_ext=neutral,0.021165530322063763,0.005620990745276888,2,0011,0.5,1,8,8,8,10.0,rejected,rejected,rejected,rejected,survived,rejected,rejected,rejected,2047,199,False,False
