symbol,timeframe,slice_combination,side,bin_mode,all_regime_status,strict_gate_pass,overall_regime_status,best_regime,best_regime_mean_ret_costadj,best_regime_p_value_nw,bull_status,bear_status,neutral_status,valid_mean_ret_costadj,valid_p_value_nw,walk_forward_pass_pattern,search_wide_bh_pass,search_wide_bonferroni_pass
AAVE/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=flat,short,rolling,research_only,False,bear_regime_candidate,bear,0.061181870942499335,0.004045359426254613,regime_switching_research_only,bear_regime_candidate,regime_switching_research_only,0.05104701588785046,7.331309675517872e-05,1001,True,False
XRP/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=neutral,short,rolling,research_only,False,bear_regime_candidate,bear,0.04167496353558097,3.2875924205200135e-12,unsupported,bear_regime_candidate,regime_switching_research_only,0.03451713815887813,5.953971083050291e-06,0001,True,True
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,short,rolling,research_only,False,bear_regime_candidate,bear,0.03891688492666992,4.6845847267995566e-07,regime_switching_research_only,bear_regime_candidate,regime_switching_research_only,0.055983768029831134,1.1102230246251565e-14,0010,True,True
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,short,rolling,research_only,False,bull_regime_candidate,bull,0.11300932911054493,0.0004536309156544238,bull_regime_candidate,unsupported,unsupported,0.060571517978758614,0.006946419453666808,0001,False,False
AAVE/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,long,rolling,research_only,False,bull_regime_candidate,bull,0.09184981736439239,0.0022896545477510966,bull_regime_candidate,regime_switching_research_only,regime_switching_research_only,0.05248835652293308,0.0008481109483287064,0001,True,False
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,research_only,False,bull_regime_candidate,bull,0.08970742293350129,8.55387615477099e-05,bull_regime_candidate,unsupported,unsupported,0.09375698189109694,0.0016770392341687312,0000,True,False
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,research_only,False,bull_regime_candidate,bull,0.07872155976480033,0.0001575852266286759,bull_regime_candidate,regime_switching_research_only,regime_switching_research_only,0.0549243129625828,0.0017876617760637092,0101,True,False
ETH/USD,1d,cross_BTC/USD_state_slope=downtrend + state_slope=flat,long,rolling,research_only,False,bull_regime_candidate,bull,0.07711977766538465,0.0040438103404345505,bull_regime_candidate,regime_switching_research_only,unsupported,0.04141371231940112,0.006489333966700039,0001,False,False
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,rolling,research_only,False,bull_regime_candidate,bull,0.06733356510861442,0.010029847160592409,bull_regime_candidate,unsupported,unsupported,0.0921425437417888,0.0012756794763533197,0010,True,False
UNI/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,short,rolling,research_only,False,bull_regime_candidate,bull,0.06237551009330366,0.0006784422167531723,bull_regime_candidate,unsupported,unsupported,0.07354171090797058,1.6049600787271245e-05,0001,True,True
