symbol,timeframe,slice_combination,side,bin_mode,overall_regime_status,best_regime,best_regime_mean_ret_costadj,best_regime_p_value_nw,triage_bucket,valid_n,valid_mean_ret_costadj,valid_p_value_nw,walk_forward_pass_pattern,search_wide_bh_pass,search_wide_bonferroni_pass,source_note
XRP/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=neutral,short,rolling,bear_regime_candidate,bear,0.04167496353558097,3.2875924205200135e-12,late_emerging_recent_only,25,0.0345171381588781,5.953971083050291e-06,1,True,True,bear_regime_candidate
AVAX/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,rolling,bull_regime_candidate,bull,0.05643538852463279,4.417589545280265e-07,clean_survivor_wf_failed,34,0.0367677445566309,0.0276291160335453,0,False,False,bull_regime_candidate
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,short,rolling,bear_regime_candidate,bear,0.03891688492666992,4.6845847267995566e-07,late_emerging_valid_supported,22,0.0559837680298311,1.1102230246251564e-14,10,True,True,bear_regime_candidate
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,bull_regime_candidate,bull,0.08970742293350129,8.55387615477099e-05,clean_survivor_wf_failed,16,0.0937569818910969,0.0016770392341687,0,True,False,bull_regime_candidate
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,bull_regime_candidate,bull,0.07872155976480033,0.0001575852266286759,clean_survivor_wf_mixed,38,0.0549243129625828,0.0017876617760637,101,True,False,bull_regime_candidate
DOGE/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,rolling,bull_regime_candidate,bull,0.054606081779275624,0.00016829953825725497,late_emerging_valid_supported,44,0.0472842075357081,0.0249041913654424,10,False,False,bull_regime_candidate
LTC/USD,1d,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,short,rolling,bull_regime_candidate,bull,0.02930401103313818,0.0002133729658209127,late_emerging_regime_switching,50,0.0280581632661601,0.0013251819017254,101,True,False,bull_regime_candidate
BCH/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,short,rolling,bull_regime_candidate,bull,0.05110335820884099,0.0005692600686653115,late_emerging_recent_only,24,0.0356170611864257,0.0001744469887758,1,True,False,bull_regime_candidate
AVAX/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_down,short,rolling,bull_regime_candidate,bull,0.06146664633788453,0.0005964371198374785,late_emerging_recent_only,141,0.0236584706981701,0.0335012778941621,1,False,False,bull_regime_candidate
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_up,short,rolling,bear_regime_candidate,bear,0.06595314389790344,0.0007659178928092203,late_emerging_valid_supported,32,0.0665938368079037,0.0037962532300994,0,True,False,bear_regime_candidate
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,bull_regime_candidate,bull,0.05511723723020475,0.0016893867008984653,clean_survivor_wf_mixed,41,0.0525514896205515,0.0016811650635575,1001,True,False,bull_regime_candidate
DOGE/USD,1d,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,bull_regime_candidate,bull,0.03855682922457082,0.0017954522815726293,late_emerging_valid_supported,85,0.0308390213304514,0.0388508351556939,10,False,False,bull_regime_candidate
AAVE/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,long,rolling,bull_regime_candidate,bull,0.09184981736439239,0.0022896545477510966,late_emerging_recent_only,43,0.052488356522933,0.0008481109483287,1,True,False,bull_regime_candidate
LTC/USD,1d,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,long,rolling,bull_regime_candidate,bull,0.028552327452339384,0.002923955245949017,late_emerging_regime_switching,50,0.0220384737870895,0.034686272307344,11,False,False,bull_regime_candidate
ETH/USD,1d,cross_BTC/USD_state_slope=downtrend + state_slope=flat,long,rolling,bull_regime_candidate,bull,0.07711977766538465,0.0040438103404345505,late_emerging_recent_only,40,0.0414137123194011,0.0064893339667,1,False,False,bull_regime_candidate
