symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,rank,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,best_fwd_horizon,search_wide_family_size_regime,search_wide_rank_regime,search_wide_bh_pass_regime,search_wide_bonferroni_pass_regime,research_shard_id,candidate_key,strict_gate_pass,status,live_decay_flag,not_regime_evaluated,all_regime_mean_ret_costadj,regime_excess_vs_all,regime_candidate_status
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,bear,BTC/USD,ok,207,16,0.03891688492666992,0.875,5.038800497156146,4.6845847267995566e-07,True,0.004051566326740499,0.03486531859992942,state_vol=mid_vol,0.015918718732157056,0.022998166194512865,9,rolling,4,short,rejected,late_emerging_valid_supported,31,False,21,True,0.0503599270252599,0.0426200563430553,state_vol=mid_vol,0.0261764240616117,3.4994229736184934e-13,1,10,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,5,136,6,True,True,crypto-1d-02,XRP/USD|1d|state_ext=neutral + state_vol=mid_vol|rolling,False,research_only,False,False,0.03447388478048821,0.004443000146181708,bear_regime_candidate
XRP/USD,1h,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=uptrend + state_ext=stretched_down,bear,BTC/USD,ok,2791,16,0.014087997535871491,0.9375,4.124638234389034,3.713179272235578e-05,True,-0.0008324190624128295,0.01492041659828432,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=uptrend,0.008159310354176295,0.0059286871816951955,5,rolling,4,long,rejected,late_emerging_valid_supported,0,False,37,True,0.0044365975261041,0.007875569884303,cross_TLT_state_slope=uptrend + state_ext=stretched_down,0.0012667648702224,0.0441830855316767,0,0,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,10,True,True,crypto-1h-02,,False,,,False,0.007236597526104141,0.00685140000976735,bear_regime_candidate
BCH/USD,1d,cross_USO_state_slope=flat + cross_TLT_state_slope=flat + state_ext=neutral,bear,BTC/USD,ok,481,3,0.10443876663217307,1.0,10.389695371453413,0.0,False,-0.0016414836365081275,0.10608025026868119,cross_TLT_state_slope=flat + state_ext=neutral,0.0534300163178288,0.051008750314344264,21,rolling,4,long,rejected,late_emerging_valid_supported,17,False,15,True,0.0744639638208942,0.0812445775393452,cross_USO_state_slope=flat + state_ext=neutral,0.0405660689313673,0.0008656434806959,0,0,0.0,0,8,8,8,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,2,True,True,crypto-1d-00,,False,,,False,0.033903924996297165,0.0705348416358759,unsupported
AAVE/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=uptrend + state_ext=stretched_up,bear,BTC/USD,ok,481,12,0.09918291256216889,1.0,5.493999315413559,3.929320113726931e-08,False,-0.009803211926236514,0.1089861244884054,cross_USO_state_slope=uptrend + cross_TLT_state_slope=uptrend,0.031069847366186617,0.06811306519598227,31,rolling,4,short,rejected,late_emerging_valid_supported,28,False,16,True,0.0758643281565848,0.0733614165014546,cross_USO_state_slope=uptrend + state_ext=stretched_up,0.0110346874993592,1.410971783855075e-09,0,0,0.0,0,8,7,8,7.75,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,5,136,5,True,True,crypto-1d-00,,False,,,False,0.05737416116661975,0.04180875139554914,unsupported
LTC/USD,1d,cross_USO_state_slope=flat + cross_TLT_state_slope=uptrend + state_ext=stretched_down,bear,BTC/USD,ok,481,14,0.05136361468337143,0.8571428571428571,4.259459527636452,2.0492179783060394e-05,False,0.0011229865555246444,0.050240628127846784,cross_USO_state_slope=flat + cross_TLT_state_slope=uptrend,0.02953717723218896,0.02182643745118247,29,rolling,4,long,rejected,late_emerging_valid_supported,41,False,15,True,0.0610619351829852,0.0702510154115271,cross_USO_state_slope=flat + state_ext=stretched_down,0.0418583188031645,0.003174995815089,0,0,0.0,0,8,8,8,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,9,True,True,crypto-1d-02,,False,,,False,0.04067184344822881,0.010691771235142623,unsupported
XRP/USD,1d,state_volume=vol_quiet + state_ext=stretched_up,bear,BTC/USD,ok,207,5,0.046668491498389544,1.0,18.061323315594873,0.0,False,0.004051566326740499,0.04261692517164904,state_ext=stretched_up,0.016432989594342976,0.030235501904046568,11,rolling,4,short,rejected,late_emerging_valid_supported,58,False,18,True,0.0343780686724111,0.0266381979902064,state_ext=stretched_up,0.0092619744994692,1.86581626215876e-05,1,10,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,1,True,True,crypto-1d-02,,False,,,False,0.0012593177724286384,0.04540917372596091,unsupported
DOT/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_ext=neutral + state_ext=stretched_up,bear,BTC/USD,ok,223,6,0.030106540607161905,0.8333333333333334,3.4908472595200193,0.00048149143468245725,False,0.011264956948685099,0.018841583658476806,cross_USO_state_slope=uptrend + cross_TLT_state_ext=neutral,0.03494653497670011,-0.004839994369538206,15,rolling,4,short,rejected,late_emerging_recent_only,16,False,31,True,0.0491326903071902,0.0332969834942364,cross_TLT_state_ext=neutral + state_ext=stretched_up,0.0024429989534599,0.0003521713663041,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,11,True,False,crypto-1d-01,,False,,,False,0.02197872187874875,0.008127818728413155,unsupported
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,bear,BTC/USD,ok,223,2,0.023238549852694614,1.0,4.336928931371933,1.4448731625371636e-05,False,0.011264956948685099,0.011973592904009515,state_ext=stretched_up,0.01865981073668315,0.004578739116011463,1,rolling,4,short,survived,clean_survivor_wf_failed,28,True,19,True,0.0398788978499569,0.0240431910370032,state_ext=stretched_up,0.005658618667924,0.0087924309462963,0,0,0.0,6,8,8,8,17.0,survived,survived,survived,rejected,provisional,survived,survived,survived,5,136,8,True,True,crypto-1d-01,DOT/USD|1d|state_ext=stretched_up + state_vol=low_vol|rolling,False,research_only,False,False,0.047969266792683,-0.024730716939988386,unsupported
LTC/USD,1d,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=flat + state_ext=stretched_up,bear,BTC/USD,ok,481,5,0.01201125907272287,1.0,5.963950961155184,2.4621065186636315e-09,False,-0.0015229865555246454,0.013534245628247515,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=flat,0.02766837930767459,-0.01565712023495172,55,rolling,4,short,rejected,late_emerging_valid_supported,53,False,30,True,0.0243514472210442,0.0221623669925023,cross_USO_state_ext=stretched_up + state_ext=stretched_up,0.0048276674642172,0.0043703584807637,0,0,0.0,0,8,6,6,7.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,4,True,True,crypto-1d-02,,False,,,False,0.021617586539843362,-0.009606327467120493,unsupported
LTC/USD,1h,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend + state_ext=neutral,bear,BTC/USD,ok,2792,11,0.01041319307654417,1.0,4.498974167533489,6.828215332266296e-06,False,-0.00044489311633955753,0.010858086192883728,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend,0.005264413978630635,0.005148779097913535,3,rolling,4,long,rejected,late_emerging_recent_only,49,False,33,True,0.0035568993440434,0.0067205140328875,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend,0.0026755672793167,0.0210540175315383,1,1,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,7,True,True,crypto-1h-02,,False,,,False,0.0026287815598640255,0.007784411516680145,unsupported
