symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,rank,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,best_fwd_horizon,search_wide_family_size_regime,search_wide_rank_regime,search_wide_bh_pass_regime,search_wide_bonferroni_pass_regime,research_shard_id,candidate_key,strict_gate_pass,status,live_decay_flag,not_regime_evaluated,all_regime_mean_ret_costadj,regime_excess_vs_all,regime_candidate_status
CRV/USD,1d,cross_USO_state_slope=uptrend + state_slope=downtrend,bull,BTC/USD,ok,395,41,0.08466238602605279,0.8780487804878049,4.087174856774591,4.3665801514158886e-05,True,-0.007950843229596606,0.0926132292556494,state_slope=downtrend,0.052864001706565696,0.031798384319487095,3,rolling,4,short,rejected,late_emerging_regime_switching,82,False,43,True,0.0432730475581193,0.031558458660497,cross_USO_state_slope=uptrend,0.0225960987503141,0.0416163866340433,2,11,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,6,True,True,crypto-1d-01,,False,,,False,0.03896647228415045,0.04569591374190234,bull_regime_candidate
ETH/USD,1d,cross_USO_state_vol=high_vol + state_ext=stretched_up,bull,BTC/USD,ok,515,36,0.06853341401304833,0.7777777777777778,3.2921593456731024,0.0009942126295088283,True,0.009654556231654565,0.05887885778139376,cross_USO_state_vol=high_vol,0.0644661014641873,0.0040673125488610296,18,rolling,4,long,rejected,late_emerging_valid_supported,60,False,92,True,0.0414795514160957,0.0463710036586721,cross_USO_state_vol=high_vol,0.0249176692523784,0.0151937439784255,1,10,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,11,True,False,crypto-1d-01,,False,,,False,0.034485079478974945,0.03404833453407338,bull_regime_candidate
UNI/USD,1d,cross_TLT_state_slope=downtrend + state_ext=stretched_up,bull,BTC/USD,ok,515,17,0.06415145676715295,0.8823529411764706,3.500451458928938,0.0004644708195113978,True,-0.012337877889713977,0.07648933465686693,cross_TLT_state_slope=downtrend,0.00926777349968022,0.05488368326747273,4,rolling,4,short,rejected,late_emerging_regime_switching,79,False,36,True,0.0459101280356244,0.0438475556368371,cross_TLT_state_slope=downtrend,0.0205230865387405,0.0105054892922971,2,11,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,10,True,False,crypto-1d-02,,False,,,False,0.030481500409804456,0.03366995635734849,bull_regime_candidate
SOL/USD,1d,cross_USO_state_slope=uptrend + state_slope=uptrend,bull,BTC/USD,ok,289,25,0.05182680524187004,0.76,3.521168839954356,0.0004296489536295134,True,-0.11127433325793668,0.16310113849980673,cross_USO_state_slope=uptrend,0.013920863171907544,0.0379059420699625,1,rolling,4,short,survived,clean_survivor_wf_mixed,37,True,26,True,0.0401973711495016,0.0374081643898825,cross_USO_state_slope=uptrend,0.0228479436790401,0.0006307001071319,2,11,0.5,7,8,8,8,19.0,survived,survived,survived,rejected,survived,survived,survived,survived,5,136,9,True,False,crypto-1d-02,,False,,,False,0.05099572495028119,0.0008310802915888482,bull_regime_candidate
SOL/USD,1d,cross_TLT_state_slope=uptrend + state_slope=downtrend,bull,BTC/USD,ok,289,26,0.04943552097827856,0.7692307692307693,3.646900345850968,0.0002654228025131822,True,0.11087433325793665,-0.06143881227965809,cross_TLT_state_slope=uptrend,0.21801177135943473,-0.16857625038115617,22,rolling,4,long,rejected,late_emerging_valid_supported,89,False,50,True,0.0277621249470089,0.037551331706628,cross_TLT_state_slope=uptrend,0.0199113031478168,0.0252575003654484,1,100,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,3,136,8,True,True,crypto-1d-02,,False,,,False,0.0034958593025788054,0.04593966167569975,unsupported
CRV/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_ext=neutral + state_ext=stretched_down,bull,BTC/USD,ok,395,45,0.044361535348561715,0.7555555555555555,2.915986913609151,0.0035456537229507923,True,-0.007950843229596606,0.05231237857815832,cross_USO_state_slope=uptrend,0.052453135964437424,-0.008091600615875709,19,rolling,4,short,rejected,late_emerging_valid_supported,74,False,46,True,0.0385854801685687,0.0268708912709464,cross_USO_state_slope=uptrend + cross_TLT_state_ext=neutral,0.009181640579839,0.0432518223666926,1,10,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,13,True,False,crypto-1d-01,,False,,,False,0.029091010578050854,0.01527052477051086,regime_switching_research_only
DOT/USD,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=flat + state_ext=stretched_down,bull,BTC/USD,ok,395,3,0.10898311512909205,1.0,10.850805946086274,0.0,False,0.0018012901822515531,0.10718182494684049,cross_USO_state_ext=stretched_down + state_ext=stretched_down,0.05058328730051765,0.0583998278285744,20,rolling,4,short,rejected,late_emerging_valid_supported,14,False,32,True,0.0520999112396103,0.0362642044266565,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=flat,0.0060364860503393,0.0034840674429521,1,10,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,3,True,True,crypto-1d-01,,False,,,False,0.02322529492568148,0.08575782020341056,unsupported
SOL/USD,1d,cross_USO_state_vol=high_vol + state_ext=neutral,bull,BTC/USD,ok,289,8,0.10784129148710166,0.75,2.9659389719444205,0.003017603624848153,False,0.11087433325793665,-0.0030330417708349933,cross_USO_state_vol=high_vol,0.0637249829631926,0.04411630852390906,2,rolling,4,long,survived,clean_survivor_wf_failed,19,True,29,True,0.0178164357867568,0.0276056425463759,state_ext=neutral,0.0103873628597318,0.0447526989612445,0,0,0.0,6,8,8,7,16.75,survived,survived,survived,rejected,rejected,survived,survived,survived,5,136,12,True,False,crypto-1d-02,,False,,,False,0.04384541662764107,0.0639958748594606,unsupported
XRP/USD,1d,state_ext=neutral + state_slope=uptrend,bull,BTC/USD,ok,332,5,0.10527025931471468,1.0,3.8724927027273983,0.00010772790230362261,False,-0.01867915717188282,0.12394941648659749,state_ext=neutral,0.035019896314982625,0.07025036299973206,30,rolling,4,short,rejected,late_emerging_valid_supported,19,False,16,True,0.0365286389581017,0.028788768275897,state_slope=uptrend,0.0061150633794827,0.0087786251595174,0,0,0.0,0,8,8,8,8.0,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,5,136,7,True,True,crypto-1d-02,XRP/USD|1d|state_ext=neutral + state_slope=uptrend|rolling,False,research_only,False,False,0.046689853251703814,0.05858040606301086,unsupported
DOT/USD,1d,state_ext=neutral + state_vol=low_vol,bull,BTC/USD,ok,395,7,0.097833616513135,1.0,13.562000245204233,0.0,False,0.0018012901822515531,0.09603232633088345,state_vol=low_vol,0.05347661591380073,0.04435700059933428,14,rolling,4,short,rejected,late_emerging_recent_only,19,False,19,True,0.0236555879728487,0.0078198811598949,state_ext=neutral,0.007706263250919,0.0093503171926769,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,3,136,2,True,True,crypto-1d-01,DOT/USD|1d|state_ext=neutral + state_vol=low_vol|rolling,False,research_only,False,False,0.013107430116594682,0.08472618639654032,unsupported
