symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,rank,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size_regime,search_wide_rank_regime,search_wide_bh_pass_regime,search_wide_bonferroni_pass_regime,candidate_key,strict_gate_pass,status,live_decay_flag,not_regime_evaluated,all_regime_mean_ret_costadj,regime_excess_vs_all,regime_candidate_status
LTC/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,neutral,BTC/USD,ok,633,15,0.06219768571084923,0.9333333333333333,6.7415053502508435,1.567546092928751e-11,True,0.0001877699858553224,0.062009915724993904,cross_ETH/USD_state_ext=stretched_up,0.005001803378485929,0.0571958823323633,37,rolling,4,short,rejected,late_emerging_recent_only,38,False,25,True,0.0382583533344691,0.0335176063129518,cross_ETH/USD_state_ext=stretched_up,0.0307789460181759,0.0011762888045065,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,137,1,True,True,LTC/USD|1d|cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down|rolling,False,research_only,False,False,0.027834496540786326,0.034363189170062904,neutral_regime_candidate
DOT/USD,1d,state_ext=stretched_up + state_vol=high_vol,neutral,BTC/USD,ok,444,41,0.054666980050926454,0.8292682926829268,4.719542217974221,2.3637598631776058e-06,True,0.0006159816145847151,0.054050998436341736,state_ext=stretched_up,0.027676916325211895,0.02699006372571456,19,rolling,4,short,rejected,late_emerging_regime_switching,68,False,29,True,0.0558715405075039,0.0363484004322668,state_ext=stretched_up,0.0177940058760222,6.366494559517655e-05,2,11,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,137,2,True,True,DOT/USD|1d|state_ext=stretched_up + state_vol=high_vol|rolling,False,research_only,False,False,0.0062117073013343025,0.04845527274959215,neutral_regime_candidate
BCH/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,neutral,BTC/USD,ok,633,9,0.06395838173920426,1.0,4.268288033575823,1.9697887912117906e-05,False,-0.001977641643196937,0.0659360233824012,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,0.012924744532910941,0.05103363720629332,110,rolling,4,short,rejected,late_emerging_valid_supported,20,False,17,True,0.0451773345076834,0.042936191703532,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,0.0207054234250803,0.0086780633884502,0,0,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,137,3,True,True,BCH/USD|1d|cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down|rolling,False,research_only,False,False,0.005883290299755895,0.05807509143944837,unsupported
SUSHI/USD,1d,state_ext=stretched_up + state_vol=high_vol,neutral,BTC/USD,ok,633,31,0.06404520074528414,0.7096774193548387,2.086430874810336,0.03693961068971663,True,-5.1982298647925425e-05,0.06409718304393207,state_ext=stretched_up,0.00786470924495285,0.05618049150033129,118,rolling,4,short,rejected,late_emerging_valid_supported,109,False,28,True,0.0910567374455654,0.0767921366939008,state_ext=stretched_up,0.0560817900704219,1.4602722342216268e-05,0,0,0.0,0,7,7,7,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,137,23,False,False,SUSHI/USD|1d|state_ext=stretched_up + state_vol=high_vol|rolling,False,research_only,False,False,0.0035254827547444864,0.06051971799053965,regime_switching_research_only
SUSHI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,neutral,BTC/USD,ok,633,44,0.05223981205844574,0.7727272727272727,3.03907653743154,0.0023730455742625445,True,-5.1982298647925425e-05,0.05229179435709366,cross_ETH/USD_state_ext=neutral,0.030752209118879593,0.021487602939566145,7,rolling,4,short,survived,clean_survivor_wf_mixed,90,True,43,True,0.0434780543588819,0.0292134536072173,cross_ETH/USD_state_ext=neutral,0.0085363186196651,0.0436657679322456,1,10,0.25,6,8,8,6,17.0,survived,survived,survived,survived,rejected,survived,survived,rejected,137,4,False,False,SUSHI/USD|1d|cross_ETH/USD_state_ext=neutral + state_ext=stretched_down|rolling,False,research_only,False,False,0.03961964476410822,0.012620167294337521,regime_switching_research_only
DOGE/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,neutral,BTC/USD,ok,633,24,0.05183578783329434,0.625,2.6606182680374997,0.007799732953621019,True,-0.007631334505889643,0.059467122339183984,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,0.02831565742416376,0.023520130409130577,76,rolling,4,short,rejected,late_emerging_valid_supported,71,False,44,True,0.0472842075357081,0.0379081429761664,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,0.0164451862052567,0.0249041913654424,1,10,0.25,0,8,7,7,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,137,9,False,False,DOGE/USD|1d|cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down|rolling,False,research_only,False,False,0.030372169664824603,0.021463618168469735,regime_switching_research_only
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,neutral,BTC/USD,ok,633,19,0.05162534760264709,0.8947368421052632,2.599223601715685,0.009343488935779298,True,-5.1982298647925425e-05,0.05167732990129501,cross_ETH/USD_state_slope=flat + state_ext=stretched_down,0.026521157453999987,0.0251041901486471,3,rolling,4,short,survived,clean_survivor_wf_mixed,51,True,16,True,0.0790698490502187,0.0648052482985541,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,0.0345355006668285,0.0043972357129506,1,10,0.25,7,8,8,7,18.25,survived,survived,survived,survived,rejected,survived,survived,survived,137,10,False,False,SUSHI/USD|1d|cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down|rolling,False,research_only,False,False,0.05994095818076596,-0.008315610578118873,regime_switching_research_only
DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up,neutral,BTC/USD,ok,444,31,0.05040495405082424,0.8064516129032258,2.408967826720955,0.015997708194734228,True,0.0006159816145847151,0.049788972436239524,state_ext=stretched_up,0.027676916325211895,0.022728037725612348,9,rolling,4,short,survived,clean_survivor_wf_mixed,79,True,21,True,0.0814027343639086,0.0618795942886715,cross_ETH/USD_state_vol=mid_vol,0.0370181729036432,3.853480666959896e-05,1,100,0.25,5,8,8,7,16.25,survived,survived,survived,rejected,provisional,survived,survived,rejected,137,14,False,False,DOT/USD|1d|cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up|rolling,False,research_only,False,False,0.04258042553122407,0.007824528519600173,regime_switching_research_only
UNI/USD,1d,cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,neutral,BTC/USD,ok,633,25,0.04524641843762295,0.72,2.5860281512180685,0.009708900057220138,True,0.0073053513250917945,0.03794106711253115,state_ext=stretched_up,0.025572457180732994,0.019673961256889954,43,rolling,4,short,rejected,late_emerging_recent_only,47,False,38,True,0.0429764454933598,0.0364146907508156,state_ext=stretched_up,0.0200724856366946,0.0026993765448086,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,137,12,False,False,UNI/USD|1d|cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up|rolling,False,research_only,False,False,0.029449656899505114,0.015796761538117834,regime_switching_research_only
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,neutral,BTC/USD,ok,444,34,0.04511015705392556,0.7352941176470589,2.3559848969769264,0.018473668774038554,True,0.0006159816145847151,0.044494175439340845,state_ext=stretched_up,0.027676916325211895,0.01743324072871367,4,rolling,4,short,survived,clean_survivor_wf_failed,28,True,18,True,0.0442191064932231,0.024695966417986,state_ext=stretched_up,0.0061415718617414,0.0060085134446272,0,0,0.0,7,8,8,8,18.0,survived,survived,survived,survived,provisional,survived,survived,survived,137,16,False,False,DOT/USD|1d|state_ext=stretched_up + state_vol=low_vol|rolling,False,research_only,False,False,0.04827392167358555,-0.0031637646196599895,regime_switching_research_only
