symbol,timeframe,slice_combination,side,bin_mode,candidate_key,status,strict_gate_pass,live_decay_flag,valid_n,valid_mean_ret_costadj,valid_p_value_nw,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,scenario_survived_count,search_wide_bh_pass,search_wide_bonferroni_pass,valid_excess_vs_baseline,valid_excess_vs_best_parent,leverage_gate_pass,leverage_gate_reason,auto_promotion_block_reason,leverage_1x_multiple,leverage_1x_expected_return,leverage_1x_expected_pnl_at_position_cap,leverage_1x_theoretical_return_on_equity,leverage_1x_overnight_compatible,leverage_1x_requires_same_day_flatten,leverage_1x_margin_cushion_fraction,leverage_1x_risk_status,leverage_2x_multiple,leverage_2x_expected_return,leverage_2x_expected_pnl_at_position_cap,leverage_2x_theoretical_return_on_equity,leverage_2x_overnight_compatible,leverage_2x_requires_same_day_flatten,leverage_2x_margin_cushion_fraction,leverage_2x_risk_status,leverage_4x_multiple,leverage_4x_expected_return,leverage_4x_expected_pnl_at_position_cap,leverage_4x_theoretical_return_on_equity,leverage_4x_overnight_compatible,leverage_4x_requires_same_day_flatten,leverage_4x_margin_cushion_fraction,leverage_4x_risk_status,leverage_overnight_max_multiple,leverage_auto_promotion_gate
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,DOT/USD|1d|cross_ETH/USD_state_slope=uptrend + state_slope=flat|rolling,paper_proposal,True,False,42,0.0459195716136171,0.0063373458994897,4,3,1011,8,True,False,0.0304049534763972,0.0029675180491921,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,disabled_without_enable_auto_promotion_flag,1.0,0.0459195716136171,114.79892903404276,0.0459195716136171,True,False,0.975,unknown_missing_atr_risk,2.0,0.0459195716136171,114.79892903404276,0.0918391432272342,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0459195716136171,114.79892903404276,0.1836782864544684,False,True,0.99375,fail_overnight_constraint,2.0,False
AAVE/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,long,rolling,AAVE/USD|1d|cross_ETH/USD_state_slope=flat + state_slope=downtrend|rolling,research_only,False,False,41,0.0481066224644653,0.0029691760220762,4,1,0001,0,True,False,0.0566686906307537,0.0457357960161374,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0481066224644653,120.26655616116325,0.0481066224644653,True,False,0.975,unknown_missing_atr_risk,2.0,0.0481066224644653,120.26655616116325,0.0962132449289306,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0481066224644653,120.26655616116325,0.1924264898578612,False,True,0.99375,fail_overnight_constraint,2.0,False
AAVE/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=flat,short,rolling,AAVE/USD|1d|cross_BTC/USD_state_slope=uptrend + state_slope=flat|rolling,research_only,False,False,66,0.0472470158878504,0.0002424650089447,4,1,0001,0,True,False,0.045684947721562,0.0141560363668358,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0472470158878504,118.117539719626,0.0472470158878504,True,False,0.975,unknown_missing_atr_risk,2.0,0.0472470158878504,118.117539719626,0.0944940317757008,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0472470158878504,118.117539719626,0.1889880635514016,False,True,0.99375,fail_overnight_constraint,2.0,False
AAVE/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=flat,short,rolling,AAVE/USD|1d|cross_ETH/USD_state_slope=flat + state_slope=flat|rolling,research_only,False,False,102,0.0365202953549559,0.0135668754318707,4,1,0001,0,False,False,0.0349582271886675,0.0034293158339413,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0365202953549559,91.30073838738974,0.0365202953549559,True,False,0.975,unknown_missing_atr_risk,2.0,0.0365202953549559,91.30073838738974,0.0730405907099118,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0365202953549559,91.30073838738974,0.1460811814198236,False,True,0.99375,fail_overnight_constraint,2.0,False
AAVE/USD,1d,cross_BTC/USD_state_slope=flat + state_slope=flat,short,rolling,AAVE/USD|1d|cross_BTC/USD_state_slope=flat + state_slope=flat|rolling,research_only,False,False,74,0.0351721747090824,0.0249334670076057,4,1,0001,0,False,False,0.033610106542794,0.0020811951880678,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0351721747090824,87.93043677270599,0.0351721747090824,True,False,0.975,unknown_missing_atr_risk,2.0,0.0351721747090824,87.93043677270599,0.0703443494181648,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0351721747090824,87.93043677270599,0.1406886988363296,False,True,0.99375,fail_overnight_constraint,2.0,False
AAVE/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,AAVE/USD|1d|cross_ETH/USD_state_slope=uptrend + state_slope=flat|rolling,research_only,False,False,43,0.0541342445828632,0.0001264668168818,4,1,0001,0,True,False,0.0525721764165748,0.0210432650618486,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0541342445828632,135.335611457158,0.0541342445828632,True,False,0.975,unknown_missing_atr_risk,2.0,0.0541342445828632,135.335611457158,0.1082684891657264,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0541342445828632,135.335611457158,0.2165369783314528,False,True,0.99375,fail_overnight_constraint,2.0,False
AAVE/USD,1d,state_ext=stretched_up + state_slope=flat,short,rolling,AAVE/USD|1d|state_ext=stretched_up + state_slope=flat|rolling,research_only,False,False,51,0.0481776274856481,0.0044796421853972,4,1,0001,0,True,False,0.0466155593193597,0.0150866479646335,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0481776274856481,120.44406871412025,0.0481776274856481,True,False,0.975,unknown_missing_atr_risk,2.0,0.0481776274856481,120.44406871412025,0.0963552549712962,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0481776274856481,120.44406871412025,0.1927105099425924,False,True,0.99375,fail_overnight_constraint,2.0,False
AAVE/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_up,short,rolling,AAVE/USD|1d|cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_up|rolling,research_only,False,False,16,0.0547308620047248,0.0053080370985667,4,0,0000,0,True,False,0.0531687938384364,0.0102970160706919,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0547308620047248,136.827155011812,0.0547308620047248,True,False,0.975,unknown_missing_atr_risk,2.0,0.0547308620047248,136.827155011812,0.1094617240094496,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0547308620047248,136.827155011812,0.2189234480188992,False,True,0.99375,fail_overnight_constraint,2.0,False
AAVE/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,rolling,AAVE/USD|1d|cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down|rolling,research_only,False,False,16,0.0492178735385685,0.0091604371246118,4,0,0000,0,True,False,0.0476558053722801,0.0047840276045356,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0492178735385685,123.04468384642125,0.0492178735385685,True,False,0.975,unknown_missing_atr_risk,2.0,0.0492178735385685,123.04468384642125,0.098435747077137,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0492178735385685,123.04468384642125,0.196871494154274,False,True,0.99375,fail_overnight_constraint,2.0,False
AAVE/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,short,rolling,AAVE/USD|1d|cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down|rolling,research_only,False,False,8,0.0685824820080485,0.0001261271167911,4,0,0000,0,True,False,0.0670204138417601,0.050730560902993,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0685824820080485,171.45620502012127,0.0685824820080485,True,False,0.975,unknown_missing_atr_risk,2.0,0.0685824820080485,171.45620502012127,0.137164964016097,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0685824820080485,171.45620502012127,0.274329928032194,False,True,0.99375,fail_overnight_constraint,2.0,False
