symbol,timeframe,slice_combination,side,bin_mode,all_regime_status,strict_gate_pass,overall_regime_status,best_regime,best_regime_mean_ret_costadj,best_regime_p_value_nw,bull_status,bear_status,neutral_status,valid_mean_ret_costadj,valid_p_value_nw,walk_forward_pass_pattern,search_wide_bh_pass,search_wide_bonferroni_pass
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_up,short,rolling,research_only,False,bear_regime_candidate,bear,0.06595314389790344,0.0007659178928092203,regime_switching_research_only,bear_regime_candidate,unsupported,0.0630936505741804,0.0061370236275695,0,True,False
AAVE/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=flat,short,rolling,research_only,False,bear_regime_candidate,bear,0.061181870942499335,0.004045359426254613,regime_switching_research_only,bear_regime_candidate,regime_switching_research_only,0.0472470158878504,0.0002424650089447,1,True,False
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,research_only,False,bear_regime_candidate,bear,0.05778570034028104,0.0014586064930375287,bull_regime_candidate,bear_regime_candidate,regime_switching_research_only,0.0459195716136171,0.0063373458994897,1011,True,False
XRP/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=neutral,short,rolling,research_only,False,bear_regime_candidate,bear,0.04167496353558097,3.2875924205200135e-12,unsupported,bear_regime_candidate,regime_switching_research_only,0.0307171381588781,5.588924800381534e-05,1,True,False
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,short,rolling,research_only,False,bear_regime_candidate,bear,0.03891688492666992,4.6845847267995566e-07,regime_switching_research_only,bear_regime_candidate,regime_switching_research_only,0.0521837680298311,5.946354519892338e-13,10,True,True
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,short,rolling,research_only,False,bull_regime_candidate,bull,0.11300932911054493,0.00045363091565420177,bull_regime_candidate,unsupported,unsupported,0.0567715179787586,0.0114045282512604,1,True,False
AAVE/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,long,rolling,research_only,False,bull_regime_candidate,bull,0.09184981736439239,0.0022896545477510966,bull_regime_candidate,regime_switching_research_only,regime_switching_research_only,0.0481066224644653,0.0029691760220762,1,True,False
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,research_only,False,bull_regime_candidate,bull,0.08970742293350129,8.55387615477099e-05,bull_regime_candidate,unsupported,unsupported,0.0899569818910969,0.0025713913623424,0,True,False
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,research_only,False,bull_regime_candidate,bull,0.07872155976480033,0.0001575852266286759,bull_regime_candidate,regime_switching_research_only,regime_switching_research_only,0.0511243129625828,0.0036454358170672,100,True,False
UNI/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,short,rolling,research_only,False,bull_regime_candidate,bull,0.06237551009330366,0.0006784422167531723,bull_regime_candidate,unsupported,unsupported,0.0492107663003304,0.0305048504071687,1,False,False
AVAX/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,rolling,research_only,False,bull_regime_candidate,bull,0.05643538852463279,4.417589545280265e-07,bull_regime_candidate,unsupported,regime_switching_research_only,0.032967744556631,0.048281794407573,0,False,False
DOGE/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,rolling,research_only,False,bull_regime_candidate,bull,0.054606081779275624,0.00016829953825725497,bull_regime_candidate,unsupported,regime_switching_research_only,0.0434842075357081,0.0391472346926629,10,False,False
BCH/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,short,rolling,research_only,False,bull_regime_candidate,bull,0.05110335820884099,0.0005692600686653115,bull_regime_candidate,unsupported,unsupported,0.0311457836043522,0.0003486143318518,1,True,False
LTC/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_up,short,rolling,research_only,False,bull_regime_candidate,bull,0.04850958751327585,0.007020915385303361,bull_regime_candidate,unsupported,regime_switching_research_only,0.0405776285835524,0.0113416163666331,1,True,False
LTC/USD,1d,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,short,rolling,research_only,False,bull_regime_candidate,bull,0.02930401103313818,0.0002133729658209127,bull_regime_candidate,regime_switching_research_only,unsupported,0.0237026746187543,0.0059105812899193,101,True,False
LTC/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,short,rolling,research_only,False,neutral_regime_candidate,neutral,0.06219768571084923,1.567546092928751e-11,regime_switching_research_only,unsupported,neutral_regime_candidate,0.0344583533344691,0.003474541075128,1,True,False
DOT/USD,1d,state_ext=stretched_up + state_vol=high_vol,short,rolling,research_only,False,neutral_regime_candidate,neutral,0.054666980050926454,2.3637598631776058e-06,unsupported,regime_switching_research_only,neutral_regime_candidate,0.0520715405075039,0.0001939052584718,11,True,False
BCH/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,rolling,research_only,False,not_regime_evaluated,,,,not_regime_evaluated,not_regime_evaluated,not_regime_evaluated,0.0413773345076834,0.0162287592845196,0,False,False
BCH/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,rolling,research_only,False,not_regime_evaluated,,,,not_regime_evaluated,not_regime_evaluated,not_regime_evaluated,0.036991026488179,0.0358996248040863,0,False,False
BCH/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,long,rolling,research_only,False,not_regime_evaluated,,,,not_regime_evaluated,not_regime_evaluated,not_regime_evaluated,0.0286948830837964,0.0212936713894351,0,False,False
AVAX/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,research_only,False,not_regime_evaluated,,,,not_regime_evaluated,not_regime_evaluated,not_regime_evaluated,0.0209770216028147,0.1389517783044902,1010,False,False
AVAX/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_down,short,rolling,research_only,False,not_regime_evaluated,,,,not_regime_evaluated,not_regime_evaluated,not_regime_evaluated,0.0198522547246323,0.0829972862513965,1,False,False
AVAX/USD,1d,cross_ETH/USD_state_slope=downtrend + state_slope=uptrend,long,rolling,research_only,False,not_regime_evaluated,,,,not_regime_evaluated,not_regime_evaluated,not_regime_evaluated,0.093290150778675,1.5924083443419335e-05,0,True,False
ADA/USD,1d,cross_ETH/USD_state_slope=flat + state_ext=stretched_up,short,rolling,,False,not_regime_evaluated,,,,not_regime_evaluated,not_regime_evaluated,not_regime_evaluated,0.1022887833344722,3.774758283725532e-15,0,True,True
AAVE/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,short,rolling,research_only,False,not_regime_evaluated,,,,not_regime_evaluated,not_regime_evaluated,not_regime_evaluated,0.0685824820080485,0.0001261271167911,0,True,False
AVAX/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,long,rolling,research_only,False,not_regime_evaluated,,,,not_regime_evaluated,not_regime_evaluated,not_regime_evaluated,0.0674278922937417,0.0396934364034589,0,False,False
