symbol,timeframe,slice_combination,window,diagnostic_status,window_start_utc,window_end_utc,window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_n,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_n,best_parent_mean_ret_costadj,excess_vs_best_parent,best_parent_p_value_nw
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,all,ok,2021-07-13 00:00:00+00:00,2026-07-06 00:00:00+00:00,1820,114,0.040874549168804106,0.6666666666666666,3.3848481016870373,0.0007121765329369811,True,1820,-0.001741967162428133,0.042616516331232236,cross_ETH/USD_state_ext=neutral,250,0.023222448103795958,0.017652101065008148,0.006537408704770709
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2024,ok,2024-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,366,18,0.09993579134675229,0.8333333333333334,3.4139526620739002,0.0006402769941966646,True,366,-0.01850122254141336,0.11843701388816565,cross_ETH/USD_state_ext=neutral,35,0.06116460776310622,0.03877118358364607,0.00623835654256677
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2025,ok,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,365,28,0.06959302040898481,0.75,3.3339980006613206,0.0008560727311226479,True,365,0.00529875806344602,0.06429426234553878,cross_ETH/USD_state_ext=neutral,41,0.0524021963419386,0.01719082406704621,0.00298488397866703
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2026_ytd,ok,2026-01-01 00:00:00+00:00,2026-07-06 00:00:00+00:00,187,10,0.013851932112657192,0.5,0.6304576005565633,0.5283952349286287,False,187,0.011062823483405211,0.0027891086292519806,state_ext=stretched_down,103,0.01709368624967295,-0.0032417541370157576,0.3358049315390339
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,latest_12m,ok,2025-07-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,366,29,0.04005347136180746,0.6206896551724138,2.1541052201888844,0.031231921263027207,True,366,0.0059646970661879906,0.03408877429561947,cross_ETH/USD_state_ext=neutral,57,0.015934887645151843,0.024118583716655616,0.3104305348350689
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,latest_6m,ok,2026-01-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,182,10,0.013851932112657192,0.5,0.6304576005565633,0.5283952349286287,False,182,0.009956174336851243,0.0038957577758059487,state_ext=stretched_down,103,0.01709368624967295,-0.0032417541370157576,0.3358049315390339
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,all,ok,2023-08-18 00:00:00+00:00,2026-07-06 00:00:00+00:00,1054,89,0.04440372590257602,0.7640449438202247,4.170565968504279,3.0384408017614106e-05,True,1054,0.00328783902807621,0.04111588687449981,state_slope=flat,295,0.020399467586555857,0.024004258316020162,0.030384032670988326
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,calendar_2024,ok,2024-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,366,32,0.05867431306676121,0.78125,3.520676489623897,0.0004304474307808004,True,366,-0.004460828339857393,0.0631351414066186,state_slope=flat,100,0.02305697700584134,0.03561733606091987,0.024242020329755753
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,calendar_2025,ok,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,365,26,0.03593055356620492,0.7692307692307693,1.3196544147426867,0.1869504262667403,False,365,0.012580249761879448,0.02335030380432547,state_slope=flat,122,0.02310175778883275,0.01282879577737217,0.14751709779626787
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,calendar_2026_ytd,ok,2026-01-01 00:00:00+00:00,2026-07-06 00:00:00+00:00,187,31,0.036779328853921905,0.7419354838709677,2.1090652124899543,0.0349389530911588,True,187,0.02077561420030641,0.016003714653615494,cross_ETH/USD_state_slope=uptrend,49,0.03143523303552176,0.005344095818400146,0.028285229987985883
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,latest_12m,ok,2025-07-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,366,52,0.04278696454397199,0.7692307692307693,2.8173234378183767,0.00484257320083592,True,366,0.0152415253949752,0.02754543914899679,cross_ETH/USD_state_slope=uptrend,109,0.030301374416204983,0.012485590127767007,0.01824821722827008
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,latest_6m,ok,2026-01-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,182,31,0.036779328853921905,0.7419354838709677,2.1090652124899543,0.0349389530911588,True,182,0.021470593796527854,0.015308735057394052,cross_ETH/USD_state_slope=uptrend,47,0.03104089221276164,0.005738436641160267,0.03761055838721994
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,all,ok,2021-07-23 00:00:00+00:00,2026-07-06 00:00:00+00:00,1810,67,0.05994095818076596,0.7164179104477612,3.5042878721032595,0.00045783015484035516,True,1810,0.002635164102796181,0.05730579407796978,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,214,0.031857469955107943,0.028083488225658017,0.003538635962552661
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,calendar_2024,ok,2024-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,366,22,0.06975898357976863,0.6818181818181818,1.8837227883357583,0.05960248230200027,False,366,-0.013848739857466172,0.0836077234372348,cross_ETH/USD_state_slope=flat + state_ext=stretched_down,59,0.04378413861797791,0.02597484496179072,0.09058434798910175
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,calendar_2025,ok,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,365,15,0.09028313651006212,0.8666666666666667,3.494549180040905,0.00047486311295896755,True,365,0.014850030023750602,0.07543310648631152,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,37,0.08118428781326414,0.009098848696797973,0.0036039830894172287
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,calendar_2026_ytd,ok,2026-01-01 00:00:00+00:00,2026-07-06 00:00:00+00:00,187,1,-0.0891294628474322,0.0,,,False,187,0.015255680497284442,-0.10438514334471664,state_ext=stretched_down,106,0.011602336421891157,-0.10073179926932335,0.398495996598472
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,latest_12m,ok,2025-07-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,366,7,0.07085870887629156,0.8571428571428571,1.7510035204724237,0.0799453036064528,False,366,0.013724386299877317,0.057134322576414244,cross_BTC/USD_state_ext=stretched_up + state_ext=stretched_down,14,0.051170674037324775,0.019688034838966785,0.08156741720687877
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,latest_6m,ok,2026-01-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,182,1,-0.0891294628474322,0.0,,,False,182,0.01600008160562625,-0.10512954445305844,state_ext=stretched_down,106,0.011602336421891157,-0.10073179926932335,0.398495996598472
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,all,ok,2023-08-18 00:00:00+00:00,2026-07-06 00:00:00+00:00,1054,46,0.04827392167358555,0.7391304347826086,3.197407597664227,0.0013866883072441993,True,1054,0.00328783902807621,0.044986082645509344,state_vol=low_vol,199,0.017542368609546295,0.03073155306403926,0.08626352106267143
