symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio
LTC/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_down,21,-0.0371299959579866,short,0.0371299959579866,0.6190476190476191,0.0364933815376529,-0.1202834485794591,-0.4180584686159865
UNI/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,28,0.0290266940966857,long,0.0290266940966857,0.5,0.0710152468341665,-0.0267297119847873,0.2702490728571176
SOL/USD,1h,state_utc_session=utc_asia + state_ext=stretched_down + state_slope=uptrend,39,0.0253090144407363,long,0.0253090144407363,0.717948717948718,0.044223972370726,-0.0136311554826679,0.5977999642638857
LTC/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_down + state_slope=downtrend,15,-0.0243433304069265,short,0.0243433304069265,0.6666666666666666,0.0378049563671902,-0.0862399694196959,-0.3024778902837242
XRP/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_up + state_slope=downtrend,16,-0.0212260655411155,short,0.0212260655411155,0.1875,0.026727964493994,-0.0402066750072995,-0.6514164043325521
SOL/USD,1h,state_weekpart=weekday + state_ext=stretched_up + state_vol=mid_vol,2001,0.0189407080587404,long,0.0189407080587404,0.5112443778110944,0.0368300714760023,-0.0185754584355168,0.0549685774575847
SOL/USD,1h,state_ret_day=ret_day_down + state_ext=stretched_down + state_slope=uptrend,37,0.017579781484298,long,0.017579781484298,0.5945945945945946,0.0530055730585542,-0.0265559169672226,0.2876494702408165
SOL/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_up + state_slope=downtrend,19,-0.0161709782673194,short,0.0161709782673194,0.1578947368421052,0.0277365556405873,-0.0407433549521319,-0.5485262819558289
SUSHI/USD,1h,state_ret_day=ret_day_down + state_ext=stretched_down + state_slope=uptrend,69,0.0161021891604271,long,0.0161021891604271,0.6811594202898551,0.0405128054867119,-0.0219681489980971,0.4155616504714532
SOL/USD,1h,state_ext=stretched_up + state_vol=mid_vol,2442,0.0155268984292465,long,0.0155268984292465,0.4995904995904996,0.0338423962513602,-0.0184462513407249,0.0497391766100072
SOL/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_down + state_slope=uptrend,47,0.0153907849994309,long,0.0153907849994309,0.5531914893617021,0.0489766237937227,-0.02171250044409,0.3723273097885838
CRV/USD,1h,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat + state_ext=neutral,20,-0.0152752341145697,short,0.0152752341145697,0.35,0.0479983380675528,-0.0307218958603602,-0.5045567424029469
SUSHI/USD,1h,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat + state_ext=neutral,18,-0.0146757897269254,short,0.0146757897269254,0.3888888888888889,0.0532731046659929,-0.027602750020936,-0.5191203175459335
SOL/USD,1h,state_utc_session=utc_europe + state_ext=stretched_up + state_slope=uptrend,1802,0.0140798365145721,long,0.0140798365145721,0.4750277469478357,0.0398394010630139,-0.023852274340333,0.0435036490887564
LINK/USD,1h,cross_ETH/USD_state_slope=downtrend + state_slope=uptrend,39,-0.0139837659006987,short,0.0139837659006987,0.3076923076923077,0.0140007832189794,-0.0280798244346781,-0.6045666834940399
LINK/USD,1h,state_ext=stretched_up + state_slope=downtrend,19,-0.0131162095602164,short,0.0131162095602164,0.3684210526315789,0.0111858403431947,-0.0257350599938979,-0.5652801892447277
