symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio,research_shard_id
AAVE/USD,1d,state_funding=funding_long + state_ext=stretched_up,42,0.0877671904322857,long,0.0877671904322857,0.7619047619047619,0.1595394584613325,-0.0680708686914795,0.7271064139840782,crypto-1d-00
AAVE/USD,1d,cross_USO_state_slope=flat + cross_TLT_state_ext=stretched_up + state_ext=stretched_up,63,0.0852343385028629,long,0.0852343385028629,0.7301587301587301,0.2045508643632879,-0.0766281649650606,0.6601425413075548,crypto-1d-00
AVAX/USD,1d,cross_USO_state_slope=flat + cross_TLT_state_ext=stretched_up + state_ext=stretched_up,57,0.0819865318313739,long,0.0819865318313739,0.7368421052631579,0.1642125066480103,-0.0681146303080696,0.6570709475189257,crypto-1d-00
BCH/USD,1d,state_funding=funding_short + state_oi=oi_collapsing + state_ext=stretched_down,18,-0.081446928833261,short,0.081446928833261,0.1666666666666666,0.0474732877835885,-0.1157554082563788,-1.2188530190063345,crypto-1d-00
AVAX/USD,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_up,108,0.0731717255378115,long,0.0731717255378115,0.6666666666666666,0.1607935985585502,-0.0875791571436576,0.4816591052891172,crypto-1d-00
AVAX/USD,1d,cross_TLT_state_ext=stretched_up + state_ext=stretched_up,172,0.0727271550271868,long,0.0727271550271868,0.686046511627907,0.1613282896124482,-0.0799478479539289,0.5130662723396419,crypto-1d-00
AVAX/USD,1d,state_funding=funding_neutral + state_oi=oi_flat + state_ext=stretched_down,23,-0.0724900113273848,short,0.0724900113273848,0.217391304347826,0.0706830637966952,-0.1140371548612606,-0.8047856324397515,crypto-1d-00
AVAX/USD,1d,cross_USO_state_ext=neutral + cross_TLT_state_slope=uptrend + state_ext=neutral,16,0.0656083353127789,long,0.0656083353127789,0.75,0.1446551858913675,-0.0448879402458882,0.6244500723037182,crypto-1d-00
BCH/USD,1d,state_oi=oi_collapsing + state_ext=stretched_up,19,-0.0594200205223708,short,0.0594200205223708,0.2105263157894736,0.0469928186721423,-0.0829782476794105,-0.8872122124421687,crypto-1d-00
AVAX/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_ext=stretched_down + state_ext=stretched_up,23,-0.058111894764374,short,0.058111894764374,0.217391304347826,0.0498270108924792,-0.1156619794147057,-0.730970513387698,crypto-1d-00
AAVE/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=uptrend + state_ext=stretched_up,44,-0.0575741611666197,short,0.0575741611666197,0.2954545454545454,0.057924201380747,-0.1065695383685632,-0.7162675530935947,crypto-1d-00
AAVE/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat + state_ext=stretched_up,58,-0.0552554718744708,short,0.0552554718744708,0.293103448275862,0.0732340025814343,-0.1384037317224222,-0.4836738580111379,crypto-1d-00
AVAX/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=downtrend + state_ext=stretched_up,22,-0.0535251362629053,short,0.0535251362629053,0.1363636363636363,0.045980956745078,-0.1012004550205324,-0.8765007484892436,crypto-1d-00
AAVE/USD,1d,state_funding=funding_neutral + state_oi=oi_building + state_ext=stretched_up,23,-0.0529549303821065,short,0.0529549303821065,0.2608695652173913,0.0649226722520607,-0.1051940208574052,-0.605538652803021,crypto-1d-00
ADA/USD,1d,state_volume=vol_normal + state_ext=stretched_down,24,-0.0528591192638084,short,0.0528591192638084,0.2916666666666667,0.0506220517485168,-0.0921829108312711,-0.5750773901901675,crypto-1d-00
BCH/USD,1d,cross_USO_state_ext=neutral + cross_TLT_state_slope=uptrend + state_ext=neutral,20,0.052364139602179,long,0.052364139602179,0.65,0.1252656352281592,-0.0555253095533213,0.2761334898437208,crypto-1d-00
ADA/USD,1d,state_oi=oi_building + state_ext=stretched_up,18,-0.0517613791738295,short,0.0517613791738295,0.1666666666666666,0.0451429028246294,-0.0779227073151778,-0.8671570331514246,crypto-1d-00
AVAX/USD,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=uptrend + state_ext=stretched_up,126,0.050252061229476,long,0.050252061229476,0.5476190476190477,0.1401862686778727,-0.0906818853785935,0.3502143866046798,crypto-1d-00
AAVE/USD,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_down,69,0.0501946018808723,long,0.0501946018808723,0.7101449275362319,0.1527512653983004,-0.0703505178278002,0.5377366536821089,crypto-1d-00
AVAX/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat + state_ext=stretched_down,119,-0.0501880613012868,short,0.0501880613012868,0.3109243697478991,0.07136966689528,-0.1129339698315662,-0.5454326704569957,crypto-1d-00
AVAX/USD,1d,cross_TLT_state_vol=high_vol + state_ext=stretched_up,131,0.0496856849627532,long,0.0496856849627532,0.5877862595419847,0.1372633807047148,-0.0751491231003849,0.3637959236907765,crypto-1d-00
AVAX/USD,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=neutral,15,0.048597997729776,long,0.048597997729776,0.7333333333333333,0.144347729077889,-0.0460113381085308,0.5028919671933348,crypto-1d-00
AVAX/USD,1d,cross_TLT_state_ext=stretched_up + state_ext=neutral,32,0.0482700931908134,long,0.0482700931908134,0.78125,0.1552722328176198,-0.052050533250709,0.473085532161056,crypto-1d-00
ADA/USD,1d,cross_USO_state_slope=uptrend + state_ext=stretched_up,17,-0.0477656033447226,short,0.0477656033447226,0.1764705882352941,0.0406081519171273,-0.0780255439432903,-0.8094488245031369,crypto-1d-00
ADA/USD,1d,state_ext=stretched_up + state_vol=mid_vol,28,-0.0473750395466224,short,0.0473750395466224,0.1785714285714285,0.0474379458903293,-0.0780434120795026,-0.7980419252498043,crypto-1d-00
ADA/USD,1d,cross_USO_state_vol=high_vol + state_ext=stretched_up,28,-0.0473750395466224,short,0.0473750395466224,0.1785714285714285,0.0474379458903293,-0.0780434120795026,-0.7980419252498043,crypto-1d-00
ADA/USD,1d,cross_TLT_state_vol=low_vol + state_ext=stretched_up,28,-0.0473750395466224,short,0.0473750395466224,0.1785714285714285,0.0474379458903293,-0.0780434120795026,-0.7980419252498043,crypto-1d-00
ADA/USD,1d,state_ext=stretched_up + state_slope=flat,28,-0.0473750395466224,short,0.0473750395466224,0.1785714285714285,0.0474379458903293,-0.0780434120795026,-0.7980419252498043,crypto-1d-00
ADA/USD,1d,state_ret_day=ret_day_flat + state_ext=stretched_up,28,-0.0473750395466224,short,0.0473750395466224,0.1785714285714285,0.0474379458903293,-0.0780434120795026,-0.7980419252498043,crypto-1d-00
AAVE/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_ext=neutral + state_ext=stretched_up,83,-0.0472882602350076,short,0.0472882602350076,0.3253012048192771,0.0696797583401998,-0.1200937272952956,-0.4976630188962103,crypto-1d-00
BCH/USD,1d,state_oi=oi_collapsing + state_ext=stretched_down,78,-0.0470349718891211,short,0.0470349718891211,0.2692307692307692,0.0632768330176922,-0.0993769259209895,-0.5511912615564094,crypto-1d-00
AVAX/USD,1d,cross_USO_state_slope=downtrend + cross_TLT_state_slope=downtrend + state_ext=stretched_up,25,-0.0468838369452533,short,0.0468838369452533,0.2,0.0800550251646473,-0.0987327888682,-0.4278181375621109,crypto-1d-00
ADA/USD,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=neutral + state_ext=stretched_down,26,-0.0465937436701723,short,0.0465937436701723,0.3461538461538461,0.072052238810914,-0.1128651178257307,-0.3177978194602755,crypto-1d-00
ADA/USD,1d,cross_TLT_state_ext=neutral + state_ext=stretched_up,24,-0.0463998878855474,short,0.0463998878855474,0.1666666666666666,0.0479787206942302,-0.0768403957070064,-0.7504683714252445,crypto-1d-00
AVAX/USD,1d,state_oi=oi_flat + state_ext=stretched_down,37,-0.0462746158079179,short,0.0462746158079179,0.3513513513513513,0.0798895657939385,-0.0951624155740021,-0.5343058893586926,crypto-1d-00
ADA/USD,1d,cross_TLT_state_slope=flat + state_ext=stretched_down,24,-0.046260128474342,short,0.046260128474342,0.5,0.0600599119815953,-0.0961962457157419,-0.3639305204919501,crypto-1d-00
AVAX/USD,1d,cross_USO_state_slope=flat + cross_TLT_state_slope=downtrend + state_ext=stretched_up,26,0.0444543600488171,long,0.0444543600488171,0.5769230769230769,0.1377478035929051,-0.0576908948983917,0.3436904029560217,crypto-1d-00
AAVE/USD,1d,cross_USO_state_slope=downtrend + cross_TLT_state_slope=uptrend + state_ext=neutral,37,0.0443436987985164,long,0.0443436987985164,0.6486486486486487,0.1225883492777447,-0.0685889454841522,0.4296834524410685,crypto-1d-00
AAVE/USD,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=neutral,31,0.0442700635907777,long,0.0442700635907777,0.6774193548387096,0.1264922789463967,-0.0645312510273396,0.4350074417519393,crypto-1d-00
AAVE/USD,1d,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=uptrend + state_ext=stretched_down,65,0.0436283059498353,long,0.0436283059498353,0.676923076923077,0.1226413642269034,-0.0734765144187778,0.6425355829878368,crypto-1d-00
ADA/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_ext=neutral + state_ext=stretched_up,15,-0.0435030643789072,short,0.0435030643789072,0.2,0.0393872722106099,-0.0732862494434541,-0.720071487340668,crypto-1d-00
AAVE/USD,1d,cross_USO_state_slope=uptrend + state_ext=stretched_up,136,-0.043155339391254,short,0.043155339391254,0.3382352941176471,0.0698895751196064,-0.1112376069554582,-0.4375214576417494,crypto-1d-00
AAVE/USD,1d,state_oi=oi_building + state_ext=stretched_up,33,-0.0428894479061714,short,0.0428894479061714,0.303030303030303,0.0763060870020904,-0.0944570473920722,-0.5268818179072553,crypto-1d-00
AAVE/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_ext=stretched_down + state_ext=stretched_up,37,-0.0427453864763366,short,0.0427453864763366,0.3783783783783784,0.0715886296925256,-0.1058603645980874,-0.3552445274207029,crypto-1d-00
AVAX/USD,1d,cross_USO_state_slope=downtrend + cross_TLT_state_slope=uptrend + state_ext=stretched_up,150,0.0425771145358544,long,0.0425771145358544,0.5733333333333334,0.1377111342487389,-0.0855407539133465,0.301620284592646,crypto-1d-00
ADA/USD,1d,state_weekpart=weekday + state_ext=stretched_up,23,-0.0420303690289518,short,0.0420303690289518,0.217391304347826,0.0511831854079172,-0.0748646949011372,-0.7030287427818863,crypto-1d-00
BCH/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_ext=neutral + state_ext=stretched_up,68,0.0418560713635219,long,0.0418560713635219,0.5588235294117647,0.2383847847881775,-0.0739497753723192,0.2737560931229424,crypto-1d-00
BCH/USD,1d,state_funding=funding_neutral + state_oi=oi_collapsing + state_ext=stretched_down,49,-0.0418471069392864,short,0.0418471069392864,0.2653061224489796,0.062442727100847,-0.0995214515844515,-0.4665977573281213,crypto-1d-00
BCH/USD,1d,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=uptrend + state_ext=stretched_down,76,0.0414388806677504,long,0.0414388806677504,0.6052631578947368,0.1418002568271576,-0.0628944275682856,0.2515934544196203,crypto-1d-00
