symbol,timeframe,slice_combination,side,triage_bucket,robustness_score,search_wide_bh_pass,search_wide_bonferroni_pass,valid_mean_ret_costadj
SOL/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=stretched_up,short,late_emerging_regime_switching,9.5,True,True,0.0322225139117658
LTC/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,short,late_emerging_valid_supported,8.5,True,True,0.0509620278179017
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,short,late_emerging_valid_supported,8.5,True,True,0.0503599270252599
XRP/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=neutral,short,late_emerging_valid_supported,8.5,True,True,0.0428571510552903
BCH/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,short,late_emerging_recent_only,8.5,True,True,0.0343651771416189
CRV/USD,1h,state_weekpart=weekend + state_ext=stretched_up + state_vol=low_vol,short,late_emerging_recent_only,8.25,True,True,0.0109057454721743
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,short,late_emerging_valid_supported,8.0,True,True,0.1166849185839012
BCH/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,late_emerging_valid_supported,8.0,True,True,0.0893547285480405
DOT/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,short,late_emerging_valid_supported,8.0,True,True,0.0660426480704842
XRP/USD,1d,cross_BTC/USD_state_slope=flat + state_slope=uptrend,short,late_emerging_valid_supported,8.0,True,True,0.0486726666232997
XRP/USD,1d,cross_BTC/USD_state_ext=stretched_down + state_ext=neutral,short,late_emerging_valid_supported,8.0,True,True,0.0289607091013623
LTC/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,short,late_emerging_valid_supported,7.5,True,True,0.0554806439266637
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,clean_survivor_wf_mixed,18.75,True,False,0.0423506923875796
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,clean_survivor_wf_mixed,18.25,True,False,0.0752698490502187
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,clean_survivor_wf_mixed,17.25,True,False,0.0511243129625828
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,clean_survivor_wf_mixed,17.0,True,False,0.0883425437417888
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,short,clean_survivor_wf_failed,17.0,True,False,0.0398788978499569
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,clean_survivor_wf_failed,16.75,True,False,0.0899569818910969
DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up,short,late_emerging_valid_supported,10.25,True,False,0.0776027343639085
