rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,rolling,4,short,survived,clean_survivor_wf_strong,51,True,42,True,0.045919571613617156,0.030404953476397226,cross_ETH/USD_state_slope=uptrend,0.002967518049192125,0.006337345899489755,3,1011,0.75,8,8,8,8,20.5,survived,survived,survived,survived,survived,survived,survived,survived,672,66,False,False
2,DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,rolling,4,short,survived,clean_survivor_wf_failed,28,True,19,True,0.039878897849956976,0.024364279712737046,state_ext=stretched_up,0.005658618667924095,0.008792430946296337,0,0000,0.0,6,8,8,8,17.0,survived,survived,survived,rejected,provisional,survived,survived,survived,672,70,False,False
3,CRV/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,rolling,4,short,survived,over_specified_survivor,31,True,19,True,0.034206960917180305,0.022580390203996548,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,-0.018236718406143514,0.01714500856751844,1,0010,0.25,7,8,1,7,13.5,survived,survived,survived,survived,rejected,survived,survived,survived,672,87,False,False
4,DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up,rolling,4,short,rejected,late_emerging_valid_supported,79,False,21,True,0.07760273436390859,0.06208811622668866,cross_ETH/USD_state_vol=mid_vol,0.03701817290364322,8.710949128287737e-05,1,0100,0.25,2,8,8,7,10.25,rejected,survived,survived,rejected,provisional,rejected,rejected,rejected,672,28,True,False
5,DOT/USD,1d,state_ext=stretched_up + state_vol=high_vol,rolling,4,short,rejected,late_emerging_regime_switching,68,False,29,True,0.05207154050750395,0.03655692237028402,state_ext=stretched_up,0.017851261325471067,0.00019390525847184925,2,0011,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,32,True,False
6,DOGE/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=flat,rolling,4,short,rejected,late_emerging_recent_only,81,False,43,True,0.03530743498260705,0.02929397312014748,state_slope=flat,0.027415238586469468,0.021461285006148856,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,94,False,False
7,DOGE/USD,1d,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,rolling,4,long,rejected,late_emerging_recent_only,40,False,29,True,0.03187589504785901,0.04488935691031859,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=flat,0.0016204379953573093,0.020305707384253413,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,92,False,False
8,DOGE/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,rolling,4,short,rejected,late_emerging_valid_supported,64,False,23,True,0.06510576749640971,0.05909230563395014,state_ext=stretched_down,0.054932156014803696,0.000762723470256077,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,40,True,False
9,DOT/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=neutral,rolling,4,short,rejected,late_emerging_recent_only,47,False,19,True,0.05503157806572632,0.03951695992850639,cross_ETH/USD_state_ext=stretched_up,0.019124544413109318,0.003657906422907198,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,55,True,False
10,DOGE/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,rolling,4,short,rejected,late_emerging_valid_supported,71,False,44,True,0.04348420753570817,0.037470745673248596,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,0.016727922535197497,0.0391472346926629,1,0010,0.25,0,8,7,7,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,114,False,False
11,DOT/USD,1d,cross_BTC/USD_state_slope=flat + state_slope=downtrend,rolling,4,short,rejected,late_emerging_valid_supported,79,False,23,True,0.026562651639310625,0.011048033502090696,state_slope=downtrend,0.014462840390207257,0.03616620861950848,1,1000,0.25,0,8,8,6,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,111,False,False
12,LINK/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=uptrend,rolling,4,short,rejected,late_emerging_valid_supported,81,False,24,True,0.061762157057474766,0.06132006552892153,state_slope=uptrend,0.05089335951119204,0.0007997528075949223,0,0000,0.0,0,8,8,8,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,41,True,False
13,DOT/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,rolling,4,short,rejected,late_emerging_valid_supported,17,False,15,True,0.06604264807048424,0.05052802993326431,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend,0.008564284647334816,1.993930743182659e-06,0,0000,0.0,0,8,8,8,8.0,rejected,rejected,rejected,provisional,rejected,rejected,rejected,rejected,672,20,True,True
14,DOT/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,rolling,4,short,rejected,late_emerging_valid_supported,68,False,30,True,0.020458084285883065,0.004943466148663136,state_slope=downtrend,0.008358273036779697,0.024654658634624127,1,1000,0.25,0,7,7,6,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,97,False,False
15,DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=neutral,rolling,4,short,rejected,late_emerging_valid_supported,35,False,16,True,0.06435898612804039,0.04884436799082046,cross_ETH/USD_state_vol=mid_vol,0.023774424667775018,0.015200187968184453,0,0000,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,82,False,False
16,CRV/USD,1d,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,rolling,4,long,rejected,late_emerging_valid_supported,22,False,22,True,0.029008820671787016,0.047635391384970784,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=flat,0.0068425931843277,0.03023616745944757,0,0000,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,104,False,False
17,LINK/USD,1d,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,rolling,4,long,rejected,late_emerging_valid_supported,35,False,28,True,0.054734607610228005,0.062176699138781245,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=flat,0.005871899114189352,0.04838412879844456,0,0000,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,123,False,False
18,CRV/USD,1d,cross_BTC/USD_state_slope=downtrend + state_ext=stretched_up,rolling,4,short,rejected,late_emerging_valid_supported,27,False,18,True,0.042632953077656806,0.031006382364473048,state_ext=stretched_up,0.004091832539360921,0.02799878694497382,0,0000,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,101,False,False
19,CRV/USD,1d,state_ret_day=ret_day_flat + state_ext=stretched_up,rolling,4,short,rejected,late_emerging_valid_supported,46,False,36,True,0.0412345972552873,0.029608026542103545,state_ext=stretched_up,0.002693476716991418,0.027000281315393337,0,0000,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,100,False,False
20,CRV/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=flat,rolling,4,short,rejected,late_emerging_valid_supported,61,False,28,True,0.06860953279900366,0.0569829620858199,cross_BTC/USD_state_slope=uptrend,0.033989116491964594,0.01868834961914345,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,90,False,False
21,DOT/USD,1d,state_weekpart=weekday + state_ext=neutral,rolling,4,short,rejected,late_emerging_valid_supported,68,False,20,True,0.04983164903475596,0.03431703089753603,state_ext=neutral,0.032474208406013415,0.0481728381827653,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,672,122,False,False
