symbol,timeframe,slice_combination,side,short_cost_bps,train_n,train_mean_ret_costadj,train_baseline_mean_ret_costadj,train_excess_vs_baseline,train_best_parent_filter,train_best_parent_mean_ret_costadj,train_excess_vs_best_parent,train_t_stat_nw,train_pass,valid_n,valid_mean_ret_costadj,valid_baseline_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_best_parent_mean_ret_costadj,valid_excess_vs_best_parent,valid_t_stat_nw,valid_p_value_nw,valid_pass,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,survived,verdict
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,5.0,51,0.032486310692673374,-0.007377123635280566,0.03986343432795394,state_slope=flat,0.01620026501844062,0.016286045674232755,2.5863923254668006,True,42,0.045919571613617156,0.015514618137219929,0.030404953476397226,cross_ETH/USD_state_slope=uptrend,0.04295205356442503,0.002967518049192125,2.729796359572818,0.006337345899489755,True,4,3,1011,0.75,True,survived
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,short,5.0,28,0.047080588575247106,-0.007377123635280566,0.05445771221052767,state_vol=low_vol,0.013236849149566231,0.03384373942568088,2.0655050713418017,True,19,0.039878897849956976,0.015514618137219929,0.024364279712737046,state_ext=stretched_up,0.03422027918203288,0.005658618667924095,2.6200211666048943,0.008792430946296337,True,4,0,0000,0.0,True,survived
CRV/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,short,5.0,31,0.07946454750868781,-0.015476693612247319,0.09494124112093513,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up,0.05816899163070929,0.021295555877978524,5.440951678290496,True,19,0.034206960917180305,0.011626570713183758,0.022580390203996548,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,0.05244367932332382,-0.018236718406143514,2.3835831964709864,0.01714500856751844,True,4,1,0010,0.25,True,survived
DOGE/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,5.0,11,0.04302774010267841,-0.01316434942427952,0.05619208952695793,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral,0.027212000334817944,0.015815739767860465,3.151519234713067,False,7,0.11184619283875748,0.006013461862459571,0.1058327309762979,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,0.06510576749640971,0.04674042534234776,4.617878481471965,3.876831557114713e-06,False,4,0,0000,0.0,False,provisional
DOGE/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,5.0,33,0.03441010325248375,-0.01316434942427952,0.04757445267676327,cross_BTC/USD_state_ext=stretched_up + state_ext=stretched_down,0.02974034898492656,0.004669754267557186,2.5127938651852224,True,14,0.06948391333335178,0.006013461862459571,0.06347045147089221,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,0.02919904547918123,0.040284867854170556,3.4803174923623064,0.0005008199096834254,False,4,0,0000,0.0,False,provisional
CRV/USD,1d,cross_ETH/USD_state_vol=high_vol + state_ext=neutral,short,5.0,9,0.09223113952219288,-0.015476693612247319,0.1077078331344402,state_ext=neutral,0.027744934028876546,0.06448620549331632,2.0578763459960943,False,6,0.0676980897180699,0.011626570713183758,0.05607151900488614,state_ext=neutral,0.012787618034573966,0.05491047168349593,3.068844597302626,0.0021488834043945637,False,4,0,0000,0.0,False,provisional
DOT/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,short,5.0,13,0.07618437058351248,-0.007377123635280566,0.08356149421879304,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend,0.04705460924625789,0.029129761337254582,3.9392836529430943,False,3,0.03465320900397836,0.015514618137219929,0.019138590866758426,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend,0.05747836342314942,-0.022825154419171066,9.549781447821234,0.0,False,4,0,0000,0.0,False,provisional
DOGE/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=neutral,short,5.0,19,0.008271873920028355,-0.01316434942427952,0.021436223344307875,cross_ETH/USD_state_slope=flat + state_ext=neutral,-0.004560003885009094,0.012831877805037448,0.5548269725354912,False,1,0.1561052951301003,0.006013461862459571,0.15009183326764072,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.04023304896033185,0.11587224616976845,,,False,4,0,0000,0.0,False,rejected
LINK/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_up,long,5.0,26,-0.005413408642110587,0.00350344072740135,-0.008916849369511936,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_down,0.014252851579010482,-0.01966626022112107,-0.19438801437510728,False,3,0.1463311142039906,-0.007442091528553239,0.15377320573254383,cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_up,0.010706225206224987,0.1356248889977656,16.312463254749275,0.0,False,4,0,0000,0.0,False,rejected
DOT/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,short,5.0,26,0.047646163502758125,-0.007377123635280566,0.05502328713803869,state_slope=downtrend,-0.0015299079427045462,0.04917607144546267,1.3230814811984846,False,1,0.127063648317282,0.015514618137219929,0.11154903018006208,cross_BTC/USD_state_slope=uptrend,0.03788478749702559,0.08917886082025642,,,False,4,0,0000,0.0,False,rejected
