symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio
SOL/USD,1d,state_volume=vol_quiet + state_ext=stretched_up,142,0.22725393698497817,long,0.22725393698497817,0.4295774647887324,0.3323733121094854,-0.08819948907062927,0.1879892548975997
SOL/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,23,0.2250671042071856,long,0.2250671042071856,0.43478260869565216,0.3458707105783649,-0.08498194002140114,0.18350816500151163
SOL/USD,1d,cross_ETH/USD_state_vol=low_vol + state_ext=stretched_up,180,0.179154052977829,long,0.179154052977829,0.4722222222222222,0.29305467599416174,-0.08401126749523853,0.16582514019525432
SOL/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,214,0.14374903647087278,long,0.14374903647087278,0.4766355140186916,0.2511646443937491,-0.08648410676864167,0.14489520356142527
SOL/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=uptrend,221,0.13932241437936818,long,0.13932241437936818,0.4841628959276018,0.24777812672152152,-0.09150327883501967,0.14244550015028076
SUSHI/USD,1d,state_funding=funding_long + state_ext=stretched_up,23,0.1372969564561234,long,0.1372969564561234,0.6521739130434783,0.29946325569207405,-0.09650713910434232,0.5604410473170082
SOL/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_up,32,0.13415640701665335,long,0.13415640701665335,0.28125,0.2600556687954484,-0.09603654797752832,0.1285173871401744
SOL/USD,1d,cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,247,0.12239780714287968,long,0.12239780714287968,0.46153846153846156,0.22759904901029318,-0.0862079923939395,0.13223840108686216
SOL/USD,1d,cross_BTC/USD_state_vol=low_vol + state_ext=stretched_up,272,0.11641211308020874,long,0.11641211308020874,0.46691176470588236,0.2168758519097995,-0.076723957215031,0.13179658206492195
SOL/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,218,0.11611941011023748,long,0.11611941011023748,0.4724770642201835,0.21912361707034464,-0.08637236121855778,0.12849240379496846
SOL/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=uptrend,244,0.11575839606513219,long,0.11575839606513219,0.4262295081967213,0.22516618935266827,-0.094070063983926,0.12408930377340555
XRP/USD,1d,cross_BTC/USD_state_vol=high_vol + state_ext=stretched_up,59,0.11539414028630787,long,0.11539414028630787,0.6610169491525424,0.2209427114493576,-0.06676358190972916,0.48748317950592884
SOL/USD,1d,state_ext=stretched_up + state_slope=uptrend,262,0.11473330034051238,long,0.11473330034051238,0.42366412213740456,0.21258026032638974,-0.08725987844546217,0.12751311996611644
SOL/USD,1d,state_ext=stretched_up + state_vol=low_vol,261,0.11277924070184882,long,0.11277924070184882,0.4482758620689655,0.21149035160511667,-0.0746603907874715,0.12528515693721765
SOL/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,226,0.11016959118825277,long,0.11016959118825277,0.4646017699115044,0.211487482424561,-0.0863349297837716,0.12409791672240993
SOL/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_up,270,0.10729980897674461,long,0.10729980897674461,0.43703703703703706,0.2110195505009665,-0.08721739138755492,0.12104769833444065
SOL/USD,1d,state_ret_day=ret_day_flat + state_ext=stretched_up,189,0.10148109359084273,long,0.10148109359084273,0.455026455026455,0.19373035297316987,-0.07987375065733365,0.12344419777391105
XRP/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_up,16,0.09287511796228357,long,0.09287511796228357,0.8125,0.14156294344022746,-0.03891439066122767,0.6667047542529773
XRP/USD,1d,cross_ETH/USD_state_vol=high_vol + state_ext=stretched_up,83,0.08506203097447931,long,0.08506203097447931,0.5662650602409639,0.17447120172535258,-0.05897357076625603,0.40924238848966377
SUSHI/USD,1d,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,25,-0.07871666255659449,short,0.07871666255659449,0.24,0.06402710083289166,-0.13487055064705195,-0.828179878995487
SOL/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,416,0.07823410648900847,long,0.07823410648900847,0.47115384615384615,0.1765542769994503,-0.08569925086714411,0.11781225666566478
SOL/USD,1d,cross_BTC/USD_state_ext=stretched_up + state_ext=stretched_up,421,0.07667305858267727,long,0.07667305858267727,0.4679334916864608,0.17330520277172234,-0.08390537142788047,0.1161356599801789
SOL/USD,1d,cross_BTC/USD_state_ext=neutral + state_ext=stretched_up,82,0.07312647491946059,long,0.07312647491946059,0.4146341463414634,0.17284676618747635,-0.08970224104148136,0.11131363935335031
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,42,-0.0728918520582896,short,0.0728918520582896,0.11904761904761904,0.2623314298872475,-0.13020366460982094,-0.789929230518739
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,29,-0.07275205516100251,short,0.07275205516100251,0.20689655172413793,0.5976160492076468,-0.1495688222329364,-0.6852920328893939
SOL/USD,1d,state_weekpart=weekday + state_ext=stretched_up,402,0.07261833622390951,long,0.07261833622390951,0.44527363184079605,0.17027341732567408,-0.0816974190564676,0.11297912857733414
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,37,-0.06997779628883066,short,0.06997779628883066,0.21621621621621623,0.0999598649698323,-0.135092487138331,-0.7492892999056107
SUSHI/USD,1d,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_up,20,-0.06662520974235193,short,0.06662520974235193,0.3,0.05025763822237358,-0.12189824627154629,-0.6725167102929226
SUSHI/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,16,-0.06576149067141944,short,0.06576149067141944,0.25,0.10994390596463494,-0.11235941245575476,-0.6961908378209376
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,70,-0.0655445267769352,short,0.0655445267769352,0.32857142857142857,0.23305906368438167,-0.1465688174288643,-0.6063082759902472
SOL/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,15,-0.06496831694352359,short,0.06496831694352359,0.3333333333333333,0.07590340270789223,-0.13558039028813582,-0.40021119562882773
SUSHI/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=downtrend + state_ext=neutral,15,0.06305455422752534,long,0.06305455422752534,0.8,0.114320841139488,-0.05423325520420178,0.6076673165611761
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,33,-0.06149769484990171,short,0.06149769484990171,0.3333333333333333,0.10814490225630297,-0.15386293189294264,-0.45942206572218663
SUSHI/USD,1d,cross_BTC/USD_state_slope=downtrend + state_ext=stretched_up,38,-0.061043496474207176,short,0.061043496474207176,0.2631578947368421,0.0781315184571512,-0.12046309571816896,-0.682216093905556
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,67,-0.06014095818076596,short,0.06014095818076596,0.2835820895522388,0.3736239950315404,-0.15108028711703747,-0.5440103186352917
SOL/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_up,64,0.05943207908425785,long,0.05943207908425785,0.25,0.17437548522439497,-0.09982517783587133,0.07995678976206608
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_down + state_ext=stretched_up,40,-0.058764142273730544,short,0.058764142273730544,0.25,0.07918262673373273,-0.12700386281123038,-0.5736534037907891
SOL/USD,1d,state_ret_day=ret_day_up + state_ext=stretched_up,191,0.05550973167597324,long,0.05550973167597324,0.418848167539267,0.1551837814947177,-0.08574083198008768,0.0824552515067934
SOL/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_down,17,-0.054572748645522605,short,0.054572748645522605,0.4117647058823529,0.06738055548096417,-0.11463611261877259,-0.4272161146087087
