symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio
BCH/USD,1h,state_funding=funding_short + state_oi=oi_collapsing + state_ext=stretched_down,23,-0.015867412020810653,short,0.015867412020810653,0.21739130434782608,0.018127775036376772,-0.03141230747038845,-0.5666719477725606
ADA/USD,1h,state_funding=funding_short + state_oi=oi_building + state_ext=neutral,20,-0.014844306988479933,short,0.014844306988479933,0.1,0.004266262468608589,-0.02152034626051898,-1.372680242643978
AVAX/USD,1h,state_oi=oi_building + state_ext=stretched_down,18,-0.01246666758108502,short,0.01246666758108502,0.2777777777777778,0.005055500717826634,-0.02422000249747948,-0.7100922948105579
AAVE/USD,1h,cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_up,16,0.012299454481135015,long,0.012299454481135015,0.625,0.03391659318906597,-0.0769948722160699,0.2231695344838074
AAVE/USD,1h,state_ext=stretched_up + state_slope=downtrend,20,-0.011957535787600082,short,0.011957535787600082,0.2,0.02633985130872966,-0.1030772785045724,-0.38311631835639115
AAVE/USD,1h,state_funding=funding_short + state_oi=oi_collapsing + state_ext=stretched_down,21,-0.010835959689709915,short,0.010835959689709915,0.42857142857142855,0.01063303294979652,-0.019485940429981127,-0.4728540340370136
AAVE/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_down + state_slope=flat,20,0.010820532991193338,long,0.010820532991193338,0.65,0.02425552997622311,-0.010280679483328248,0.4384943013563648
AVAX/USD,1h,state_weekpart=weekend + state_ext=stretched_down + state_vol=high_vol,93,0.010621218939868705,long,0.010621218939868705,0.6451612903225806,0.028519533786158263,-0.01659111322399985,0.43570085921647017
ADA/USD,1h,state_weekpart=weekend + state_ext=stretched_down + state_vol=high_vol,35,0.010537389773726027,long,0.010537389773726027,0.6857142857142857,0.022599290161383775,-0.01073807016284002,0.6809685845054334
ADA/USD,1h,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,15,-0.01041085583220506,short,0.01041085583220506,0.2,0.008915467804862647,-0.018801054322579072,-0.8443045275579383
AAVE/USD,1h,state_oi=oi_collapsing + state_ext=stretched_up,28,-0.010230253024526955,short,0.010230253024526955,0.25,0.07366720868528688,-0.02544688202999757,-0.7258161710861999
AAVE/USD,1h,state_utc_session=utc_us + state_funding=funding_long + state_ext=stretched_down,107,0.010118223981074318,long,0.010118223981074318,0.7102803738317757,0.031294411485612836,-0.02193196414453365,0.5145524005748882
ADA/USD,1h,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,28,-0.009982916351853114,short,0.009982916351853114,0.14285714285714285,0.0062090158425639475,-0.016236076679380918,-0.9141457134297495
ADA/USD,1h,cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,15,-0.00990458012291188,short,0.00990458012291188,0.3333333333333333,0.010800103605429889,-0.01960620042228253,-0.5027729376236959
ADA/USD,1h,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,28,-0.009787079225937887,short,0.009787079225937887,0.14285714285714285,0.00821659480433566,-0.017422914696156037,-0.6913526646189528
ADA/USD,1h,state_weekpart=weekend + state_ext=stretched_up + state_vol=mid_vol,17,-0.00970303115294332,short,0.00970303115294332,0.11764705882352941,0.01219529307001465,-0.01897679105241409,-0.8930922512352003
BCH/USD,1h,state_ret_day=ret_day_flat + state_ext=stretched_down + state_slope=flat,35,-0.009599149996389104,short,0.009599149996389104,0.4,0.015212005132212934,-0.02507706553221111,-0.45343155367124155
AAVE/USD,1h,state_funding=funding_short + state_oi=oi_building + state_ext=neutral,24,-0.009329207867587489,short,0.009329207867587489,0.25,0.007789168145582656,-0.018434039472443497,-0.7802880720038875
AVAX/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,15,0.009328526659470038,long,0.009328526659470038,0.6,0.0377832855642498,-0.007682019063682303,0.4508451678730185
BCH/USD,1h,state_utc_session=utc_us + state_ext=stretched_down + state_slope=flat,27,-0.008953463012139128,short,0.008953463012139128,0.2962962962962963,0.014313092233269067,-0.027272950428551043,-0.3810865830962689
AAVE/USD,1h,state_funding=funding_neutral + state_oi=oi_collapsing + state_ext=stretched_up,19,-0.00878503470532481,short,0.00878503470532481,0.3157894736842105,0.009106255390953052,-0.02062767916380127,-0.609563332263609
ADA/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,91,-0.00859473672213655,short,0.00859473672213655,0.3626373626373626,0.01123148689729142,-0.020948597675080272,-0.3321931865016183
ADA/USD,1h,state_utc_session=utc_europe + state_ext=stretched_down + state_slope=flat,28,-0.008493538088531788,short,0.008493538088531788,0.2857142857142857,0.012876306739063528,-0.018571619929157263,-0.5190241891688193
AAVE/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_down + state_ext=neutral,28,0.008453712096847314,long,0.008453712096847314,0.6785714285714286,0.04209161862295061,-0.013897173518323595,0.31918548584764256
BCH/USD,1h,state_funding=funding_long + state_oi=oi_building + state_ext=neutral,49,-0.00824034411776388,short,0.00824034411776388,0.24489795918367346,0.009331007100677238,-0.015850834237114673,-0.5087597784723321
ADA/USD,1h,state_ret_day=ret_day_flat + state_ext=stretched_up + state_slope=uptrend,24,-0.008109525059297734,short,0.008109525059297734,0.3333333333333333,0.016003505943367247,-0.023528592233748456,-0.3556096695464809
AVAX/USD,1h,state_utc_session=utc_asia + state_funding=funding_short + state_ext=stretched_up,56,-0.008094399890360713,short,0.008094399890360713,0.2857142857142857,0.012254791155920966,-0.01662057115954465,-0.5730809334034539
ADA/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_down,40,-0.008069491013699632,short,0.008069491013699632,0.425,0.014175062527571915,-0.02016001262584401,-0.26524816977947874
