symbol,timeframe,slice_combination,side,short_cost_bps,train_n,train_mean_ret_costadj,train_baseline_mean_ret_costadj,train_excess_vs_baseline,train_best_parent_filter,train_best_parent_mean_ret_costadj,train_excess_vs_best_parent,train_t_stat_nw,train_pass,valid_n,valid_mean_ret_costadj,valid_baseline_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_best_parent_mean_ret_costadj,valid_excess_vs_best_parent,valid_t_stat_nw,valid_p_value_nw,valid_pass,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,survived,verdict
AAVE/USD,1h,cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_up,long,5.0,6,-0.03558354708181738,-0.0037169911495988583,-0.03186655593221852,cross_ETH/USD_state_ext=stretched_down,-0.002510073887301085,-0.0330734731945163,-2.0928214071757765,False,10,0.036229255418906446,-0.002943744423142192,0.03917299984204864,cross_ETH/USD_state_ext=stretched_down,-1.646705578967394e-05,0.03624572247469612,3.515264733974789,0.0004393158162230293,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,state_ret_day=ret_day_flat + state_ext=stretched_up + state_slope=uptrend,short,5.0,18,-0.0030640360052221335,-0.0038633580068166504,0.0007993220015945169,state_ret_day=ret_day_flat + state_ext=stretched_up,-0.0024123189120104447,-0.0006517170932116888,-0.6558312408365702,False,6,0.025630208252857334,-0.002511269149703476,0.02814147740256081,state_ret_day=ret_day_flat + state_ext=stretched_up,0.014157992543112317,0.011472215709745017,2.9179851968904007,0.0035230107444257364,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,state_weekpart=weekend + state_ext=stretched_down + state_vol=low_vol,long,5.0,45,-0.0004817027967598258,-0.00313664199318335,0.0026549391964235244,state_vol=low_vol,-0.002411501309405143,0.0019297985126453172,-0.24990866814903673,False,12,0.022897829994542467,-0.004488730850296527,0.027386560844838995,state_weekpart=weekend + state_ext=stretched_down,0.012574667888571499,0.010323162105970968,1.543954013870842,0.12259947344246491,False,4,0,0000,0.0,False,rejected
BCH/USD,1h,state_ext=stretched_down + state_slope=uptrend,long,5.0,19,-0.0045938731153767325,-0.0029655157353193403,-0.0016283573800573922,state_ext=stretched_down,-0.002482154037100319,-0.0021117190782764133,-0.869881492409678,False,3,0.022766374835654284,-0.004263836804034087,0.02703021163968837,state_slope=uptrend,-0.0032200940662096963,0.02598646890186398,1.799211812464603,0.07198518160063361,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,state_ext=stretched_down + state_slope=uptrend,long,5.0,15,-0.008421821620631776,-0.0037169911495988583,-0.004704830471032918,state_ext=stretched_down,-0.0038585341877822965,-0.004563287432849479,-1.0382118356235794,False,8,0.02174331809256301,-0.002943744423142192,0.024687062515705203,state_slope=uptrend,-0.0027667265118179146,0.024510044604380925,1.711686012152788,0.08695454775421618,False,4,0,0000,0.0,False,rejected
AVAX/USD,1h,state_ret_day=ret_day_down + state_ext=stretched_up,long,5.0,36,-0.002259059720811216,-0.0035102146319018752,0.001251154911090659,state_ext=stretched_up,-0.003542707905776346,0.0012836481849651297,-0.3167656872306862,False,3,0.02145913760366369,-0.0034216724096196526,0.024880810013283343,state_ret_day=ret_day_down,-0.001849612608868057,0.02330875021253175,0.8982385462569706,0.36905838734884844,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_down,long,5.0,25,-0.002650815399936804,-0.0037169911495988583,0.0010661757496620542,cross_BTC/USD_state_slope=uptrend,-0.0034751395729953356,0.0008243241730585315,-0.702409769559062,False,1,0.020923087588040516,-0.002943744423142192,0.02386683201118271,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,0.008852166827057468,0.012070920760983048,,,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,cross_BTC/USD_state_ext=stretched_up + state_ext=neutral,short,5.0,46,-0.005263820619862609,-0.0038633580068166504,-0.0014004626130459585,cross_BTC/USD_state_ext=stretched_up,-0.0036317116647148384,-0.0016321089551477705,-1.6807968560056747,False,5,0.018015293126413593,-0.002511269149703476,0.02052656227611707,cross_BTC/USD_state_ext=stretched_up,0.0014245771407682935,0.0165907159856453,11.65353746228063,0.0,False,4,0,0000,0.0,False,rejected
BCH/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_down,short,5.0,23,-0.005058632780170591,-0.004034484264680662,-0.0010241485154899293,cross_BTC/USD_state_slope=flat,-0.0040038255973298565,-0.0010548071828407344,-0.8612974421029914,False,15,0.01704044823560069,-0.0027361631959659156,0.01977661143156661,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_down,0.0037229357312971436,0.013317512504303547,2.1598081322089198,0.030787525844000685,True,4,0,0000,0.0,False,rejected
ADA/USD,1h,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=uptrend + state_ext=neutral,short,5.0,44,-0.004691969533151766,-0.0038633580068166504,-0.0008286115263351152,cross_ETH/USD_state_slope=uptrend + state_ext=neutral,-0.0025935824606726013,-0.0020983870724791643,-1.4922180462918984,False,4,0.016239328845040677,-0.002511269149703476,0.018750597994744152,cross_BTC/USD_state_ext=stretched_up + state_ext=neutral,0.018015293126413593,-0.001775964281372916,11.103041475886046,0.0,False,4,1,0100,0.25,False,rejected
ADA/USD,1h,state_ret_day=ret_day_flat + state_ext=stretched_up,short,5.0,31,-0.0024123189120104447,-0.0038633580068166504,0.0014510390948062057,state_ext=stretched_up,-0.004078907725124321,0.0016665888131138767,-0.5023495519648199,False,9,0.014157992543112317,-0.002511269149703476,0.016669261692815792,state_ret_day=ret_day_flat,-0.0022542444634422484,0.016412237006554566,1.6932969315573283,0.09039896190692964,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,state_utc_session=utc_asia + state_ext=stretched_up + state_slope=flat,short,5.0,13,-0.0005716024282387317,-0.0038633580068166504,0.0032917555785779186,state_utc_session=utc_asia,-0.0032577550592222506,0.0026861526309835187,-0.130715768003675,False,3,0.013795205980998301,-0.002511269149703476,0.016306475130701777,state_ext=stretched_up + state_slope=flat,0.0033904613818681426,0.01040474459913016,2.062758761106816,0.039135553927955646,False,4,0,0000,0.0,False,rejected
BCH/USD,1h,state_utc_session=utc_asia + state_ext=stretched_down + state_slope=flat,short,5.0,24,-0.0022359490188745474,-0.004034484264680662,0.0017985352458061142,state_ext=stretched_down + state_slope=flat,0.0017349817280376905,-0.003970930746912238,-0.6573278066506948,False,7,0.01279840388428731,-0.0027361631959659156,0.015534567080253225,state_utc_session=utc_asia + state_ext=stretched_down,0.00455134159556841,0.008247062288718899,1.2172185688476007,0.22352106702344132,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,state_weekpart=weekend + state_ext=stretched_down,long,5.0,138,-0.0037478125876516215,-0.00313664199318335,-0.0006111705944682713,state_ext=stretched_down,-0.003606476456218245,-0.0001413361314333765,-2.3296793185149633,False,35,0.012574667888571499,-0.004488730850296527,0.017063398738868026,state_weekpart=weekend,-0.0015147602560026778,0.014089428144574177,1.927914976496046,0.05386570258875678,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,cross_ETH/USD_state_slope=downtrend + state_slope=uptrend,long,5.0,84,-0.009833250868718628,-0.0037169911495988583,-0.00611625971911977,state_slope=uptrend,-0.003900180933852727,-0.005933069934865901,-2.7495747950203087,False,47,0.012558228349826485,-0.002943744423142192,0.015501972772968678,state_slope=uptrend,-0.0027667265118179146,0.0153249548616444,1.7091771933810178,0.08741813209384652,False,4,0,0000,0.0,False,rejected
AVAX/USD,1h,state_ret_day=ret_day_down + state_ext=stretched_up + state_slope=flat,long,5.0,17,-0.0017378496917295645,-0.0035102146319018752,0.0017723649401723107,state_ret_day=ret_day_down + state_ext=stretched_up,-0.002259059720811216,0.0005212100290816516,-0.27608781092605555,False,2,0.012446736265652236,-0.0034216724096196526,0.015868408675271888,state_ret_day=ret_day_down + state_ext=stretched_up,0.02145913760366369,-0.009012401338011455,0.49915659510230975,0.6176690698585838,False,4,0,0000,0.0,False,rejected
AVAX/USD,1h,state_ret_day=ret_day_up + state_ext=neutral + state_slope=downtrend,short,5.0,30,-0.006781755494235912,-0.0034897853680981262,-0.003291970126137786,state_slope=downtrend,-0.0035105651207471395,-0.0032711903734887727,-2.6978282877210478,False,24,0.012123806879045377,-0.0035783275903803493,0.015702134469425727,state_ret_day=ret_day_up + state_slope=downtrend,0.012515662707177218,-0.00039185582813184086,2.1282727537111685,0.033314475764417484,True,4,1,0010,0.25,False,rejected
BCH/USD,1h,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=uptrend + state_ext=neutral,short,5.0,23,-0.010881596116335112,-0.004034484264680662,-0.00684711185165445,cross_ETH/USD_state_slope=uptrend,-0.003164224803224562,-0.00771737131311055,-1.3285716016043414,False,10,0.011983448870134986,-0.0027361631959659156,0.0147196120661009,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=uptrend,0.009017750693595693,0.002965698176539293,5.7029377026327275,1.177600283952529e-08,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,state_ext=stretched_down + state_vol=low_vol,long,5.0,134,-0.003832449498727116,-0.00313664199318335,-0.0006958075055437658,state_vol=low_vol,-0.002411501309405143,-0.001420948189321973,-3.1165912802998683,False,19,0.011751109191835987,-0.004488730850296527,0.016239840042132515,state_ext=stretched_down,-0.005465922807852381,0.017217031999688368,1.0630624361201864,0.2877536379449719,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,state_utc_session=utc_europe + state_ext=stretched_down + state_slope=flat,long,5.0,77,-0.003819865079199049,-0.0037169911495988583,-0.00010287392960019095,state_ext=stretched_down + state_slope=flat,-0.0025618182757338585,-0.0012580468034651907,-1.297307646748254,False,15,0.011750001003861582,-0.002943744423142192,0.014693745427003774,state_ext=stretched_down + state_slope=flat,0.0014016809261162575,0.010348320077745325,2.3369292655075196,0.01944286234268322,True,4,0,0000,0.0,False,rejected
BCH/USD,1h,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,long,5.0,31,-0.000845615766608051,-0.0029655157353193403,0.0021198999687112893,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,-0.0008913904671712279,4.577470056317686e-05,-0.3480806675335833,False,11,0.011421772579748322,-0.004263836804034087,0.01568560938378241,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,0.0015763509940529355,0.009845421585695386,2.175000936011238,0.029630046243160013,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,short,5.0,10,0.0033467540349782854,-0.0038633580068166504,0.007210112041794936,cross_ETH/USD_state_slope=downtrend,-0.003948139531528844,0.00729489356650713,0.35784211090066337,False,5,0.011020232298779067,-0.002511269149703476,0.013531501448482544,cross_ETH/USD_state_slope=downtrend,-0.0009120844086163716,0.01193231670739544,3.609188404427059,0.00030715647534762525,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,short,5.0,16,0.0024477581370427846,-0.0038633580068166504,0.006311116143859435,state_slope=downtrend,-0.004024928630091935,0.0064726867671347195,1.8207898890121728,False,12,0.010696460638266887,-0.002511269149703476,0.013207729787970364,state_slope=downtrend,-0.0006397619216762739,0.011336222559943161,3.212465520023662,0.0013160094414708112,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,state_weekpart=weekend + state_ext=stretched_down + state_vol=high_vol,long,5.0,17,0.004356755141981883,-0.00313664199318335,0.007493397135165234,state_ext=stretched_down + state_vol=high_vol,-0.001300379927183392,0.005657135069165275,0.8972782976073576,False,18,0.010541322481484388,-0.004488730850296527,0.015030053331780913,state_weekpart=weekend + state_ext=stretched_down,0.012574667888571499,-0.002033345407087111,2.7938640787138826,0.005208236454923965,True,4,0,0000,0.0,False,rejected
AAVE/USD,1h,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=uptrend + state_ext=neutral,short,5.0,19,-0.0026677147274513243,-0.003283008850401144,0.0006152941229498198,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=uptrend,-0.0010249776858978366,-0.0016427370415534877,-0.7455524829424973,False,5,0.010540853322308766,-0.004056255576857811,0.014597108899166576,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=uptrend,0.0024328238872708343,0.008108029435037932,2.6947859687217104,0.007043385793758183,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_down + state_ext=neutral,long,5.0,18,0.0026394262013213813,-0.0037169911495988583,0.0063564173509202395,cross_ETH/USD_state_ext=stretched_down + state_ext=neutral,0.0006580944664534847,0.001981331734867897,0.6477753870990124,False,10,0.01051942670879399,-0.002943744423142192,0.013463171131936184,cross_ETH/USD_state_ext=stretched_down + state_ext=neutral,0.004737425713879798,0.0057820009949141925,1.2082240433600007,0.2269610958940298,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,state_weekpart=weekend + state_ext=stretched_up + state_vol=mid_vol,short,5.0,14,0.0047172108024343155,-0.0038633580068166504,0.008580568809250965,state_weekpart=weekend + state_vol=mid_vol,0.0015357719580456168,0.0031814388443886987,1.2653095036507906,False,3,0.01030352612198534,-0.002511269149703476,0.012814795271688818,state_weekpart=weekend + state_ext=stretched_up,0.00170493052280498,0.00859859559918036,6.2405163732298705,4.361286887188953e-10,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat + state_ext=neutral,short,5.0,16,-0.003676740128889089,-0.003283008850401144,-0.000393731278487945,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat,-0.003100697547522421,-0.000576042581366668,-0.7363460786719015,False,3,0.010282779889378054,-0.004056255576857811,0.014339035466235866,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat,-0.00015534552383932422,0.010438125413217378,1.8396735956606367,0.06581617231486248,False,4,0,0000,0.0,False,rejected
BCH/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,short,5.0,23,-0.005967577139041355,-0.004034484264680662,-0.0019330928743606932,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,-0.0028726971655460617,-0.003094879973495293,-1.84325270737536,False,8,0.010229763700633835,-0.0027361631959659156,0.01296592689659975,cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,0.002659712367370168,0.007570051333263667,2.694672022126837,0.007045794660352156,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_down,long,5.0,28,-0.004531959388089541,-0.0037169911495988583,-0.0008149682384906826,state_ret_day=ret_day_up,-0.003494438577153846,-0.001037520810935695,-0.785897740055148,False,19,0.009996281666089027,-0.002943744423142192,0.01294002608923122,state_ret_day=ret_day_up,-0.0029901981584348064,0.012986479824523833,1.4262928721395909,0.15378382123170176,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,long,5.0,43,-0.00848891304041581,-0.0037169911495988583,-0.004771921890816952,cross_BTC/USD_state_slope=uptrend,-0.0034751395729953356,-0.005013773467420475,-1.788267254451544,False,22,0.009901528514768661,-0.002943744423142192,0.012845272937910854,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,0.008852166827057468,0.001049361687711194,2.22855487148247,0.02584353656076943,True,4,1,0001,0.25,False,rejected
ADA/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,5.0,30,-0.0036582507090871454,-0.0038633580068166504,0.00020510729772950506,cross_ETH/USD_state_slope=flat + state_ext=stretched_down,-0.0011487032824865275,-0.0025095474266006177,-2.243917444827188,False,39,0.009525108720119775,-0.002511269149703476,0.012036377869823253,cross_BTC/USD_state_slope=flat + state_ext=stretched_down,0.007787511846357827,0.0017375968737619483,1.591411479901506,0.11151700244783447,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,cross_BTC/USD_state_slope=downtrend + state_slope=uptrend,long,5.0,119,-0.00832412482246342,-0.0037169911495988583,-0.004607133672864562,state_slope=uptrend,-0.003900180933852727,-0.004423943888610693,-2.8389312292156044,False,57,0.009324936509286527,-0.002943744423142192,0.012268680932428718,state_slope=uptrend,-0.0027667265118179146,0.012091663021104442,1.3785980328935128,0.168018723396417,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,5.0,36,-0.0023374209749179803,-0.0038633580068166504,0.0015259370318986701,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,-0.0012081262673381125,-0.0011292947075798678,-1.5023769951997448,False,55,0.009132149032935875,-0.002511269149703476,0.01164341818263935,cross_BTC/USD_state_slope=flat + state_ext=stretched_down,0.007787511846357827,0.0013446371865780482,1.2703280669432562,0.20396779452878055,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_down + state_slope=flat,long,5.0,9,0.006535169951689742,-0.0037169911495988583,0.0102521611012886,state_ext=stretched_down + state_slope=flat,-0.0025618182757338585,0.009096988227423601,0.7994563153028049,False,11,0.008872193659878095,-0.002943744423142192,0.011815938083020287,state_ret_day=ret_day_up + state_ext=stretched_down,0.009996281666089027,-0.0011240880062109316,0.9045392770247372,0.3657095173547227,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,long,5.0,107,-0.005617057463115401,-0.0037169911495988583,-0.0019000663135165428,cross_BTC/USD_state_slope=uptrend,-0.0034751395729953356,-0.0021419178901200655,-2.3329028731414954,False,33,0.008852166827057468,-0.002943744423142192,0.011795911250199659,cross_BTC/USD_state_slope=uptrend,-0.0022395550131935667,0.011091721840251034,1.9941872789451205,0.04613159182997473,True,4,0,0000,0.0,False,rejected
BCH/USD,1h,state_utc_session=utc_us + state_ext=stretched_up + state_slope=flat,short,5.0,26,-0.005333775547406889,-0.004034484264680662,-0.0012992912827262271,state_utc_session=utc_us + state_ext=stretched_up,-0.0014004044618514174,-0.003933371085555471,-1.134048232650539,False,10,0.008804348120693929,-0.0027361631959659156,0.011540511316659844,state_ext=stretched_up + state_slope=flat,0.0026232935389524166,0.006181054581741513,1.5153414143527146,0.12968596551353206,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up + state_ext=neutral,short,5.0,12,-0.006028743850628929,-0.0038633580068166504,-0.0021653858438122784,cross_ETH/USD_state_ext=stretched_up + state_ext=neutral,-0.0005418853921326103,-0.005486858458496319,-2.0272256935241635,False,4,0.008606214648277825,-0.002511269149703476,0.0111174837979813,cross_ETH/USD_state_ext=stretched_up + state_ext=neutral,0.004236922752345498,0.0043692918959323266,3.050903236440343,0.0022815409021987865,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,cross_BTC/USD_state_slope=downtrend + state_ext=stretched_up,short,5.0,12,-0.0011806640279098462,-0.0038633580068166504,0.0026826939789068045,cross_BTC/USD_state_slope=downtrend,-0.0035647635490042946,0.0023840995210944486,-0.16495879495190363,False,4,0.008172666737532312,-0.002511269149703476,0.010683935887235787,cross_BTC/USD_state_slope=downtrend,-0.0018325425621038578,0.01000520929963617,2.073729904934448,0.03810440224914835,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,5.0,7,0.004570420614030142,-0.0038633580068166504,0.008433778620846794,cross_ETH/USD_state_slope=flat + state_ext=stretched_down,-0.0011487032824865275,0.0057191238965166695,1.7009740106372488,False,8,0.008021236648108113,-0.002511269149703476,0.010532505797811589,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat,0.0103712855184978,-0.002350048870389686,1.3356310325744827,0.18166990179154996,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_down,long,5.0,27,1.074493258116266e-05,-0.0037169911495988583,0.0037277360821800208,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=stretched_down,-0.002100051325105525,0.0021107962576866874,0.0034578832245542586,False,5,0.00800257901448063,-0.002943744423142192,0.01094632343762282,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,0.008852166827057468,-0.000849587812576838,1.8104365628147157,0.07022811359010994,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,cross_BTC/USD_state_slope=flat + state_ext=stretched_down,short,5.0,58,-0.0012992083663674408,-0.0038633580068166504,0.0025641496404492097,state_ext=stretched_down,-0.003393523543781757,0.002094315177414316,-1.0436585535461314,False,64,0.007787511846357827,-0.002511269149703476,0.010298780996061303,cross_BTC/USD_state_slope=flat,-0.0013184291384046732,0.0091059409847625,1.1948967862403939,0.23212735867952716,False,4,0,0000,0.0,False,rejected
AVAX/USD,1h,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,5.0,29,-2.7007038049706334e-05,-0.0034897853680981262,0.0034627783300484197,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat,-0.0012379484594646853,0.001210941421414979,-0.0074234351447965445,False,10,0.007669951294341018,-0.0035783275903803493,0.011248278884721368,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat,0.006239992577530747,0.0014299587168102711,1.5654630925604527,0.11747436475750872,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_down,short,5.0,22,0.0013390802752460231,-0.0038633580068166504,0.005202438282062674,cross_BTC/USD_state_slope=flat + state_ext=stretched_down,-0.0012992083663674408,0.0026382886416134637,0.6501472285436515,False,18,0.007406659694031816,-0.002511269149703476,0.009917928843735293,cross_BTC/USD_state_slope=flat + state_ext=stretched_down,0.007787511846357827,-0.0003808521523260113,0.5297219417886189,0.5963047326066802,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,state_utc_session=utc_us + state_ext=stretched_down + state_slope=flat,short,5.0,20,-0.004588976060006769,-0.0038633580068166504,-0.0007256180531901189,state_ext=stretched_down + state_slope=flat,0.0007433951034026385,-0.005332371163409408,-2.1135353832936703,False,8,0.007182161682246101,-0.002511269149703476,0.009693430831949578,state_ext=stretched_down + state_slope=flat,0.004722737854673317,0.0024594238275727843,0.8493435276364315,0.39569016685792935,False,4,0,0000,0.0,False,rejected
ADA/USD,1h,cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,5.0,62,-0.0011487032824865275,-0.0038633580068166504,0.002714654724330123,state_ext=stretched_down,-0.003393523543781757,0.002244820261295229,-0.742896895281127,False,57,0.007109351140034229,-0.002511269149703476,0.009620620289737706,state_ext=stretched_down,-0.0015340771921476231,0.008643428332181851,1.5462882943172056,0.12203495772039208,False,4,1,0010,0.25,False,rejected
ADA/USD,1h,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,5.0,55,-0.0018765917784068313,-0.0038633580068166504,0.001986766228409819,cross_ETH/USD_state_slope=flat + state_ext=stretched_down,-0.0011487032824865275,-0.0007278884959203038,-1.1779551577852594,False,49,0.006960471873409923,-0.002511269149703476,0.009471741023113399,cross_ETH/USD_state_slope=flat + state_ext=stretched_down,0.007109351140034229,-0.00014887926662430617,1.3929269537494322,0.16364188074305508,False,4,0,0000,0.0,False,rejected
AAVE/USD,1h,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_up,long,5.0,33,-0.004538158371485571,-0.0037169911495988583,-0.0008211672218867128,cross_BTC/USD_state_ext=stretched_up + state_ext=stretched_up,-0.0022569248404502073,-0.002281233531035364,-1.1403838789629503,False,8,0.006793850944606066,-0.002943744423142192,0.009737595367748257,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,0.004954055066416621,0.0018397958781894447,1.0130188366363988,0.31105116368490515,False,4,0,0000,0.0,False,rejected
BCH/USD,1h,state_ret_day=ret_day_flat + state_ext=stretched_down + state_slope=downtrend,long,5.0,78,-0.001182230284540861,-0.0029655157353193403,0.0017832854507784793,state_ext=stretched_down + state_slope=downtrend,-0.0017774946288991217,0.0005952643443582607,-0.7104677120243312,False,12,0.006587135086379622,-0.004263836804034087,0.010850971890413709,state_ret_day=ret_day_flat + state_ext=stretched_down,2.432602695057435e-05,0.006562809059429048,0.7842879334485091,0.4328711781598238,False,4,0,0000,0.0,False,rejected
