rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,LTC/USD,1h,state_ext=stretched_up + state_slope=flat,rolling,4,short,rejected,late_emerging_recent_only,98,False,23,True,0.004371868327905836,0.008098575198451766,state_ext=stretched_up,0.0035218798721503757,0.004144657840717159,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,488,True,False
2,LTC/USD,1h,state_ext=neutral + state_slope=downtrend,rolling,4,short,rejected,interesting_but_failed_gate,1250,False,591,False,-0.003596160625982539,0.00013054624456338955,state_ext=neutral,0.00020475641613521174,6.738730072175514e-06,0,0000,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,203,True,True
3,SOL/USD,1h,cross_BTC/USD_state_vol=mid_vol + state_ext=neutral,rolling,4,short,rejected,interesting_but_failed_gate,0,False,1908,False,-0.0033544062396542646,0.0004107504232170431,cross_BTC/USD_state_vol=mid_vol,0.00012375882133621027,2.5706418171900225e-07,0,0000,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,138,True,True
4,LTC/USD,1h,state_utc_session=utc_us + state_ext=neutral,rolling,4,short,rejected,interesting_but_failed_gate,1310,False,761,False,-0.0033502909286882415,0.00037641594185768706,state_utc_session=utc_us,9.293857723090314e-05,4.118561447441493e-08,0,0000,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,119,True,True
5,SOL/USD,1h,state_volume=vol_surge + state_ext=neutral,rolling,4,short,rejected,interesting_but_failed_gate,2102,False,2202,False,-0.003608049345647537,0.00015710731722377077,state_volume=vol_surge,7.046004057396178e-05,4.770406292209373e-12,0,0000,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,51,True,True
6,XRP/USD,1h,state_utc_session=utc_us + state_ext=neutral,rolling,4,short,rejected,interesting_but_failed_gate,3465,False,1532,False,-0.0031175610286218237,0.00042718757141439745,state_ext=neutral,4.8979312893307394e-05,2.15248130430723e-09,0,0000,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,90,True,True
7,UNI/USD,1h,cross_ETH/USD_state_slope=downtrend + state_ext=neutral,rolling,4,short,rejected,interesting_but_failed_gate,0,False,1436,False,-0.002568010046317589,0.00121763564205628,state_ext=neutral,0.000982730128412494,0.002319148367939672,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,445,True,False
8,XRP/USD,1h,state_utc_session=utc_us + state_slope=flat,rolling,4,short,rejected,interesting_but_failed_gate,1515,False,733,False,-0.002366544200304221,0.001178204399732,state_slope=flat,0.0009337779051840156,0.0028037165062333447,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,462,True,False
9,SOL/USD,1h,cross_BTC/USD_state_slope=uptrend + state_slope=flat,rolling,4,long,rejected,interesting_but_failed_gate,0,False,942,False,-0.0020778715901096797,0.0011569717470190145,state_slope=flat,0.0009178847553853973,0.0037327064057000037,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,479,True,False
10,UNI/USD,1h,cross_BTC/USD_state_slope=downtrend + state_ext=neutral,rolling,4,short,rejected,interesting_but_failed_gate,0,False,1445,False,-0.0026184864526877984,0.0011671592356860706,cross_BTC/USD_state_slope=downtrend,0.0009142306153416607,0.002551885626856043,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,451,True,False
11,SOL/USD,1h,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,rolling,4,short,rejected,interesting_but_failed_gate,0,False,930,False,-0.0023651554287279675,0.0014000012341433402,state_ext=stretched_down,0.0009067125188171265,0.007835696805810421,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,533,True,False
12,XRP/USD,1h,state_utc_session=utc_europe + state_volume=vol_surge,rolling,4,long,rejected,interesting_but_failed_gate,2003,False,855,False,-0.0022837833252764735,0.0011714680746873073,state_volume=vol_surge,0.0008517670645665164,0.0417128853656219,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,701,False,False
13,XRP/USD,1h,cross_BTC/USD_state_slope=downtrend + state_ext=neutral,rolling,4,short,rejected,interesting_but_failed_gate,409,False,1472,False,-0.0023444108270117,0.0012003377730245212,state_ext=neutral,0.0008221295145034312,0.0003233446566537346,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,342,True,False
14,XRP/USD,1h,state_utc_session=utc_asia + state_slope=uptrend,rolling,4,long,rejected,interesting_but_failed_gate,1799,False,664,False,-0.002764507507193343,0.0006907438927704376,state_slope=uptrend,0.0007983413564773326,0.0026254525403897055,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,456,True,False
15,SOL/USD,1h,state_utc_session=utc_europe + state_volume=vol_normal,rolling,4,short,rejected,interesting_but_failed_gate,2163,False,645,False,-0.0024876992478015344,0.0012774574150697733,state_utc_session=utc_europe,0.0007708738370792289,0.006360342756821957,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1412,517,True,False
