symbol,timeframe,slice_combination,side,short_cost_bps,train_n,train_mean_ret_costadj,train_baseline_mean_ret_costadj,train_excess_vs_baseline,train_best_parent_filter,train_best_parent_mean_ret_costadj,train_excess_vs_best_parent,train_t_stat_nw,train_pass,valid_n,valid_mean_ret_costadj,valid_baseline_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_best_parent_mean_ret_costadj,valid_excess_vs_best_parent,valid_t_stat_nw,valid_p_value_nw,valid_pass,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,survived,verdict
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,0.0,21,0.051507940591865885,-0.005300705121701988,0.056808645713567876,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,0.03384966727191476,0.017658273319951123,2.250505083705048,True,16,0.09375698189109694,0.006561754742544181,0.08719522714855275,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral,0.059885585280664136,0.0338713966104328,3.1421642601684967,0.0016770392341687312,True,4,0,0000,0.0,True,survived
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,0.0,50,0.054625319990993744,-0.0023488801752902582,0.056974200166284,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.03567929586324265,0.018946024127751093,2.4022697816755607,True,20,0.0921425437417888,0.014264600751664532,0.07787794299012427,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.06326579527749984,0.028876748464288962,3.2213955593931125,0.0012756794763533197,True,4,1,0010,0.25,True,survived
DOT/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=stretched_up,short,0.0,79,0.03226057128456109,-0.0036638616913043168,0.03592443297586541,cross_ETH/USD_state_vol=mid_vol,0.016963016829350232,0.01529755445521086,2.0873843339367437,True,21,0.0814027343639086,0.01952314007523706,0.06187959428867154,cross_ETH/USD_state_vol=mid_vol,0.044384561460265384,0.03701817290364322,4.116093479700018,3.8534806669598964e-05,True,4,1,0100,0.25,True,survived
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,0.0,51,0.05393973751583958,-0.0023488801752902582,0.05628861769112984,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,0.02644866849237419,0.02749106902346539,2.5628646868315834,True,16,0.07906984905021873,0.014264600751664532,0.06480524829855419,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,0.044534348383390154,0.034535500666828575,2.8481632852817813,0.004397235712950698,True,4,1,0010,0.25,True,survived
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,0.0,76,0.03384966727191476,-0.005300705121701988,0.03915037239361675,cross_ETH/USD_state_ext=neutral,0.021576086914172444,0.012273580357742318,2.299102589651886,True,38,0.0549243129625828,0.006561754742544181,0.04836255822003862,cross_ETH/USD_state_ext=neutral,0.026991748722144538,0.027932564240438263,3.1234138710525103,0.0017876617760637092,True,4,2,0101,0.5,True,survived
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,0.0,48,0.037444177726805285,-0.0036638616913043168,0.0411080394181096,state_slope=flat,0.020041743293845764,0.01740243443295952,2.7938044886346396,True,41,0.05255148962055151,0.01952314007523706,0.03302834954531445,cross_ETH/USD_state_slope=uptrend,0.048440727000770054,0.004110762619781459,3.1414447820963503,0.0016811650635575326,True,4,2,1001,0.5,True,survived
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,short,0.0,28,0.05088058857524709,-0.0036638616913043168,0.05454445026655141,state_vol=low_vol,0.017036849149566234,0.033843739425680856,2.232217500149997,True,18,0.04421910649322315,0.01952314007523706,0.02469596641798609,state_ext=stretched_up,0.03807753463148171,0.0061415718617414405,2.7473164258901788,0.0060085134446272725,True,4,0,0000,0.0,True,survived
CRV/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,short,0.0,31,0.08326454750868778,-0.011922773111861433,0.09518732062054922,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up,0.061968991630709305,0.021295555877978475,5.701138353049366,True,18,0.04352077427519942,0.01689761903715601,0.026623155238043407,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,0.061145987528006415,-0.017625213252806998,3.317653491557558,0.0009077702335649196,True,4,1,0010,0.25,True,survived
SUSHI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,0.0,90,0.0377761824021608,-0.0023488801752902582,0.04012506257745106,cross_ETH/USD_state_ext=neutral,0.020037002746780077,0.017739179655380726,2.485771912336935,True,43,0.043478054358881905,0.014264600751664532,0.029213453607217374,cross_ETH/USD_state_ext=neutral,0.03494173573921675,0.008536318619665154,2.0172851163296115,0.043665767932245636,True,4,1,0010,0.25,True,survived
DOGE/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,short,0.0,73,0.03919999298299267,-0.00922450313144912,0.04842449611444179,state_ext=stretched_down,0.0022262024486542254,0.03697379053433844,2.317649851072408,True,30,0.03819147102811889,0.009376064559541777,0.02881540646857711,state_ext=stretched_down,0.013765068404730815,0.02442640262338807,2.0738416513648743,0.038094019484222974,True,4,1,0010,0.25,True,survived
