symbol,timeframe,slice_combination,window,diagnostic_status,window_start_utc,window_end_utc,window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_n,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_n,best_parent_mean_ret_costadj,excess_vs_best_parent,best_parent_p_value_nw,bin_mode
ABBV,1d,state_ext=neutral + state_ret_1=ret_down,all,ok,2013-01-02 05:00:00+00:00,2026-07-21 04:00:00+00:00,4662,925,0.0062648297154062,0.6335135135135135,4.376543423518326,1.2057617883254323e-05,True,4662,0.0030680939537982,0.003196735761608,state_ret_1=ret_down,2051,0.0059513425333774,0.0003134871820288,1.194184271469112e-07,rolling
ABBV,1d,state_ext=neutral + state_ret_1=ret_down,calendar_2024,ok,2024-01-02 00:00:00+00:00,2024-12-31 05:00:00+00:00,504,154,0.007913271016719,0.6883116883116883,2.887369357603065,0.0038847789581453,True,504,0.0016606191022729,0.006252651914446,state_ret_1=ret_down,275,0.0075760014115697,0.0003372696051492,0.0067893042657583,rolling
ABBV,1d,state_ext=neutral + state_ret_1=ret_down,calendar_2025,ok,2025-01-02 00:00:00+00:00,2025-12-31 05:00:00+00:00,500,131,0.0110824362533939,0.6564885496183206,2.973943661904133,0.0029399904875977,True,500,0.0027190473648161,0.0083633888885777,state_ret_1=ret_down,281,0.0085616910076173,0.0025207452457766,0.0047724762143341,rolling
ABBV,1d,state_ext=neutral + state_ret_1=ret_down,calendar_2026_ytd,ok,2026-01-02 00:00:00+00:00,2026-07-21 04:00:00+00:00,267,58,0.0111981911825976,0.6206896551724138,2.897238431744455,0.003764635207119,True,267,0.0031638411326453,0.0080343500499522,state_ret_1=ret_down,152,0.0090866074421898,0.0021115837404078,0.0185755832980909,rolling
ABBV,1d,state_ext=neutral + state_ret_1=ret_down,latest_12m,ok,2025-07-21 04:00:00+00:00,2026-07-21 04:00:00+00:00,496,129,0.0122641324904754,0.6511627906976745,4.021061822280766,5.793639607531986e-05,True,496,0.0036226739730674,0.008641458517408,state_ret_1=ret_down,276,0.0097017973838372,0.0025623351066381,0.0002080026860171,rolling
ABBV,1d,state_ext=neutral + state_ret_1=ret_down,latest_6m,ok,2026-01-21 05:00:00+00:00,2026-07-21 04:00:00+00:00,242,55,0.0121966279311816,0.6363636363636364,3.0549310526153066,0.0022511226648309,True,242,0.003933382615405,0.0082632453157766,state_ret_1=ret_down,136,0.0099246814717405,0.002271946459441,0.0173456084975505,rolling
ABT,1d,state_ext=neutral + state_ret_1=ret_down,all,ok,2006-08-01 04:00:00+00:00,2026-07-21 04:00:00+00:00,6278,1244,0.0061152156503553,0.6213826366559485,6.195099315143196,5.824829507616869e-10,True,6278,0.001737062491037,0.0043781531593183,state_ret_1=ret_down,2597,0.0047570028774886,0.0013582127728667,7.61995977427432e-09,rolling
ABT,1d,state_ext=neutral + state_ret_1=ret_down,calendar_2024,ok,2024-01-02 00:00:00+00:00,2024-12-31 05:00:00+00:00,504,177,0.0061464762110346,0.5706214689265536,2.717088932139485,0.0065858908804483,True,504,0.0004831491481568,0.0056633270628777,state_ret_1=ret_down,272,0.0064864004832298,-0.0003399242721952,0.000214286884949,rolling
ABT,1d,state_ext=neutral + state_ret_1=ret_down,calendar_2025,ok,2025-01-02 00:00:00+00:00,2025-12-31 05:00:00+00:00,500,164,0.0079863699526763,0.75,3.9561231505464742,7.617590239883398e-05,True,500,0.0012641463634112,0.0067222235892651,state_ret_1=ret_down,278,0.0076761522862509,0.0003102176664254,0.0005182548978028,rolling
ABT,1d,state_ext=neutral + state_ret_1=ret_down,calendar_2026_ytd,ok,2026-01-02 00:00:00+00:00,2026-07-21 04:00:00+00:00,267,57,0.0066072832758844,0.5964912280701754,1.3063192041097342,0.1914440290579961,False,267,-0.0031345673793132,0.0097418506551977,state_ret_1=ret_down,156,0.0016077552127556,0.0049995280631288,0.6883035370102988,rolling
ABT,1d,state_ext=neutral + state_ret_1=ret_down,latest_12m,ok,2025-07-21 04:00:00+00:00,2026-07-21 04:00:00+00:00,496,137,0.0073092900348862,0.7007299270072993,2.856815210987094,0.0042791488298323,True,496,-0.0016263627094886,0.0089356527443749,state_ret_1=ret_down,283,0.0039275676621726,0.0033817223727135,0.1187169127511347,rolling
ABT,1d,state_ext=neutral + state_ret_1=ret_down,latest_6m,ok,2026-01-21 05:00:00+00:00,2026-07-21 04:00:00+00:00,242,49,0.0080427692578373,0.6326530612244898,1.3989986420850336,0.161813390269363,False,242,-0.0009398610283414,0.0089826302861788,state_ret_1=ret_down,143,0.0035605499149819,0.0044822193428554,0.3526697518663291,rolling
ABT,1d,cross_TLT_state_slope=uptrend + state_ext=stretched_down,all,ok,2006-08-01 04:00:00+00:00,2026-07-21 04:00:00+00:00,6278,341,0.0100159309407077,0.6363636363636364,3.865018523045737,0.0001110807693427,True,6278,0.001737062491037,0.0082788684496706,state_ext=stretched_down,1404,0.0041171543834495,0.0058987765572582,0.003845127603623,rolling
ABT,1d,cross_TLT_state_slope=uptrend + state_ext=stretched_down,calendar_2024,ok,2024-01-02 00:00:00+00:00,2024-12-31 05:00:00+00:00,504,9,0.005943227500377,0.6666666666666666,1.5675971466277192,0.1169751784523396,False,504,0.0004831491481568,0.0054600783522202,state_ext=stretched_down,85,0.0071215142659521,-0.001178286765575,0.0110344059299078,rolling
ABT,1d,cross_TLT_state_slope=uptrend + state_ext=stretched_down,calendar_2025,ok,2025-01-02 00:00:00+00:00,2025-12-31 05:00:00+00:00,500,17,0.0032759448064168,0.6470588235294118,1.1351901735160914,0.2562956458267666,False,500,0.0012641463634112,0.0020117984430056,state_ext=stretched_down,86,0.0071205923139681,-0.0038446475075513,0.0290485093274701,rolling
ABT,1d,cross_TLT_state_slope=uptrend + state_ext=stretched_down,calendar_2026_ytd,ok,2026-01-02 00:00:00+00:00,2026-07-21 04:00:00+00:00,267,3,0.0409603965852767,1.0,3.71043027400375,0.0002069072801207,False,267,-0.0031345673793132,0.0440949639645899,cross_TLT_state_slope=uptrend,40,0.0134601311366166,0.02750026544866,0.0066849276683644,rolling
ABT,1d,cross_TLT_state_slope=uptrend + state_ext=stretched_down,latest_12m,ok,2025-07-21 04:00:00+00:00,2026-07-21 04:00:00+00:00,496,15,0.0100314235410045,0.7333333333333333,1.4630190568335255,0.1434621644865303,False,496,-0.0016263627094886,0.0116577862504931,cross_TLT_state_slope=uptrend,91,0.0067405158421663,0.0032909076988381,0.0363933576740902,rolling
ABT,1d,cross_TLT_state_slope=uptrend + state_ext=stretched_down,latest_6m,ok,2026-01-21 05:00:00+00:00,2026-07-21 04:00:00+00:00,242,3,0.0409603965852767,1.0,3.71043027400375,0.0002069072801207,False,242,-0.0009398610283414,0.0419002576136182,cross_TLT_state_slope=uptrend,40,0.0134601311366166,0.02750026544866,0.0066849276683644,rolling
ABT,1d,state_ext=neutral + state_ret_5=ret_down,all,ok,2006-08-01 04:00:00+00:00,2026-07-21 04:00:00+00:00,6278,914,0.00452633935567,0.5776805251641138,4.274268664444469,1.917656919503408e-05,True,6278,0.001737062491037,0.0027892768646329,state_ret_5=ret_down,2076,0.0041473210526141,0.0003790183030558,3.762856841849072e-05,rolling
ABT,1d,state_ext=neutral + state_ret_5=ret_down,calendar_2024,ok,2024-01-02 00:00:00+00:00,2024-12-31 05:00:00+00:00,504,104,0.003941868085844,0.5192307692307693,1.4880196539388717,0.1367457105506631,False,504,0.0004831491481568,0.0034587189376871,state_ret_5=ret_down,171,0.0050201875851756,-0.0010783194993316,0.0122418256326,rolling
ABT,1d,state_ext=neutral + state_ret_5=ret_down,calendar_2025,ok,2025-01-02 00:00:00+00:00,2025-12-31 05:00:00+00:00,500,85,0.0058644836473792,0.6823529411764706,2.8296016235027657,0.004660599613061,True,500,0.0012641463634112,0.004600337283968,state_ret_5=ret_down,158,0.0060127778883158,-0.0001482942409365,0.0083475916861059,rolling
ABT,1d,state_ext=neutral + state_ret_5=ret_down,calendar_2026_ytd,ok,2026-01-02 00:00:00+00:00,2026-07-21 04:00:00+00:00,267,42,0.0068182483794504,0.5952380952380952,1.3417239218526895,0.1796855276358118,False,267,-0.0031345673793132,0.0099528157587637,state_ext=neutral,102,0.0009344040772221,0.0058838443022283,0.8343539065357124,rolling
