rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,FUT/NQ,1h,state_session=morning + state_slope=uptrend,rolling,4,long,rejected,late_emerging_regime_switching,607,False,370,True,0.0014804406441704307,0.001020234331440351,state_slope=uptrend,0.000646057173417756,0.006030960616105752,2,0011,0.5,0,8,8,7,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,5,False,False
2,FUT/CL,1h,state_session=lunch + state_ext=stretched_up,rolling,4,long,rejected,late_emerging_recent_only,41,False,30,True,0.00851834344733509,0.009011244944452865,state_session=lunch,0.005179743077073331,0.01867045210029472,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,15,False,False
3,FUT/NQ,1h,state_session=afternoon + state_ext=stretched_up,rolling,4,long,rejected,late_emerging_valid_supported,14,False,27,True,0.002953264675260797,0.0024930583625307175,state_ext=stretched_up,0.00016833853403156124,0.016771962489408265,1,0010,0.25,0,8,7,6,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,14,False,False
4,FUT/ES,1h,state_session=morning + state_slope=uptrend,rolling,4,long,rejected,late_emerging_valid_supported,586,False,296,True,0.0008611743910315128,0.0006312943212102383,state_session=morning,0.0005021170734451515,0.04272658492096992,0,0000,0.0,0,8,8,4,7.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,18,False,False
5,FUT/ZN,1h,state_session=morning + state_slope=flat,rolling,4,short,rejected,rejected_unsupported,776,False,309,False,1.7672249221361904e-05,0.00018671142928886633,state_slope=flat,0.00010056992779048282,0.9110132717885906,0,0000,0.0,0,8,8,4,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,124,False,False
6,FUT/ZN,1h,state_session=afternoon + state_slope=downtrend,rolling,4,short,rejected,rejected_unsupported,497,False,260,False,-0.00015648229101518664,1.2556889052317788e-05,state_session=afternoon,5.7294491076934675e-05,0.1506651353011803,0,0000,0.0,0,7,7,5,6.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,42,False,False
7,FUT/GC,1h,state_session=morning + state_ext=stretched_up,rolling,4,short,rejected,rejected_unsupported,73,False,24,False,0.002609837636348118,0.0025704905876504634,state_ext=stretched_up,0.001123928490368104,0.05937645548824766,1,0010,0.25,0,8,8,1,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,23,False,False
8,FUT/ZN,1h,state_session=lunch + state_slope=downtrend,rolling,4,short,rejected,rejected_unsupported,121,False,47,False,0.00011710936432384039,0.0002861485443913448,state_session=lunch,0.00016621210734390641,0.5846667087118465,0,0000,0.0,0,8,8,3,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,88,False,False
9,FUT/NQ,1h,state_ext=neutral + state_vol=mid_vol,rolling,4,short,rejected,rejected_unsupported,1095,False,689,False,-0.00020148709312077607,0.0006587192196093033,state_vol=mid_vol,3.0881325823098744e-05,0.599288043759838,0,0000,0.0,0,8,8,3,5.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,90,False,False
10,FUT/GC,1h,state_session=morning + state_slope=flat,rolling,4,long,rejected,rejected_unsupported,537,True,265,False,0.00019833360597840515,0.0006376806546760595,state_session=morning,0.0003485492875077096,0.7799710573016747,1,0100,0.25,0,8,8,0,5.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,107,False,False
11,FUT/GC,1h,state_ext=neutral + state_slope=flat,rolling,4,long,rejected,rejected_unsupported,1009,True,457,False,-0.00012021495068722907,0.0003191320980104253,state_slope=flat,4.81045111371375e-05,0.8574746912493918,1,0100,0.25,0,8,8,0,5.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,115,False,False
12,FUT/NQ,1h,state_session=afternoon + state_ext=stretched_down,rolling,4,long,rejected,rejected_unsupported,31,True,17,False,0.0027535017866534466,0.0022932954739233666,state_ext=stretched_down,0.0019066848792785055,0.08897420716968885,0,0000,0.0,0,8,8,2,5.5,rejected,rejected,rejected,rejected,provisional,rejected,rejected,rejected,131,30,False,False
13,FUT/ZN,1h,state_session=lunch + state_slope=uptrend,rolling,4,short,rejected,rejected_unsupported,111,False,53,False,-3.915500027097445e-05,0.00012988417979652996,state_session=lunch,9.947742749091572e-06,0.8308192203428482,0,0000,0.0,0,6,6,4,5.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,113,False,False
14,FUT/GC,1h,state_ext=neutral + state_slope=downtrend,rolling,4,short,rejected,rejected_unsupported,1144,False,708,False,0.00048238715909499567,0.00044304011039734075,state_slope=downtrend,0.00023920828082530046,0.362433543837565,0,0000,0.0,0,8,8,1,5.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,64,False,False
15,FUT/GC,1h,state_session=afternoon + state_slope=downtrend,rolling,4,short,rejected,rejected_unsupported,536,False,302,False,0.0004311028490199546,0.0003917558003222997,state_session=afternoon,0.00016104827887157406,0.5206518307133603,0,0000,0.0,0,8,8,1,5.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,80,False,False
16,FUT/ZN,1h,state_session=morning + state_slope=downtrend,rolling,4,long,rejected,rejected_unsupported,681,False,298,False,7.283320594296366e-06,0.00023824414052679198,state_slope=downtrend,0.00014852020476317513,0.9607618051148388,0,0000,0.0,0,8,8,1,5.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,130,False,False
