symbol,timeframe,slice_combination,window,diagnostic_status,window_start_utc,window_end_utc,window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_n,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_n,best_parent_mean_ret_costadj,excess_vs_best_parent,best_parent_p_value_nw
FUT/NQ,1h,state_session=morning + state_slope=uptrend,all,ok,2025-07-16 04:00:00+00:00,2026-07-20 18:00:00+00:00,5755.0,974.0,-1.4886415309407105e-05,0.5308008213552361,-0.04344871099834932,0.965343848576032,False,5755.0,1.0899245121537766e-05,-2.578566043094487e-05,state_slope=uptrend,2005.0,6.643683380497262e-05,-8.132324911437973e-05,0.751703301909926
FUT/NQ,1h,state_session=morning + state_slope=uptrend,calendar_2024,empty_window,,,,,,,,,,,,,,,,,
FUT/NQ,1h,state_session=morning + state_slope=uptrend,calendar_2025,ok,2025-07-16 04:00:00+00:00,2025-12-31 21:00:00+00:00,2660.0,426.0,-0.0009025759961851171,0.4694835680751174,-1.8014384503188954,0.07163380033561806,False,2660.0,1.848160211059983e-05,-0.000921057598295717,state_slope=uptrend,857.0,-0.00013789508109815558,-0.0007646809150869615,0.6366554862435774
FUT/NQ,1h,state_session=morning + state_slope=uptrend,calendar_2026_ytd,ok,2026-01-02 05:00:00+00:00,2026-07-20 18:00:00+00:00,3095.0,548.0,0.000675178842816601,0.5784671532846716,1.5170490946511581,0.12925428923235316,False,3095.0,4.382582895074096e-06,0.000670796259921527,state_slope=uptrend,1148.0,0.0002189738120906701,0.0004562050307259309,0.4522634847517848
FUT/NQ,1h,state_session=morning + state_slope=uptrend,latest_12m,ok,2025-07-20 22:00:00+00:00,2026-07-20 18:00:00+00:00,5692.0,974.0,-1.4886415309407105e-05,0.5308008213552361,-0.04344871099834932,0.965343848576032,False,5692.0,3.3806823701024074e-06,-1.8267097679509514e-05,state_slope=uptrend,2005.0,6.643683380497262e-05,-8.132324911437973e-05,0.751703301909926
FUT/NQ,1h,state_session=morning + state_slope=uptrend,latest_6m,ok,2026-01-20 18:00:00+00:00,2026-07-20 18:00:00+00:00,2834.0,525.0,0.0007834437749472262,0.5885714285714285,1.699816978561578,0.08916535686788762,False,2834.0,5.799434562855867e-05,0.0007254494293186675,state_slope=uptrend,1075.0,0.0003576553770448755,0.0004257883979023507,0.24166910098643024
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,all,ok,2025-07-16 04:00:00+00:00,2026-07-20 18:00:00+00:00,5733.0,71.0,0.009299393651401599,0.5633802816901409,1.815599409403817,0.06943184428683269,False,5733.0,0.0001246026318254995,0.0091747910195761,state_session=lunch,505.0,0.00248585056722881,0.0068135430841727886,0.02364048765114335
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,calendar_2024,empty_window,,,,,,,,,,,,,,,,,
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,calendar_2025,ok,2025-07-16 04:00:00+00:00,2025-12-31 21:00:00+00:00,2647.0,6.0,-0.0014434494084532418,0.3333333333333333,-1.5380015218325453,0.1240482426854772,False,2647.0,-0.0004491198551704278,-0.000994329553282814,state_session=lunch,236.0,0.0006147807531134945,-0.0020582301615667364,0.22923742816695825
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,calendar_2026_ytd,ok,2026-01-02 05:00:00+00:00,2026-07-20 18:00:00+00:00,3086.0,65.0,0.010291040703080505,0.5846153846153846,1.8601655748662642,0.06286210390606195,False,3086.0,0.0006167100275086551,0.00967433067557185,state_session=lunch,269.0,0.0041273839357463355,0.006163656767334169,0.037249763015068105
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,latest_12m,ok,2025-07-20 22:00:00+00:00,2026-07-20 18:00:00+00:00,5670.0,71.0,0.009299393651401599,0.5633802816901409,1.815599409403817,0.06943184428683269,False,5670.0,0.0001176031614911878,0.009181790489910411,state_session=lunch,499.0,0.0024876123723254354,0.0068117812790761635,0.025237385786905486
