symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,71,0.008758137687206268,long,0.008758137687206268,0.5492957746478874,0.02077587934562272,-0.013238868155304414,0.27605566584267643
FUT/CL,1h,state_ext=stretched_up + state_slope=downtrend,18,-0.006616784539811121,short,0.006616784539811121,0.2777777777777778,0.010426157304388697,-0.023331946227233297,-0.47134193322360135
FUT/CL,1h,state_session=lunch + state_ext=stretched_down,73,0.004841307722025855,long,0.004841307722025855,0.6164383561643836,0.015738471512350923,-0.014368286750847888,0.20248562087317185
FUT/GC,1h,state_session=lunch + state_ext=stretched_up,16,0.004054033347016796,long,0.004054033347016796,0.625,0.00802893469180474,-0.0038510990018780986,0.5325017977640327
FUT/CL,1h,state_ext=stretched_down + state_vol=mid_vol,84,0.003809229965842661,long,0.003809229965842661,0.5833333333333334,0.011857012532822838,-0.007772490029363401,0.2912323327375703
FUT/ES,1h,state_session=afternoon + state_ext=stretched_down,21,0.0037680943695826657,long,0.0037680943695826657,0.7619047619047619,0.005544321916157322,-0.004213439265540868,0.7840745507667356
FUT/ES,1h,state_ext=stretched_down + state_vol=high_vol,28,0.003666548733335499,long,0.003666548733335499,0.7142857142857143,0.006125019304061127,-0.0053824519170073415,0.6969568970430916
FUT/ES,1h,state_ext=stretched_down + state_slope=downtrend,28,0.0035446793687886257,long,0.0035446793687886257,0.7142857142857143,0.005981616305596777,-0.005078995691369691,0.6907855819632198
FUT/CL,1h,state_session=afternoon + state_ext=stretched_up,288,0.003197472210639516,long,0.003197472210639516,0.5277777777777778,0.017101475878061767,-0.012012077903035323,0.10250432182490198
FUT/CL,1h,state_ext=stretched_up + state_vol=mid_vol,91,0.0030838883960753877,long,0.0030838883960753877,0.6153846153846154,0.01209792585212709,-0.008471597505007054,0.24648159434202563
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_down,48,0.0030809437401319883,long,0.0030809437401319883,0.7291666666666666,0.00624346575536783,-0.00467189281236709,0.5031255404663388
FUT/CL,1h,state_ext=stretched_up + state_slope=uptrend,619,0.003030824481386795,long,0.003030824481386795,0.531502423263328,0.017709933345653437,-0.015752367155785502,0.10469282396597424
FUT/CL,1h,state_session=lunch + state_slope=uptrend,198,0.003027736115869289,long,0.003027736115869289,0.5404040404040404,0.013188059409793248,-0.01075682531660433,0.11322047349388079
FUT/CL,1h,state_ext=stretched_up + state_vol=high_vol,577,0.002553254055853338,long,0.002553254055853338,0.5147313691507799,0.018294049279675487,-0.017041308100631276,0.08510750438390417
FUT/GC,1h,state_session=afternoon + state_ext=stretched_down,93,-0.0022872247796082773,short,0.0022872247796082773,0.5913978494623656,0.011213608572925353,-0.016717222872993244,-0.13318266010594396
