symbol,timeframe,slice_combination,side,overall_regime_status,bull_status,bear_status,neutral_status,best_regime
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,long,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,bull
FUT/GC,1h,state_session=morning + state_ext=stretched_down,short,regime_switching_research_only,unsupported,unsupported,regime_switching_research_only,neutral
FUT/CL,1h,state_session=lunch + state_ext=stretched_down,long,regime_switching_research_only,unsupported,regime_switching_research_only,regime_switching_research_only,neutral
FUT/CL,1h,state_ext=stretched_up + state_vol=mid_vol,long,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,bull
FUT/CL,1h,state_session=lunch + state_slope=flat,long,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,neutral
FUT/CL,1h,state_ext=stretched_down + state_vol=mid_vol,long,regime_switching_research_only,unsupported,regime_switching_research_only,regime_switching_research_only,neutral
FUT/CL,1h,state_session=afternoon + state_ext=stretched_up,long,regime_switching_research_only,regime_switching_research_only,unsupported,unsupported,bull
FUT/CL,1h,state_session=lunch + state_slope=downtrend,long,regime_switching_research_only,unsupported,regime_switching_research_only,regime_switching_research_only,neutral
FUT/CL,1h,state_session=lunch + state_slope=uptrend,long,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,bull
FUT/CL,1h,state_ext=stretched_up + state_slope=uptrend,long,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,bull
FUT/CL,1h,state_ext=stretched_up + state_vol=high_vol,long,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,bull
FUT/NQ,1h,state_session=morning + state_ext=stretched_down,long,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/GC,1h,state_ext=neutral + state_slope=uptrend,long,regime_switching_research_only,regime_switching_research_only,regime_switching_research_only,unsupported,bear
FUT/ES,1h,state_ext=stretched_down + state_vol=high_vol,long,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/NQ,1h,state_ext=stretched_down + state_vol=high_vol,long,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/ES,1h,state_ext=stretched_down + state_slope=downtrend,long,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/CL,1h,state_ext=stretched_down + state_slope=downtrend,long,regime_switching_research_only,unsupported,regime_switching_research_only,regime_switching_research_only,neutral
FUT/GC,1h,state_session=afternoon + state_ext=stretched_down,short,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/NQ,1h,state_ext=stretched_down + state_slope=downtrend,long,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/CL,1h,state_session=lunch + state_ext=neutral,long,regime_switching_research_only,unsupported,unsupported,regime_switching_research_only,neutral
FUT/GC,1h,state_session=afternoon + state_ext=stretched_up,long,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,bull
FUT/CL,1h,state_ext=stretched_down + state_vol=high_vol,long,regime_switching_research_only,unsupported,regime_switching_research_only,regime_switching_research_only,bear
FUT/CL,1h,state_session=afternoon + state_ext=stretched_down,long,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_down,long,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/ES,1h,state_session=afternoon + state_ext=stretched_down,long,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/ES,1h,state_session=lunch + state_slope=uptrend,long,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/NQ,1h,state_ext=stretched_up + state_slope=uptrend,long,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,neutral
FUT/CL,1h,state_session=morning + state_ext=stretched_down,long,regime_switching_research_only,unsupported,regime_switching_research_only,regime_switching_research_only,neutral
FUT/NQ,1h,state_ext=stretched_up + state_vol=high_vol,long,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,neutral
FUT/CL,1h,state_session=morning + state_slope=downtrend,short,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,bull
FUT/CL,1h,state_ext=stretched_up + state_slope=flat,short,regime_switching_research_only,regime_switching_research_only,unsupported,unsupported,bull
FUT/GC,1h,state_session=afternoon + state_slope=uptrend,long,regime_switching_research_only,regime_switching_research_only,regime_switching_research_only,regime_switching_research_only,bear
FUT/GC,1h,state_ext=stretched_up + state_vol=high_vol,long,regime_switching_research_only,regime_switching_research_only,unsupported,unsupported,bull
FUT/GC,1h,state_session=morning + state_slope=downtrend,short,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,neutral
FUT/GC,1h,state_session=lunch + state_ext=stretched_down,long,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/GC,1h,state_session=morning + state_ext=stretched_up,short,regime_switching_research_only,unsupported,unsupported,regime_switching_research_only,neutral
FUT/GC,1h,state_session=lunch + state_slope=flat,long,regime_switching_research_only,unsupported,regime_switching_research_only,regime_switching_research_only,bear
FUT/GC,1h,state_ext=stretched_up + state_slope=uptrend,long,regime_switching_research_only,regime_switching_research_only,unsupported,unsupported,bull
FUT/NQ,1h,state_session=morning + state_slope=uptrend,long,regime_switching_research_only,unsupported,regime_switching_research_only,unsupported,bear
FUT/GC,1h,state_session=lunch + state_slope=downtrend,long,regime_switching_research_only,regime_switching_research_only,unsupported,regime_switching_research_only,neutral
FUT/CL,1h,state_session=morning + state_slope=uptrend,long,regime_switching_research_only,unsupported,unsupported,regime_switching_research_only,neutral
FUT/CL,1h,state_session=afternoon + state_slope=uptrend,long,regime_switching_research_only,regime_switching_research_only,unsupported,unsupported,bull
FUT/GC,1h,state_session=lunch + state_slope=uptrend,long,regime_switching_research_only,regime_switching_research_only,unsupported,unsupported,bull
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_up,long,regime_switching_research_only,unsupported,unsupported,regime_switching_research_only,neutral
FUT/CL,1h,state_session=morning + state_slope=flat,short,regime_switching_research_only,regime_switching_research_only,regime_switching_research_only,regime_switching_research_only,bear
