symbol,timeframe,slice_combination,side,short_cost_bps,train_n,train_mean_ret_costadj,train_baseline_mean_ret_costadj,train_excess_vs_baseline,train_best_parent_filter,train_best_parent_mean_ret_costadj,train_excess_vs_best_parent,train_t_stat_nw,train_pass,valid_n,valid_mean_ret_costadj,valid_baseline_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_best_parent_mean_ret_costadj,valid_excess_vs_best_parent,valid_t_stat_nw,valid_p_value_nw,valid_pass,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,survived,verdict
FUT/ES,1h,state_ext=stretched_down + state_vol=high_vol,long,0.0,20,0.002833340793910822,-0.00014290154565703984,0.0029762423395678617,state_ext=stretched_down,0.002833340793910822,0.0,1.9731484883175017,True,8,0.005049568581897193,0.0002298800698212744,0.004819688512075918,state_ext=stretched_down,0.005268560955146078,-0.00021899237324888524,2.73675870515986,0.006204778606452299,False,4,0,0000,0.0,False,provisional
FUT/ES,1h,state_ext=stretched_down + state_slope=downtrend,long,0.0,20,0.002833340793910822,-0.00014290154565703984,0.0029762423395678617,state_ext=stretched_down,0.002833340793910822,0.0,1.9731484883175017,True,8,0.0046230258059831355,0.0002298800698212744,0.004393145736161861,state_ext=stretched_down,0.005268560955146078,-0.0006455351491629424,3.329985757255104,0.0008685042650042885,False,4,0,0000,0.0,False,provisional
FUT/ES,1h,state_session=afternoon + state_ext=stretched_down,long,0.0,14,0.0035072025248340144,-0.00014290154565703984,0.0036501040704910543,state_ext=stretched_down,0.002833340793910822,0.0006738617309231926,2.042870201544797,False,7,0.0036898780590799694,0.0002298800698212744,0.003459997989258695,state_ext=stretched_down,0.005268560955146078,-0.0015786828960661086,3.409266241647375,0.0006513787490636247,False,4,0,0000,0.0,False,provisional
FUT/CL,1h,state_session=lunch + state_slope=flat,long,0.0,73,-0.0003942021588976508,0.0003589147061134876,-0.0007531168650111384,state_session=lunch,0.0017151504492907998,-0.0021093526081884507,-0.43522655663581505,False,22,0.010300391837444377,-0.0004929014971177753,0.010793293334562151,state_session=lunch,0.003338600370261759,0.006961791467182617,1.5960187226226428,0.11048461331034498,False,4,0,0000,0.0,False,rejected
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,long,0.0,41,0.008587255423697374,0.0003589147061134876,0.008228340717583887,state_ext=stretched_up,0.004065957208108854,0.00452129821558852,1.0097080301079848,False,30,0.00851834344733509,-0.0004929014971177753,0.009011244944452865,state_session=lunch,0.003338600370261759,0.005179743077073331,2.352046274316081,0.01867045210029472,True,4,1,0001,0.25,False,rejected
FUT/CL,1h,state_ext=stretched_down + state_slope=flat,short,0.0,15,-0.0061899951957908594,-0.0007589147061134872,-0.005431080489677372,state_slope=flat,5.2087385422082777e-05,-0.006242082581212942,-1.0174121693371438,False,14,0.00770302917824845,9.29014971177753e-05,0.007610127681130675,state_slope=flat,0.0007478225606344679,0.006955206617613982,0.766012590167325,0.44366881088791055,False,4,0,0000,0.0,False,rejected
FUT/CL,1h,state_session=lunch + state_ext=stretched_down,long,0.0,29,0.000657406384620721,0.0003589147061134876,0.00029849167850723343,state_ext=stretched_down,0.001839682322018563,-0.0011822759373978419,0.16034787854662202,False,44,0.007267060876224696,-0.0004929014971177753,0.007759962373342471,state_session=lunch,0.003338600370261759,0.003928460505962936,1.9098998137874146,0.056146114062527896,False,4,0,0000,0.0,False,rejected
FUT/CL,1h,state_ext=stretched_down + state_vol=mid_vol,long,0.0,44,0.003196977638184617,0.0003589147061134876,0.002838062932071129,state_ext=stretched_down,0.001839682322018563,0.001357295316166054,1.5018288996467513,False,40,0.004062707526266511,-0.0004929014971177753,0.004555609023384286,state_ext=stretched_down,0.0010393569681619787,0.0030233505581045324,1.3898968222349108,0.16456021072741978,False,4,0,0000,0.0,False,rejected
FUT/CL,1h,state_session=lunch + state_slope=downtrend,long,0.0,110,0.00010955987531644529,0.0003589147061134876,-0.0002493548307970423,state_session=lunch,0.0017151504492907998,-0.0016055905739743544,0.0888816229382483,False,75,0.00380062145437825,-0.0004929014971177753,0.004293522951496025,state_session=lunch,0.003338600370261759,0.0004620210841164911,1.1467451561300324,0.25148696178183605,False,4,0,0000,0.0,False,rejected
FUT/CL,1h,state_ext=stretched_up + state_vol=mid_vol,long,0.0,39,0.0017487281459833103,0.0003589147061134876,0.0013898134398698226,state_ext=stretched_up,0.004065957208108854,-0.002317229062125544,0.8149854871481023,False,52,0.0037352585836444457,-0.0004929014971177753,0.0042281600807622215,state_ext=stretched_up,0.0007476838622526933,0.0029875747213917525,1.3587114888403857,0.17423803007066385,False,4,0,0000,0.0,False,rejected
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_up,long,0.0,14,-0.0002918801672605354,-0.0001375186224094887,-0.0001543615448510467,state_ext=stretched_up,-5.03882101300051e-05,-0.0002414919571305303,-0.6326420306580313,False,27,0.002953264675260797,0.0004602063127300798,0.0024930583625307175,state_ext=stretched_up,0.002784926141229236,0.00016833853403156124,2.391668955366208,0.016771962489408265,True,4,1,0010,0.25,False,rejected
FUT/NQ,1h,state_ext=stretched_up + state_slope=uptrend,long,0.0,28,0.0001584997201888097,-0.0001375186224094887,0.00029601834259829836,state_ext=stretched_up,-5.03882101300051e-05,0.0002088879303188148,0.2172910658695527,False,49,0.002784926141229236,0.0004602063127300798,0.002324719828499156,state_ext=stretched_up,0.002784926141229236,0.0,2.5767632217261824,0.009973024030112354,True,4,1,0001,0.25,False,rejected
