symbol,timeframe,slice_combination,side,bin_mode,candidate_key,status,strict_gate_pass,tradeable_gate_pass,live_decay_flag,pnl_decay_flag,valid_n,valid_mean_ret_costadj,valid_p_value_nw,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,scenario_survived_count,search_wide_bh_pass,search_wide_bonferroni_pass,valid_excess_vs_baseline,valid_excess_vs_best_parent,triage_bucket,optimal_horizon,leverage_gate_pass,leverage_gate_reason,auto_promotion_block_reason,leverage_1x_multiple,leverage_1x_expected_return,leverage_1x_expected_pnl_at_position_cap,leverage_1x_theoretical_return_on_equity,leverage_1x_overnight_compatible,leverage_1x_requires_same_day_flatten,leverage_1x_margin_cushion_fraction,leverage_1x_risk_status,leverage_2x_multiple,leverage_2x_expected_return,leverage_2x_expected_pnl_at_position_cap,leverage_2x_theoretical_return_on_equity,leverage_2x_overnight_compatible,leverage_2x_requires_same_day_flatten,leverage_2x_margin_cushion_fraction,leverage_2x_risk_status,leverage_4x_multiple,leverage_4x_expected_return,leverage_4x_expected_pnl_at_position_cap,leverage_4x_theoretical_return_on_equity,leverage_4x_overnight_compatible,leverage_4x_requires_same_day_flatten,leverage_4x_margin_cushion_fraction,leverage_4x_risk_status,leverage_overnight_max_multiple,leverage_auto_promotion_gate
SOXX,1d,cross_TLT_state_slope=flat + state_slope=uptrend,long,rolling,SOXX|1d|cross_TLT_state_slope=flat + state_slope=uptrend|rolling,paper_proposal,False,True,False,False,252,0.0145109156445083,0.0005387023949035,4,2,1001,4,True,False,0.0076290733466193,0.0035034320999764,clean_survivor_wf_mixed,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0145109156445083,36.27728911127075,0.0145109156445083,True,False,0.975,unknown_missing_atr_risk,2.0,0.0145109156445083,36.27728911127075,0.0290218312890166,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0145109156445083,36.27728911127075,0.0580436625780332,False,True,0.99375,fail_overnight_constraint,2.0,False
TMO,1d,state_slope=flat + state_vol=low_vol,long,rolling,TMO|1d|state_slope=flat + state_vol=low_vol|rolling,paper_proposal,True,True,False,False,96,0.0124912411399678,0.0020432013721107,4,4,1111,8,True,False,0.0109927212754825,0.0049623916393389,clean_survivor_wf_strong,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,disabled_without_enable_auto_promotion_flag,1.0,0.0124912411399678,31.228102849919498,0.0124912411399678,True,False,0.975,unknown_missing_atr_risk,2.0,0.0124912411399678,31.228102849919498,0.0249824822799356,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0124912411399678,31.228102849919498,0.0499649645598712,False,True,0.99375,fail_overnight_constraint,2.0,False
TMO,1d,cross_TLT_state_slope=flat + state_slope=flat,long,rolling,TMO|1d|cross_TLT_state_slope=flat + state_slope=flat|rolling,paper_proposal,True,True,False,False,153,0.0116112800689729,0.00119282332526,4,4,1111,8,True,False,0.0101127602044876,0.004082430568344,clean_survivor_wf_strong,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,disabled_without_enable_auto_promotion_flag,1.0,0.0116112800689729,29.02820017243225,0.0116112800689729,True,False,0.975,unknown_missing_atr_risk,2.0,0.0116112800689729,29.02820017243225,0.0232225601379458,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0116112800689729,29.02820017243225,0.0464451202758916,False,True,0.99375,fail_overnight_constraint,2.0,False
V,1d,cross_USO_state_ext=stretched_down + state_ext=stretched_down,long,rolling,V|1d|cross_USO_state_ext=stretched_down + state_ext=stretched_down|rolling,paper_proposal,True,True,False,False,111,0.0164012087423803,0.0005078328910599,4,3,1101,8,True,False,0.0139786399110727,0.0067704522027167,clean_survivor_wf_strong,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,disabled_without_enable_auto_promotion_flag,1.0,0.0164012087423803,41.00302185595075,0.0164012087423803,True,False,0.975,unknown_missing_atr_risk,2.0,0.0164012087423803,41.00302185595075,0.0328024174847606,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0164012087423803,41.00302185595075,0.0656048349695212,False,True,0.99375,fail_overnight_constraint,2.0,False
V,1d,cross_USO_state_slope=downtrend + state_ext=stretched_down,long,rolling,V|1d|cross_USO_state_slope=downtrend + state_ext=stretched_down|rolling,paper_proposal,True,True,False,False,86,0.0178163798900566,0.0004710243527812,4,3,1101,7,True,False,0.0153938110587489,0.009016337800705,clean_survivor_wf_strong,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,disabled_without_enable_auto_promotion_flag,1.0,0.0178163798900566,44.5409497251415,0.0178163798900566,True,False,0.975,unknown_missing_atr_risk,2.0,0.0178163798900566,44.5409497251415,0.0356327597801132,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0178163798900566,44.5409497251415,0.0712655195602264,False,True,0.99375,fail_overnight_constraint,2.0,False
V,1d,cross_USO_state_vol=high_vol + state_ext=stretched_down,long,rolling,V|1d|cross_USO_state_vol=high_vol + state_ext=stretched_down|rolling,paper_proposal,False,True,False,False,73,0.0248828294713583,4.2059668676763806e-05,4,2,1100,6,True,False,0.0224602606400507,0.0153786231813318,clean_survivor_wf_mixed,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0248828294713583,62.207073678395744,0.0248828294713583,True,False,0.975,unknown_missing_atr_risk,2.0,0.0248828294713583,62.207073678395744,0.0497656589427166,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0248828294713583,62.207073678395744,0.0995313178854332,False,True,0.99375,fail_overnight_constraint,2.0,False
V,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_down,long,rolling,V|1d|cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_down|rolling,paper_proposal,False,True,False,False,19,0.0306244331615567,0.001359730945655,4,2,1100,5,True,False,0.0282018643302491,0.0128080532715001,clean_survivor_wf_mixed,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0306244331615567,76.56108290389176,0.0306244331615567,True,False,0.975,unknown_missing_atr_risk,2.0,0.0306244331615567,76.56108290389176,0.0612488663231134,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0306244331615567,76.56108290389176,0.1224977326462268,False,True,0.99375,fail_overnight_constraint,2.0,False
VOO,1d,cross_TLT_state_slope=flat + state_slope=uptrend,long,rolling,VOO|1d|cross_TLT_state_slope=flat + state_slope=uptrend|rolling,paper_proposal,False,True,False,False,161,0.0067793263852669,0.0001180695819384,4,2,0011,8,True,False,0.0042006238108442,0.0022706660647586,clean_survivor_wf_mixed,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0067793263852669,16.94831596316725,0.0067793263852669,True,False,0.975,unknown_missing_atr_risk,2.0,0.0067793263852669,16.94831596316725,0.0135586527705338,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0067793263852669,16.94831596316725,0.0271173055410676,False,True,0.99375,fail_overnight_constraint,2.0,False
VOO,1d,state_volume=vol_normal + state_ext=neutral + state_slope=uptrend,long,rolling,VOO|1d|state_volume=vol_normal + state_ext=neutral + state_slope=uptrend|rolling,paper_proposal,False,True,False,False,97,0.0080834334492859,0.0013475609143296,4,1,0001,7,True,False,0.0055047308748631,0.0006033632314193,clean_survivor_wf_mixed,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0080834334492859,20.20858362321475,0.0080834334492859,True,False,0.975,unknown_missing_atr_risk,2.0,0.0080834334492859,20.20858362321475,0.0161668668985718,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0080834334492859,20.20858362321475,0.0323337337971436,False,True,0.99375,fail_overnight_constraint,2.0,False
VOO,1d,state_slope=uptrend + state_vol=mid_vol,long,rolling,VOO|1d|state_slope=uptrend + state_vol=mid_vol|rolling,paper_proposal,False,True,False,False,155,0.0083872787578356,1.3354300554269116e-08,4,2,0011,5,True,True,0.0058085761834129,0.0047959645003983,clean_survivor_wf_mixed,5,False,risk data unavailable: lifecycle has no per-candidate ATR/R input; auto-promotion remains disabled until that evidence source exists,strict_research_gate_failed,1.0,0.0083872787578356,20.968196894589,0.0083872787578356,True,False,0.975,unknown_missing_atr_risk,2.0,0.0083872787578356,20.968196894589,0.0167745575156712,True,False,0.9875,unknown_missing_atr_risk,4.0,0.0083872787578356,20.968196894589,0.0335491150313424,False,True,0.99375,fail_overnight_constraint,2.0,False
