symbol,timeframe,coverage_status,first_bar,last_bar,total_bars,bull_bars,bear_bars,neutral_bars,warmup_bars,current_regime
AA,1d,ok,2021-07-13 04:00:00+00:00,2026-07-17 04:00:00+00:00,1260,256,329,476,199,neutral
AA,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,666,325,652,199,bear
AAPL,1d,ok,2021-07-12 00:00:00+00:00,2026-07-17 04:00:00+00:00,1262,430,177,456,199,bull
AAPL,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,770,260,613,199,neutral
AAVE/USD,1d,ok,2021-07-15 00:00:00+00:00,2026-07-19 00:00:00+00:00,1831,348,617,667,199,neutral
AAVE/USD,1h,ok,2025-07-11 10:00:00+00:00,2026-07-19 23:00:00+00:00,8957,1828,3133,3797,199,neutral
ABBV,1d,ok,2021-07-12 00:00:00+00:00,2026-07-17 04:00:00+00:00,1262,448,57,558,199,bull
ABBV,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,611,297,735,199,bull
ABNB,1d,ok,2021-07-12 00:00:00+00:00,2026-07-17 04:00:00+00:00,1262,290,262,511,199,bull
ABNB,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,478,467,698,199,neutral
ABT,1d,ok,2021-07-12 00:00:00+00:00,2026-07-17 04:00:00+00:00,1262,288,315,460,199,neutral
ABT,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,341,597,705,199,bull
ACWI,1d,ok,2021-07-12 00:00:00+00:00,2026-07-17 04:00:00+00:00,1262,653,113,297,199,neutral
ACWI,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,867,141,635,199,bear
ADA/USD,1d,ok,2026-02-13 00:00:00+00:00,2026-07-19 00:00:00+00:00,157,0,0,0,157,warmup
ADA/USD,1h,ok,2026-02-13 12:00:00+00:00,2026-07-19 23:00:00+00:00,3755,673,1377,1506,199,bull
ADBE,1d,ok,2021-07-12 00:00:00+00:00,2026-07-17 04:00:00+00:00,1262,198,502,363,199,neutral
ADBE,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,302,564,777,199,bull
ADI,1d,ok,2021-07-12 00:00:00+00:00,2026-07-17 04:00:00+00:00,1262,462,155,446,199,neutral
ADI,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,722,349,572,199,bear
AEP,1d,ok,2021-07-12 00:00:00+00:00,2026-07-17 04:00:00+00:00,1262,487,179,397,199,bull
AEP,1h,ok,2025-07-11 13:00:00+00:00,2026-07-20 19:00:00+00:00,1842,635,280,728,199,bear
