bar_ts_utc,close_adj,fwd_ret_5,state_ext,state_slope,state_vol,state_session,candidate_name,candidate_side,dir_fwd_ret_5,slice_combination
2021-08-02 04:00:00+00:00,81.13,-0.005115247134228951,stretched_down,downtrend,,morning,XOP_1d_downtrend_rebound,long,-0.005115247134228951,state_ext=stretched_down + state_slope=downtrend
2021-08-03 04:00:00+00:00,82.795,0.00259677516758261,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.00259677516758261,state_ext=stretched_down + state_slope=downtrend
2021-08-04 04:00:00+00:00,79.075,0.053177363262725263,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.053177363262725263,state_ext=stretched_down + state_slope=downtrend
2021-08-05 04:00:00+00:00,81.26,0.021966527196652708,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.021966527196652708,state_ext=stretched_down + state_slope=downtrend
2021-08-06 04:00:00+00:00,82.115,-0.023320952322961608,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.023320952322961608,state_ext=stretched_down + state_slope=downtrend
2021-08-09 04:00:00+00:00,80.715,-0.035433314749427014,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.035433314749427014,state_ext=stretched_down + state_slope=downtrend
2021-08-16 04:00:00+00:00,77.855,-0.012844390212574663,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.012844390212574663,state_ext=stretched_down + state_slope=downtrend
2021-08-17 04:00:00+00:00,77.315,0.024122097911142948,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.024122097911142948,state_ext=stretched_down + state_slope=downtrend
2021-08-18 04:00:00+00:00,75.14,0.07239819004524883,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.07239819004524883,state_ext=stretched_down + state_slope=downtrend
2021-08-19 04:00:00+00:00,72.82,0.08816259269431481,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.08816259269431481,state_ext=stretched_down + state_slope=downtrend
2021-08-20 04:00:00+00:00,73.125,0.14037606837606842,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.14037606837606842,state_ext=stretched_down + state_slope=downtrend
2021-08-23 04:00:00+00:00,76.855,0.06668401535358792,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.06668401535358792,state_ext=stretched_down + state_slope=downtrend
2021-11-19 05:00:00+00:00,98.8,0.013765182186234792,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.013765182186234792,state_ext=stretched_down + state_slope=downtrend
2021-11-22 05:00:00+00:00,100.35,-0.02939711011459878,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.02939711011459878,state_ext=stretched_down + state_slope=downtrend
2021-11-23 05:00:00+00:00,104.34,-0.10341192256085874,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.10341192256085874,state_ext=stretched_down + state_slope=downtrend
2021-11-26 05:00:00+00:00,98.6,-0.0352941176470587,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.0352941176470587,state_ext=stretched_down + state_slope=downtrend
2021-11-29 05:00:00+00:00,100.16,-0.020666932907348223,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.020666932907348223,state_ext=stretched_down + state_slope=downtrend
2021-11-30 05:00:00+00:00,97.4,0.04758726899383969,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.04758726899383969,state_ext=stretched_down + state_slope=downtrend
2021-12-01 05:00:00+00:00,93.55,0.09150187065740245,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.09150187065740245,state_ext=stretched_down + state_slope=downtrend
2021-12-02 05:00:00+00:00,96.53,0.039573189681963994,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.039573189681963994,state_ext=stretched_down + state_slope=downtrend
2021-12-03 05:00:00+00:00,95.12,0.06759882253994953,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.06759882253994953,state_ext=stretched_down + state_slope=downtrend
2021-12-06 05:00:00+00:00,98.09,-0.011418085431746383,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.011418085431746383,state_ext=stretched_down + state_slope=downtrend
2021-12-13 05:00:00+00:00,96.97,-0.061977931318964674,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.061977931318964674,state_ext=stretched_down + state_slope=downtrend
2021-12-14 05:00:00+00:00,95.28,-0.0002099076406381073,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.0002099076406381073,state_ext=stretched_down + state_slope=downtrend
2021-12-15 05:00:00+00:00,95.69,0.00041801651165229714,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.00041801651165229714,state_ext=stretched_down + state_slope=downtrend
2021-12-16 05:00:00+00:00,94.735,0.007864041800812904,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.007864041800812904,state_ext=stretched_down + state_slope=downtrend
