symbol,timeframe,slice_combination,side,short_cost_bps,train_n,train_mean_ret_costadj,train_baseline_mean_ret_costadj,train_excess_vs_baseline,train_best_parent_filter,train_best_parent_mean_ret_costadj,train_excess_vs_best_parent,train_t_stat_nw,train_pass,valid_n,valid_mean_ret_costadj,valid_baseline_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_best_parent_mean_ret_costadj,valid_excess_vs_best_parent,valid_t_stat_nw,valid_p_value_nw,valid_pass,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,survived,verdict
MU,15m,state_session=afternoon + state_ext=neutral + state_slope=downtrend,long,0.0,440,0.0054252460735521755,0.0014154466977836788,0.004009799375768497,state_session=afternoon + state_slope=downtrend,0.005107181371654369,0.0003180647018978062,2.3509276576545517,True,147,0.01064106418696045,0.0020504588446291923,0.008590605342331257,state_session=afternoon + state_slope=downtrend,0.00996631063252411,0.000674753554436339,2.113385764644103,0.03456776337687728,True,4,1,1000,0.25,True,survived
MU,15m,state_session=afternoon + state_slope=downtrend,long,0.0,523,0.005107181371654369,0.0014154466977836788,0.0036917346738706905,state_session=afternoon,0.0038935999977243994,0.00121358137392997,2.393163043676829,True,243,0.00996631063252411,0.0020504588446291923,0.007915851787894918,state_session=afternoon,0.004858199346012368,0.0051081112865117425,2.37382433960106,0.017604923651416415,True,4,2,1001,0.5,True,survived
SMCI,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,long,0.0,318,0.003578642384868838,-0.0004488827660674964,0.004027525150936334,state_session=afternoon + state_slope=uptrend,0.0011344028864203703,0.002444239498448468,2.06976404521044,True,176,0.007753295529098825,-0.00022268010455685555,0.00797597563365568,state_ext=neutral + state_slope=uptrend,0.004449787165031019,0.0033035083640678056,2.158389232331648,0.03089758219436356,True,4,1,0010,0.25,True,survived
LCID,15m,state_session=afternoon + state_slope=downtrend,short,0.0,498,0.0035656523983845605,-0.009085912847429666,0.012651565245814227,state_slope=downtrend,0.0017102841125204585,0.001855368285864102,2.0776490604747013,True,211,0.00501913897031202,0.0009059473598395429,0.004113191610472478,state_session=afternoon,0.0024875256872869964,0.002531613283025024,2.271473999911817,0.023118299180004742,True,4,0,0000,0.0,True,survived
BCH/USD,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,short,0.0,377,0.002117615279413741,-0.0002319959615885294,0.0023496112410022704,state_session=afternoon + state_ext=stretched_up,0.0018173667854026413,0.00030024849401109974,3.1494262555412296,True,109,0.004343866789835343,0.00012241666207160612,0.004221450127763737,state_session=afternoon + state_ext=stretched_up,0.004084436826932179,0.0002594299629031637,2.7228245092786074,0.00647264302869921,True,4,1,1000,0.25,True,survived
BCH/USD,15m,state_session=afternoon + state_ext=stretched_up,short,0.0,404,0.0018173667854026413,-0.0002319959615885294,0.0020493627469911706,state_ext=stretched_up,7.403709815927018e-05,0.0017433296872433712,2.764810795241954,True,118,0.004084436826932179,0.00012241666207160612,0.003962020164860573,state_ext=stretched_up,0.002575987544626123,0.0015084492823060564,2.5951808166507653,0.00945411680155317,True,4,1,0001,0.25,True,survived
LRCX,15m,state_session=lunch + state_ext=neutral + state_slope=uptrend,long,0.0,374,0.0008128945773765048,0.0007902327866542681,2.2661790722236703e-05,state_ext=neutral + state_slope=uptrend,0.0014630800730692317,-0.000650185495692727,2.2654802063224055,True,131,0.0033785133760895008,0.0011343808820928026,0.002244132493996698,state_session=lunch + state_slope=uptrend,0.0015348869268293791,0.0018436264492601216,3.054474013883891,0.00225455545391684,True,4,0,0000,0.0,True,survived
TSLA,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,long,0.0,423,0.0026122693178994173,0.00021337979579561357,0.0023988895221038037,state_session=afternoon + state_slope=uptrend,0.0021538032657255593,0.00045846605217385794,1.9889892836129874,True,165,0.003136743686700333,-0.00016369114994150506,0.003300434836641838,state_session=afternoon + state_slope=uptrend,0.0027298396509669166,0.00040690403573341626,2.0605604837170413,0.039344989975508504,True,4,0,0000,0.0,True,survived
XBI,15m,state_session=afternoon + state_ext=neutral,long,0.0,1713,0.0008234133776814886,0.00025688467222901093,0.0005665287054524776,state_session=afternoon,0.000857561550348762,-3.4148172667273395e-05,2.0623307742806305,True,741,0.001977518212588385,0.00046662975334715195,0.001510888459241233,state_session=afternoon,0.0019693598519856656,8.158360602719423e-06,2.350786819127603,0.018733763384258806,True,4,1,1000,0.25,True,survived
SOL/USD,15m,state_session=lunch + state_ext=neutral + state_slope=uptrend,long,0.0,573,0.0016193584439992538,-0.00025004636985113363,0.0018694048138503875,state_session=lunch + state_slope=uptrend,0.0017755823745436296,-0.00015622393054437575,2.7847812226375717,True,274,0.0015993900620546698,-0.0002438784854681898,0.0018432685475228596,state_session=lunch + state_slope=uptrend,0.0009703334039060411,0.0006290566581486287,1.9682715968744755,0.049036796180841336,True,4,0,0000,0.0,True,survived
