symbol,timeframe,slice_combination,side,short_cost_bps,train_n,train_mean_ret_costadj,train_baseline_mean_ret_costadj,train_excess_vs_baseline,train_best_parent_filter,train_best_parent_mean_ret_costadj,train_excess_vs_best_parent,train_t_stat_nw,train_pass,valid_n,valid_mean_ret_costadj,valid_baseline_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_best_parent_mean_ret_costadj,valid_excess_vs_best_parent,valid_t_stat_nw,valid_p_value_nw,valid_pass,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,survived,verdict
AMD,1d,state_ext=stretched_up + state_slope=flat,long,0.0,120,0.024473646170477224,0.00409280601024234,0.020380840160234885,state_slope=flat,0.011968225276014962,0.012505420894462263,2.1543979410482104,True,45,0.0658271244599888,0.023486370913612498,0.0423407535463763,state_ext=stretched_up,0.042831035751643674,0.022996088708345123,2.462302726804145,0.013804809233688875,True,4,2,1001,0.5,True,survived
KLAC,1d,state_ext=stretched_down + state_slope=downtrend,long,0.0,225,0.014789309142807227,0.0057511195283368784,0.009038189614470348,state_ext=stretched_down,0.013581655824667707,0.0012076533181395194,2.603130945078085,True,45,0.046809096051960916,0.021104744652589217,0.0257043513993717,state_ext=stretched_down,0.03887880349070651,0.00793029256125441,4.986247115049843,6.156339449336912e-07,True,4,3,0111,0.75,True,survived
NVDA,1d,state_ext=stretched_down + state_vol=low_vol,long,0.0,49,0.018383574541226983,0.0037247972850810974,0.014658777256145885,state_vol=low_vol,0.021783763502351425,-0.0034001889611244424,1.9782942813392703,True,36,0.031701083868017906,0.006222284547518268,0.025478799320499637,state_ext=stretched_down,0.01940309070182164,0.012297993166196265,2.7770714342596645,0.0054851122430639165,True,4,1,0001,0.25,True,survived
VRTX,1d,state_ext=stretched_down + state_vol=low_vol,long,0.0,72,0.010256442896291152,0.004564203524954827,0.0056922393713363245,state_ext=stretched_down,0.010695856302904242,-0.00043941340661309003,2.151680725676339,True,18,0.02772272626694171,0.003574219789848702,0.02414850647709301,state_ext=stretched_down,0.010092448333742572,0.01763027793319914,2.964722872496482,0.0030295570663709803,True,4,1,0010,0.25,True,survived
AVGO,1d,state_ext=stretched_down + state_slope=downtrend,long,0.0,170,0.016386499801884752,0.005773936929836764,0.010612562872047988,state_ext=stretched_down,0.01695890567549554,-0.0005724058736107894,1.9994146100348766,True,94,0.027185892679822153,0.008041527190955315,0.01914436548886684,state_slope=downtrend,0.02409219077283175,0.0030937019069904037,2.185133428726196,0.028879064846361713,True,4,2,0101,0.5,True,survived
CVX,1d,state_ext=stretched_up + state_vol=high_vol,long,0.0,138,0.011728356475040155,0.002388211043492883,0.009340145431547273,state_vol=high_vol,0.006453132282542487,0.005275224192497668,2.337866776388431,True,24,0.021714613476758907,0.0024480548826680136,0.019266558594090894,state_vol=high_vol,-0.0005801846736213575,0.022294798150380265,2.3475426340270866,0.018897710292560266,True,4,1,0001,0.25,True,survived
SPG,1d,state_ext=neutral + state_vol=mid_vol,long,0.0,108,0.015508942108040784,0.0022561384455073797,0.013252803662533404,state_vol=mid_vol,0.010491132912004847,0.005017809196035937,3.4293337831680697,True,23,0.020480041191550356,0.0038773063453232527,0.016602734846227103,state_vol=mid_vol,0.010022886763269566,0.01045715442828079,2.8470100278911765,0.004413197217998821,True,4,1,0010,0.25,True,survived
XOP,1d,state_ext=stretched_down + state_slope=downtrend,long,0.0,201,0.013185463283675898,0.002975961103697714,0.010209502179978184,state_ext=stretched_down,0.00957898063523024,0.0036064826484456577,2.407486492657538,True,84,0.01843619308269569,0.0031642046817626952,0.015271988400932995,state_slope=downtrend,0.016221585463686874,0.002214607619008817,3.8095141176468292,0.0001392401562840817,True,4,3,0111,0.75,True,survived
LNG,1d,state_ext=stretched_down + state_vol=high_vol,long,0.0,85,0.02159940591028692,0.005636096971889557,0.015963308938397362,state_ext=stretched_down,0.01853962189168674,0.00305978401860018,2.6609768545597263,True,52,0.0179738094152749,0.0026251637796756004,0.015348645635599302,state_ext=stretched_down,0.010609793264068254,0.007364016151206647,1.981065729167411,0.047583902937733846,True,4,1,0010,0.25,True,survived
DE,1d,state_ext=stretched_down + state_slope=downtrend,long,0.0,210,0.013499683962697434,0.0017950942927701424,0.011704589669927292,state_slope=downtrend,0.010750996405765137,0.002748687556932297,2.7665981581683163,True,70,0.016232034195655682,0.00567464650511214,0.010557387690543542,state_ext=stretched_down,0.010860336072931832,0.00537169812272385,2.212941628184811,0.026901670234103392,True,4,2,0110,0.5,True,survived
DASH,1d,state_ext=stretched_up + state_vol=low_vol,long,0.0,172,0.012094927974626173,0.0024232069227558307,0.009671721051870343,state_vol=low_vol,0.005068203675710864,0.007026724298915309,2.4378219512136448,True,79,0.01607153141059124,0.0029247124530067587,0.013146818957584483,state_ext=stretched_up,0.009223823076399643,0.006847708334191599,2.2398229108846692,0.025102421871844083,True,4,2,1010,0.5,True,survived
XLB,1d,state_ext=stretched_down + state_slope=downtrend,long,0.0,195,0.007228996756254341,0.0007397333151448487,0.006489263441109492,state_slope=downtrend,0.004965058824403523,0.0022639379318508176,2.3535026847980998,True,64,0.015244076721199595,0.003038840081162476,0.012205236640037118,state_ext=stretched_down,0.012600502512180017,0.0026435742090195787,3.2431979586737847,0.0011819605750735818,True,4,3,0111,0.75,True,survived
XLE,1d,state_ext=stretched_down + state_slope=downtrend,long,0.0,181,0.010938180072110467,0.004009408663762032,0.006928771408348435,state_ext=stretched_down,0.00937623778144955,0.0015619422906609174,2.28390644830049,True,62,0.015099880227550908,0.00408664180668542,0.011013238420865488,state_slope=downtrend,0.013775150734263409,0.0013247294932874996,3.3283094448926547,0.0008737475572411224,True,4,2,0110,0.5,True,survived
SCHW,1d,state_ext=neutral + state_slope=downtrend,long,0.0,64,0.020099480826403022,0.0014275431162851264,0.018671937710117895,state_slope=downtrend,0.0050998891072394255,0.014999591719163596,3.03003799407182,True,37,0.014613105985835645,0.0033968837554532835,0.011216222230382362,state_slope=downtrend,0.012631772712433058,0.001981333273402587,2.0084968625112976,0.04459051912058998,True,4,1,1000,0.25,True,survived
DE,1d,state_ext=neutral + state_vol=high_vol,short,0.0,61,0.012188260400380537,-0.002195094292770147,0.014383354693150684,state_ext=neutral,0.003194698089065777,0.00899356231131476,2.0883733789275882,True,36,0.014432834994861175,-0.006074646505112141,0.020507481499973314,state_ext=neutral,0.000602916244051591,0.013829918750809583,3.168513231328879,0.0015322077461839,True,4,1,0001,0.25,True,survived
TSM,1d,state_ext=stretched_up + state_vol=mid_vol,long,0.0,157,0.016076864558905283,0.003979175719842423,0.01209768883906286,state_vol=mid_vol,0.007173991416732201,0.008902873142173081,2.141324911280696,True,83,0.01440256918663799,0.011791114208122037,0.002611454978515953,state_ext=stretched_up,0.012558915743125206,0.0018436534435127844,2.2710923689636595,0.023141386858066326,True,4,1,0100,0.25,True,survived
NVDA,1d,state_ext=stretched_up + state_vol=low_vol,long,0.0,128,0.02582946773580641,0.0037247972850810974,0.022104670450725315,state_vol=low_vol,0.021783763502351425,0.004045704233454985,2.459833846281875,True,105,0.012651702611739838,0.006222284547518268,0.00642941806422157,state_vol=low_vol,0.016256962111264938,-0.0036052594995250997,2.121899292295053,0.033846195900070875,True,4,0,0000,0.0,True,survived
VRTX,1d,state_ext=stretched_down + state_slope=downtrend,long,0.0,177,0.01140211927016,0.004564203524954827,0.006837915745205174,state_slope=downtrend,0.012164480452119611,-0.0007623611819596102,2.6214890523261665,True,85,0.012086366086572162,0.003574219789848702,0.00851214629672346,state_ext=stretched_down,0.010092448333742572,0.00199391775282959,2.930773333488606,0.0033811939202414987,True,4,1,0010,0.25,True,survived
XLF,1d,state_ext=stretched_up + state_slope=flat,long,0.0,89,0.012321216869239789,0.002197510243722347,0.010123706625517441,state_slope=flat,0.008629606590195668,0.003691610279044121,5.753231071101071,True,33,0.01004999596718178,0.001816095588684205,0.008233900378497574,state_ext=stretched_up,0.004435602669001538,0.005614393298180242,2.1069243890577054,0.03512413415693416,True,4,3,1110,0.75,True,survived
IVV,1d,state_ext=neutral + state_slope=uptrend,long,0.0,82,0.006686721205690606,0.0018734185970808556,0.00481330260860975,state_slope=uptrend,0.0013725321388506312,0.005314189066839975,2.0394151373027603,True,29,0.007893780630186486,0.0029885032626397806,0.004905277367546705,state_slope=uptrend,0.007596123003333217,0.00029765762685326873,2.665639750538518,0.007684198651255247,True,4,2,1100,0.5,True,survived
SPY,1d,state_ext=neutral + state_slope=uptrend,long,0.0,76,0.007023129569791076,0.0021635672885448073,0.004859562281246269,state_slope=uptrend,0.0016611835997120943,0.0053619459700789815,2.025024874929646,True,26,0.007354729280807008,0.003220953821285148,0.00413377545952186,state_slope=uptrend,0.00752575046244171,-0.00017102118163470244,2.3312544534568795,0.019739946344858206,True,4,2,1100,0.5,True,survived
SUSHI/USD,1d,state_ext=stretched_up + state_slope=downtrend,short,0.0,10,0.09846866248458405,-0.0027544793917632145,0.10122314187634726,state_slope=downtrend,0.002112265631710877,0.09635639685287317,3.45263408971864,False,5,0.08702315544172783,0.01555360808946239,0.07146954735226543,state_ext=stretched_up,0.03718237659934226,0.049840778842385566,3.9277618469460593,8.574004985573147e-05,False,4,0,0000,0.0,False,provisional
UNH,1d,state_ext=stretched_up + state_slope=downtrend,long,0.0,12,0.010043993218208152,0.0015791872609787296,0.008464805957229423,state_slope=downtrend,0.00819602570781558,0.0018479675103925727,2.03652076300432,False,4,0.08511706183930776,-8.966884649723443e-05,0.08520673068580499,state_ext=stretched_up,0.002431902204574977,0.08268515963473277,5.55095745283747,2.841092339167517e-08,False,4,0,0000,0.0,False,provisional
AVGO,1d,state_ext=neutral + state_vol=low_vol,long,0.0,104,0.017552051744638655,0.005773936929836764,0.011778114814801892,state_vol=low_vol,0.01851663159536018,-0.0009645798507215246,2.5491444932538867,True,10,0.08392064486332163,0.008041527190955315,0.07587911767236631,state_vol=low_vol,0.020903441042151635,0.06301720382116999,2.7925119697766436,0.005230053255123046,False,4,1,1000,0.25,False,provisional
LRCX,1d,state_ext=stretched_down + state_vol=low_vol,long,0.0,94,0.013808155007265012,-0.0026076145081996554,0.016415769515464668,state_vol=low_vol,0.009216822139839907,0.004591332867425106,2.065282869298848,True,6,0.05297283778389197,0.024943375513501443,0.028029462270390524,state_ext=stretched_down,0.030896482075833405,0.022076355708058562,2.548137955942859,0.01082996341481035,False,4,1,0100,0.25,False,provisional
VEA,1d,state_ext=stretched_up + state_slope=downtrend,long,0.0,14,0.00926370153863477,-0.0003444330033249107,0.009608134541959681,state_slope=downtrend,0.0027845556826032354,0.006479145856031534,2.4837433939072575,False,2,0.04307179210901511,0.0052611574900606455,0.03781063461895446,state_slope=downtrend,0.0148275793458183,0.02824421276319681,5.855540565688533,4.754609372881191e-09,False,4,0,0000,0.0,False,provisional
XOM,1d,state_ext=stretched_up + state_slope=downtrend,long,0.0,17,0.016771391018488544,0.0037393948575523764,0.013031996160936168,state_slope=downtrend,0.004840306920515176,0.011931084097973367,2.062589220034407,True,3,0.041616376454641675,0.0037596151169486647,0.03785676133769301,state_slope=downtrend,0.006601316715600764,0.03501505973904091,4.846682368740961,1.2554318375990192e-06,False,4,0,0000,0.0,False,provisional
AVGO,1d,state_ext=stretched_down + state_vol=low_vol,long,0.0,88,0.023824054028677155,0.005773936929836764,0.01805011709884039,state_vol=low_vol,0.01851663159536018,0.005307422433316975,2.3735557159499074,True,5,0.03945235060667739,0.008041527190955315,0.03141082341572208,state_vol=low_vol,0.020903441042151635,0.01854890956452576,6.222214470369824,4.901863359663139e-10,False,4,2,1100,0.5,False,provisional
CME,1d,state_ext=stretched_down + state_vol=low_vol,long,0.0,65,0.012500531504454383,0.0008489078400058437,0.01165162366444854,state_vol=low_vol,0.0049224622734352335,0.00757806923101915,2.506100557912122,True,13,0.014767979802350315,-0.00021888792879356847,0.014986867731143884,state_vol=low_vol,0.004298527501100809,0.010469452301249505,2.1155107534424697,0.03438643939427943,False,4,0,0000,0.0,False,provisional
DBA,1d,state_ext=stretched_down + state_vol=low_vol,long,0.0,30,0.009501802302148914,0.002263756158165996,0.007238046143982917,state_ext=stretched_down,0.00413407078622329,0.005367731515925624,3.597936649349568,True,6,0.014411900850596676,0.00014588249439779813,0.014266018356198878,state_ext=stretched_down,0.0017144527730803929,0.012697448077516283,7.256437307859597,3.9745984281580604e-13,False,4,1,1000,0.25,False,provisional
CBOE,1d,state_ext=stretched_down + state_vol=low_vol,long,0.0,47,0.008185412870351263,0.003084317426279145,0.0051010954440721176,state_ext=stretched_down,0.008027921776089127,0.00015749109426213548,2.357403913681795,True,10,0.012866394852896756,0.0036019726782357477,0.00926442217466101,state_vol=low_vol,0.006848870143990683,0.006017524708906073,2.414325857811689,0.01576435666799325,False,4,0,0000,0.0,False,provisional
TLT,1d,state_ext=stretched_up + state_vol=mid_vol,short,0.0,40,0.012152957624500879,0.0019074905042354207,0.010245467120265458,state_vol=mid_vol,0.002385332534072432,0.009767625090428446,3.181150949821786,True,11,0.007307534095775254,-0.0009479049131986432,0.008255439008973898,state_ext=stretched_up,0.006499577727354997,0.0008079563684202573,2.297671337195848,0.021580502092350518,False,4,2,0110,0.5,False,provisional
