symbol,timeframe,slice_combination,fold,diagnostic_status,train_start_utc,train_end_utc,valid_start_utc,valid_end_utc,train_n,train_mean_ret_costadj,train_p_value_nw,train_pass,valid_n,valid_mean_ret_costadj,valid_baseline_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_best_parent_n,valid_best_parent_mean_ret_costadj,valid_excess_vs_best_parent,valid_p_value_nw,valid_pass
XLB,1d,state_ext=stretched_down + state_slope=downtrend,0,ok,2021-07-06 00:00:00+00:00,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-06-29 00:00:00+00:00,14,-0.0011168840924245748,0.8989978946819395,False,70,0.009943137585395287,0.00291122383765513,0.007031913747740157,state_ext=stretched_down,87,0.007513544168988088,0.0024295934164071994,0.15274013888854476,False
XLB,1d,state_ext=stretched_down + state_slope=downtrend,1,ok,2021-07-06 00:00:00+00:00,2023-06-29 00:00:00+00:00,2023-06-30 00:00:00+00:00,2024-06-26 00:00:00+00:00,84,0.008099800639091976,0.18357690119451853,False,38,0.00938445864867365,0.0017877458034950204,0.007596712845178629,state_slope=downtrend,58,0.0070573380309579894,0.00232712061771566,0.004613831995621265,True
XLB,1d,state_ext=stretched_down + state_slope=downtrend,2,ok,2021-07-06 00:00:00+00:00,2024-06-26 00:00:00+00:00,2024-06-27 00:00:00+00:00,2025-06-26 00:00:00+00:00,122,0.00849994001912561,0.060381161133254535,False,45,0.011673712819778036,0.000999170173510556,0.010674542646267481,state_slope=downtrend,70,0.008936750489699524,0.002736962330078512,0.030502157088187376,True
XLB,1d,state_ext=stretched_down + state_slope=downtrend,3,ok,2021-07-06 00:00:00+00:00,2025-06-26 00:00:00+00:00,2025-06-27 00:00:00+00:00,2026-06-25 00:00:00+00:00,167,0.009355148258822369,0.010032403602175055,True,35,0.013184979954770904,0.003112208945910688,0.010072771008860216,state_ext=stretched_down,47,0.011457719863080217,0.0017272600916906876,0.04803605579876513,True
KLAC,1d,state_ext=stretched_down + state_slope=downtrend,0,ok,2021-07-06 00:00:00+00:00,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-06-29 00:00:00+00:00,8,0.0037731564717736754,0.8889300919203362,False,57,0.009464163126980988,0.010537868986116269,-0.0010737058591352815,state_ext=stretched_down,88,0.010618840808717162,-0.0011546776817361742,0.5048661165654222,False
KLAC,1d,state_ext=stretched_down + state_slope=downtrend,1,ok,2021-07-06 00:00:00+00:00,2023-06-29 00:00:00+00:00,2023-06-30 00:00:00+00:00,2024-06-26 00:00:00+00:00,65,0.008763731538647783,0.495045655405417,False,23,0.03487365687366275,0.012509630734400777,0.022364026139261972,state_slope=downtrend,34,0.039982973648203635,-0.0051093167745408855,0.0009598308810694345,True
KLAC,1d,state_ext=stretched_down + state_slope=downtrend,2,ok,2021-07-06 00:00:00+00:00,2024-06-26 00:00:00+00:00,2024-06-27 00:00:00+00:00,2025-06-26 00:00:00+00:00,88,0.015587916569390327,0.12865760728853193,False,66,0.0301674904380745,0.0036632091550926117,0.026504281282981886,state_slope=downtrend,90,0.01861876238356301,0.011548728054511487,0.0036885871722098784,True
KLAC,1d,state_ext=stretched_down + state_slope=downtrend,3,ok,2021-07-06 00:00:00+00:00,2025-06-26 00:00:00+00:00,2025-06-27 00:00:00+00:00,2026-06-25 00:00:00+00:00,154,0.021836305370254973,0.00466586806687741,True,22,0.04422652312795055,0.02374737754240251,0.02047914558554804,state_ext=stretched_down,52,0.04612148403638272,-0.0018949609084321709,1.0947753592560616e-08,True
CVX,1d,state_ext=stretched_up + state_vol=high_vol,0,ok,2021-07-06 04:00:00+00:00,2022-07-01 04:00:00+00:00,2022-07-05 04:00:00+00:00,2023-06-30 04:00:00+00:00,11,0.009028869306830493,0.34342962896611784,False,37,0.0181327626983534,0.0022648046421697497,0.01586795805618365,state_vol=high_vol,71,0.016249064302303082,0.0018836983960503172,0.04438888397858998,True
CVX,1d,state_ext=stretched_up + state_vol=high_vol,1,ok,2021-07-06 04:00:00+00:00,2023-06-30 04:00:00+00:00,2023-07-03 04:00:00+00:00,2024-06-27 04:00:00+00:00,48,0.016046453796129397,0.03433607248906201,True,0,,0.00031225911038775754,,state_vol=high_vol,20,-0.00234642038988525,,,False
CVX,1d,state_ext=stretched_up + state_vol=high_vol,2,ok,2021-07-06 04:00:00+00:00,2024-06-27 04:00:00+00:00,2024-06-28 04:00:00+00:00,2025-06-27 04:00:00+00:00,48,0.016046453796129397,0.03433607248906201,True,0,,-0.0007200487711533696,,state_vol=high_vol,38,-0.0022953594127473652,,,False
